  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     1.800 e 6     Ncrit =   7.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5566   0.00776   0.00262  -0.0047   0.9360   0.0864
  -4.850  -0.5405   0.00763   0.00251  -0.0044   0.9282   0.0942
  -4.700  -0.5241   0.00753   0.00242  -0.0041   0.9209   0.1004
  -4.550  -0.5080   0.00741   0.00231  -0.0038   0.9120   0.1094
  -4.400  -0.4917   0.00729   0.00221  -0.0036   0.9036   0.1185
  -4.250  -0.4753   0.00721   0.00213  -0.0033   0.8939   0.1261
  -4.100  -0.4589   0.00709   0.00204  -0.0031   0.8846   0.1370
  -3.950  -0.4427   0.00699   0.00194  -0.0028   0.8742   0.1484
  -3.800  -0.4261   0.00690   0.00187  -0.0027   0.8633   0.1586
  -3.650  -0.4096   0.00681   0.00179  -0.0025   0.8526   0.1701
  -3.500  -0.3933   0.00672   0.00171  -0.0022   0.8406   0.1832
  -3.350  -0.3767   0.00663   0.00164  -0.0021   0.8284   0.1953
  -3.200  -0.3601   0.00655   0.00157  -0.0019   0.8163   0.2085
  -3.050  -0.3435   0.00647   0.00150  -0.0017   0.8039   0.2221
  -2.900  -0.3269   0.00641   0.00144  -0.0016   0.7911   0.2357
  -2.750  -0.3102   0.00634   0.00138  -0.0014   0.7777   0.2499
  -2.450  -0.2767   0.00621   0.00128  -0.0012   0.7507   0.2787
  -2.300  -0.2599   0.00616   0.00123  -0.0011   0.7368   0.2930
  -2.150  -0.2432   0.00610   0.00119  -0.0010   0.7230   0.3082
  -2.000  -0.2264   0.00605   0.00115  -0.0009   0.7087   0.3239
  -1.850  -0.2095   0.00601   0.00111  -0.0008   0.6946   0.3381
  -1.700  -0.1926   0.00596   0.00108  -0.0007   0.6808   0.3533
  -1.550  -0.1757   0.00593   0.00105  -0.0006   0.6665   0.3674
  -1.400  -0.1588   0.00590   0.00102  -0.0005   0.6524   0.3826
  -1.250  -0.1418   0.00587   0.00100  -0.0005   0.6381   0.3968
  -1.100  -0.1249   0.00585   0.00098  -0.0004   0.6233   0.4117
  -0.950  -0.1078   0.00583   0.00096  -0.0003   0.6091   0.4260
  -0.800  -0.0908   0.00581   0.00095  -0.0003   0.5953   0.4414
  -0.650  -0.0738   0.00579   0.00093  -0.0002   0.5813   0.4561
  -0.500  -0.0568   0.00577   0.00092  -0.0002   0.5670   0.4711
  -0.350  -0.0398   0.00576   0.00092  -0.0001   0.5523   0.4851
  -0.200  -0.0227   0.00576   0.00091  -0.0001   0.5378   0.4995
  -0.050  -0.0057   0.00576   0.00091  -0.0000   0.5234   0.5132
   0.250   0.0284   0.00577   0.00091   0.0001   0.4944   0.5425
   0.400   0.0455   0.00577   0.00092   0.0001   0.4800   0.5572
   0.550   0.0625   0.00578   0.00093   0.0002   0.4655   0.5716
   0.700   0.0795   0.00579   0.00094   0.0002   0.4512   0.5863
   0.850   0.0965   0.00580   0.00095   0.0003   0.4368   0.6004
   1.000   0.1135   0.00583   0.00097   0.0004   0.4219   0.6146
   1.150   0.1305   0.00585   0.00099   0.0004   0.4075   0.6283
   1.300   0.1475   0.00589   0.00101   0.0005   0.3920   0.6424
   1.600   0.1814   0.00595   0.00106   0.0006   0.3628   0.6716
   1.750   0.1983   0.00598   0.00109   0.0007   0.3477   0.6857
   1.900   0.2151   0.00602   0.00113   0.0008   0.3331   0.6996
   2.050   0.2320   0.00607   0.00116   0.0009   0.3174   0.7137
   2.200   0.2488   0.00612   0.00120   0.0010   0.3031   0.7273
   2.500   0.2824   0.00622   0.00130   0.0012   0.2750   0.7555
   2.650   0.2991   0.00629   0.00135   0.0014   0.2600   0.7691
   2.800   0.3158   0.00635   0.00140   0.0015   0.2458   0.7820
   2.950   0.3324   0.00643   0.00146   0.0016   0.2309   0.7948
   3.100   0.3491   0.00651   0.00152   0.0018   0.2171   0.8079
   3.250   0.3656   0.00658   0.00159   0.0019   0.2042   0.8207
   3.400   0.3822   0.00666   0.00166   0.0021   0.1912   0.8326
   3.550   0.3988   0.00674   0.00173   0.0023   0.1790   0.8445
   3.700   0.4153   0.00683   0.00181   0.0025   0.1670   0.8562
   3.850   0.4316   0.00693   0.00189   0.0027   0.1546   0.8673
   4.000   0.4481   0.00702   0.00198   0.0029   0.1443   0.8775
   4.150   0.4645   0.00712   0.00206   0.0032   0.1338   0.8879
   4.300   0.4808   0.00723   0.00216   0.0034   0.1240   0.8971
   4.450   0.4972   0.00734   0.00225   0.0036   0.1148   0.9065
   4.600   0.5134   0.00744   0.00234   0.0039   0.1065   0.9150
   4.750   0.5297   0.00757   0.00245   0.0042   0.0980   0.9233
   4.900   0.5459   0.00767   0.00254   0.0045   0.0920   0.9307
   5.050   0.5621   0.00779   0.00265   0.0048   0.0850   0.9383
   5.200   0.5783   0.00791   0.00275   0.0051   0.0789   0.9446
   5.350   0.5945   0.00804   0.00286   0.0054   0.0734   0.9514
   5.500   0.6110   0.00816   0.00297   0.0056   0.0689   0.9570
   5.650   0.6277   0.00829   0.00309   0.0058   0.0639   0.9622
   5.800   0.6443   0.00841   0.00320   0.0060   0.0603   0.9675
   5.950   0.6613   0.00857   0.00333   0.0061   0.0553   0.9716
   6.100   0.6797   0.00869   0.00344   0.0059   0.0527   0.9750
   6.250   0.6974   0.00884   0.00358   0.0058   0.0494   0.9787
   6.400   0.7139   0.00898   0.00370   0.0061   0.0465   0.9827
   6.550   0.7338   0.00913   0.00384   0.0055   0.0439   0.9845
   6.700   0.7533   0.00930   0.00399   0.0050   0.0407   0.9862
   6.850   0.7728   0.00944   0.00413   0.0046   0.0390   0.9881
   7.000   0.7921   0.00960   0.00427   0.0042   0.0371   0.9899
   7.150   0.8113   0.00978   0.00443   0.0038   0.0349   0.9915
   7.300   0.8304   0.00993   0.00459   0.0034   0.0335   0.9930
   7.450   0.8500   0.01009   0.00474   0.0029   0.0320   0.9940
   7.600   0.8703   0.01028   0.00492   0.0023   0.0303   0.9946
   7.750   0.8905   0.01047   0.00510   0.0017   0.0286   0.9954
   7.900   0.9107   0.01062   0.00526   0.0011   0.0278   0.9961
   8.050   0.9307   0.01080   0.00544   0.0005   0.0266   0.9970
   8.200   0.9504   0.01101   0.00564  -0.0000   0.0255   0.9978
   8.350   0.9699   0.01123   0.00586  -0.0005   0.0242   0.9986
   8.500   0.9897   0.01139   0.00603  -0.0010   0.0237   0.9993
   8.650   1.0094   0.01158   0.00623  -0.0015   0.0228   0.9999
   8.800   1.0229   0.01176   0.00640  -0.0007   0.0221   1.0000
   8.950   1.0358   0.01195   0.00660   0.0002   0.0213   1.0000
   9.100   1.0486   0.01217   0.00682   0.0012   0.0205   1.0000
   9.250   1.0620   0.01234   0.00701   0.0020   0.0201   1.0000
   9.400   1.0756   0.01251   0.00720   0.0028   0.0197   1.0000
   9.550   1.0892   0.01270   0.00740   0.0036   0.0192   1.0000
   9.700   1.1028   0.01290   0.00761   0.0044   0.0188   1.0000
   9.850   1.1163   0.01311   0.00783   0.0052   0.0183   1.0000
  10.000   1.1298   0.01334   0.00807   0.0060   0.0178   1.0000
  10.150   1.1432   0.01361   0.00835   0.0068   0.0172   1.0000
  10.300   1.1569   0.01387   0.00863   0.0075   0.0168   1.0000
  10.450   1.1712   0.01408   0.00886   0.0081   0.0165   1.0000
  10.600   1.1856   0.01430   0.00910   0.0087   0.0162   1.0000
  10.750   1.1998   0.01453   0.00936   0.0094   0.0159   1.0000
  10.900   1.2140   0.01478   0.00962   0.0100   0.0155   1.0000
  11.050   1.2280   0.01505   0.00991   0.0106   0.0151   1.0000
  11.200   1.2418   0.01534   0.01021   0.0113   0.0147   1.0000
  11.350   1.2552   0.01566   0.01055   0.0120   0.0144   1.0000
  11.500   1.2680   0.01603   0.01095   0.0127   0.0140   1.0000
  11.650   1.2814   0.01635   0.01129   0.0134   0.0137   1.0000
  11.800   1.2951   0.01663   0.01161   0.0141   0.0136   1.0000
  11.950   1.3086   0.01693   0.01194   0.0148   0.0134   1.0000
  12.100   1.3218   0.01725   0.01229   0.0155   0.0132   1.0000
  12.250   1.3347   0.01758   0.01266   0.0162   0.0129   1.0000
  12.400   1.3474   0.01792   0.01303   0.0170   0.0127   1.0000
  12.550   1.3596   0.01828   0.01342   0.0178   0.0125   1.0000
  12.700   1.3716   0.01866   0.01383   0.0186   0.0123   1.0000
  12.850   1.3830   0.01906   0.01426   0.0195   0.0121   1.0000
  13.000   1.3939   0.01949   0.01472   0.0205   0.0118   1.0000
  13.150   1.4038   0.01996   0.01523   0.0216   0.0116   1.0000
  13.300   1.4118   0.02048   0.01579   0.0229   0.0114   1.0000
