alpha,cd
-5.000000,0.007170
-4.850000,0.007110
-4.700000,0.007040
-4.550000,0.007000
-4.400000,0.006920
-4.250000,0.006880
-4.100000,0.006800
-3.950000,0.006760
-3.800000,0.006690
-3.650000,0.006650
-3.500000,0.006580
-3.350000,0.006540
-3.200000,0.006480
-3.050000,0.006420
-2.900000,0.006390
-2.750000,0.006330
-2.600000,0.006280
-2.450000,0.006250
-2.300000,0.006190
-2.150000,0.006150
-2.000000,0.006110
-1.850000,0.006090
-1.700000,0.006040
-1.550000,0.006000
-1.400000,0.005970
-1.250000,0.005960
-1.100000,0.005930
-0.950000,0.005900
-0.800000,0.005880
-0.650000,0.005880
-0.500000,0.005860
-0.350000,0.005850
-0.200000,0.005830
-0.050000,0.005840
0.100000,0.005840
0.250000,0.005850
0.400000,0.005850
0.550000,0.005860
0.700000,0.005890
0.850000,0.005900
1.000000,0.005900
1.150000,0.005930
1.300000,0.005960
1.450000,0.006000
1.600000,0.006010
1.750000,0.006050
1.900000,0.006090
2.050000,0.006130
2.200000,0.006160
2.350000,0.006200
2.500000,0.006260
2.650000,0.006310
2.800000,0.006340
2.950000,0.006400
3.100000,0.006440
3.250000,0.006500
3.400000,0.006560
3.550000,0.006590
3.700000,0.006660
3.850000,0.006710
4.000000,0.006780
4.150000,0.006830
4.300000,0.006890
4.450000,0.006940
4.600000,0.007010
4.750000,0.007060
4.900000,0.007130
5.050000,0.007180
5.200000,0.007260
5.350000,0.007330
5.500000,0.007390
5.650000,0.007460
5.800000,0.007540
5.950000,0.007600
6.100000,0.007700
6.250000,0.007780
6.400000,0.007850
6.550000,0.007940
6.700000,0.008040
7.000000,0.008220
7.150000,0.008340
7.300000,0.008450
7.450000,0.008550
7.600000,0.008650
7.750000,0.008770
7.900000,0.008900
8.050000,0.009040
8.200000,0.009160
8.350000,0.009290
8.500000,0.009430
8.650000,0.009590
8.800000,0.009760
8.950000,0.009900
9.100000,0.010040
9.250000,0.010210
9.400000,0.010380
9.550000,0.010570
9.700000,0.010760
9.850000,0.010950
10.000000,0.011120
10.150000,0.011310
10.300000,0.011490
10.450000,0.011670
10.600000,0.011850
10.750000,0.012050
10.900000,0.012260
11.050000,0.012480
11.200000,0.012680
11.350000,0.012880
11.500000,0.013080
11.650000,0.013290
11.800000,0.013520
11.950000,0.013750
12.100000,0.013990
12.250000,0.014250
12.400000,0.014510
12.550000,0.014790
12.700000,0.015080
12.850000,0.015400
13.000000,0.015690
13.150000,0.015960
13.300000,0.016240
13.450000,0.016540
13.600000,0.016850
13.750000,0.017180
13.900000,0.017510
14.050000,0.017860
14.200000,0.018230
14.350000,0.018610
14.500000,0.018990
14.650000,0.019400
14.800000,0.019830
14.950000,0.020320
15.100000,0.020830
15.250000,0.021380
15.400000,0.022000
15.550000,0.022670
15.700000,0.023410
15.850000,0.024110
16.000000,0.024860
16.150000,0.025690
16.300000,0.026570
16.450000,0.027560
16.600000,0.028610
16.750000,0.029780
16.900000,0.031060
17.050000,0.032450
17.200000,0.033970
17.350000,0.035650
17.500000,0.037480
17.650000,0.039470
17.800000,0.041650
17.950000,0.044040
18.100000,0.046660
18.250000,0.049540
18.400000,0.052630
18.550000,0.056000
18.700000,0.059770
18.850000,0.063750
19.000000,0.068140
19.150000,0.072960
19.300000,0.078200
19.450000,0.083750
19.600000,0.089930
19.750000,0.096580
19.900000,0.103420
20.050000,0.111240
20.200000,0.119420
20.350000,0.127730
20.500000,0.135970
20.650000,0.145590
20.800000,0.153950
20.950000,0.162010
21.100000,0.169680
21.250000,0.176160
21.400000,0.181760
21.550000,0.188110
21.700000,0.192320
21.850000,0.197930
22.000000,0.201790
22.150000,0.205670
22.300000,0.210500
22.450000,0.213900
22.600000,0.217560
22.750000,0.222030
22.900000,0.225160
23.050000,0.228540
