alpha,cl
-5.000000,-0.572400
-4.850000,-0.555300
-4.700000,-0.538300
-4.550000,-0.521200
-4.400000,-0.504300
-4.250000,-0.487100
-4.100000,-0.470100
-3.950000,-0.452900
-3.800000,-0.436000
-3.650000,-0.418700
-3.500000,-0.401700
-3.350000,-0.384500
-3.200000,-0.367400
-3.050000,-0.350400
-2.900000,-0.333000
-2.750000,-0.315900
-2.600000,-0.298800
-2.450000,-0.281500
-2.300000,-0.264400
-2.150000,-0.247200
-2.000000,-0.230100
-1.850000,-0.212800
-1.700000,-0.195600
-1.550000,-0.178400
-1.400000,-0.161100
-1.250000,-0.143900
-1.100000,-0.126600
-0.950000,-0.109400
-0.800000,-0.092100
-0.650000,-0.074900
-0.500000,-0.057600
-0.350000,-0.040300
-0.200000,-0.023100
-0.050000,-0.005800
0.100000,0.011500
0.250000,0.028800
0.400000,0.046100
0.550000,0.063400
0.700000,0.080600
0.850000,0.097900
1.000000,0.115200
1.150000,0.132400
1.300000,0.149600
1.450000,0.166900
1.600000,0.184200
1.750000,0.201400
1.900000,0.218600
2.050000,0.235800
2.200000,0.253000
2.350000,0.270200
2.500000,0.287300
2.650000,0.304500
2.800000,0.321700
2.950000,0.338800
3.100000,0.356000
3.250000,0.373200
3.400000,0.390200
3.550000,0.407400
3.700000,0.424500
3.850000,0.441700
4.000000,0.458700
4.150000,0.475800
4.300000,0.492900
4.450000,0.510000
4.600000,0.527000
4.750000,0.544100
4.900000,0.561000
5.050000,0.578100
5.200000,0.595100
5.350000,0.612000
5.500000,0.629000
5.650000,0.645800
5.800000,0.662700
5.950000,0.679600
6.100000,0.696300
6.250000,0.713100
6.400000,0.729800
6.550000,0.746600
6.700000,0.763000
7.000000,0.796100
7.150000,0.812600
7.300000,0.828600
7.450000,0.845100
7.600000,0.861400
7.750000,0.877500
7.900000,0.893800
8.050000,0.910300
8.200000,0.927200
8.350000,0.943800
8.500000,0.962200
8.650000,0.980400
8.800000,0.998300
8.950000,1.015700
9.100000,1.034000
9.250000,1.053300
9.400000,1.072500
9.550000,1.091500
9.700000,1.110300
9.850000,1.128900
10.000000,1.147700
10.150000,1.166300
10.300000,1.183900
10.450000,1.197800
10.600000,1.211800
10.750000,1.225800
10.900000,1.240100
11.050000,1.254500
11.200000,1.269300
11.350000,1.284300
11.500000,1.299200
11.650000,1.314100
11.800000,1.329000
11.950000,1.343700
12.100000,1.358300
12.250000,1.372800
12.400000,1.387100
12.550000,1.401200
12.700000,1.415100
12.850000,1.428600
13.000000,1.442400
13.150000,1.456300
13.300000,1.469900
13.450000,1.483200
13.600000,1.496300
13.750000,1.509000
13.900000,1.521400
14.050000,1.533400
14.200000,1.545000
14.350000,1.555900
14.500000,1.565000
14.650000,1.573100
14.800000,1.580900
14.950000,1.588200
15.100000,1.595300
15.250000,1.602000
15.400000,1.608000
15.550000,1.613600
15.700000,1.618400
15.850000,1.624300
16.000000,1.629800
16.150000,1.634900
16.300000,1.639800
16.450000,1.643600
16.600000,1.647200
16.750000,1.650200
16.900000,1.652500
17.050000,1.654100
17.200000,1.655200
17.350000,1.655300
17.500000,1.654500
17.650000,1.652800
17.800000,1.650100
17.950000,1.646300
18.100000,1.640800
18.250000,1.633700
18.400000,1.625500
18.550000,1.615600
18.700000,1.602800
18.850000,1.589000
19.000000,1.572700
19.150000,1.553700
19.300000,1.532200
19.450000,1.509000
19.600000,1.482000
19.750000,1.452400
19.900000,1.422600
20.050000,1.387000
20.200000,1.350500
20.350000,1.314600
20.500000,1.280100
20.650000,1.240000
20.800000,1.208800
20.950000,1.180200
21.100000,1.155200
21.250000,1.137300
21.400000,1.124200
21.550000,1.108500
21.700000,1.102300
21.850000,1.090600
22.000000,1.086400
22.150000,1.082400
22.300000,1.075200
22.450000,1.073500
22.600000,1.071000
22.750000,1.066000
22.900000,1.065800
23.050000,1.064800
