alpha,cl,cd,cm,ld,re,ncrit
-5.000000,-0.572400,0.007170,-0.001000,-79.832636,4000000.000000,6.000000
-4.850000,-0.555300,0.007110,-0.001000,-78.101266,4000000.000000,6.000000
-4.700000,-0.538300,0.007040,-0.000900,-76.463068,4000000.000000,6.000000
-4.550000,-0.521200,0.007000,-0.000800,-74.457143,4000000.000000,6.000000
-4.400000,-0.504300,0.006920,-0.000700,-72.875723,4000000.000000,6.000000
-4.250000,-0.487100,0.006880,-0.000600,-70.799419,4000000.000000,6.000000
-4.100000,-0.470100,0.006800,-0.000600,-69.132353,4000000.000000,6.000000
-3.950000,-0.452900,0.006760,-0.000500,-66.997041,4000000.000000,6.000000
-3.800000,-0.436000,0.006690,-0.000400,-65.171898,4000000.000000,6.000000
-3.650000,-0.418700,0.006650,-0.000400,-62.962406,4000000.000000,6.000000
-3.500000,-0.401700,0.006580,-0.000300,-61.048632,4000000.000000,6.000000
-3.350000,-0.384500,0.006540,-0.000300,-58.792049,4000000.000000,6.000000
-3.200000,-0.367400,0.006480,-0.000200,-56.697531,4000000.000000,6.000000
-3.050000,-0.350400,0.006420,-0.000200,-54.579439,4000000.000000,6.000000
-2.900000,-0.333000,0.006390,-0.000200,-52.112676,4000000.000000,6.000000
-2.750000,-0.315900,0.006330,-0.000100,-49.905213,4000000.000000,6.000000
-2.600000,-0.298800,0.006280,-0.000100,-47.579618,4000000.000000,6.000000
-2.450000,-0.281500,0.006250,-0.000100,-45.040000,4000000.000000,6.000000
-2.300000,-0.264400,0.006190,-0.000100,-42.714055,4000000.000000,6.000000
-2.150000,-0.247200,0.006150,-0.000000,-40.195122,4000000.000000,6.000000
-2.000000,-0.230100,0.006110,-0.000000,-37.659574,4000000.000000,6.000000
-1.850000,-0.212800,0.006090,-0.000000,-34.942529,4000000.000000,6.000000
-1.700000,-0.195600,0.006040,-0.000000,-32.384106,4000000.000000,6.000000
-1.550000,-0.178400,0.006000,0.000000,-29.733333,4000000.000000,6.000000
-1.400000,-0.161100,0.005970,0.000000,-26.984925,4000000.000000,6.000000
-1.250000,-0.143900,0.005960,0.000000,-24.144295,4000000.000000,6.000000
-1.100000,-0.126600,0.005930,0.000000,-21.349073,4000000.000000,6.000000
-0.950000,-0.109400,0.005900,0.000000,-18.542373,4000000.000000,6.000000
-0.800000,-0.092100,0.005880,0.000000,-15.663265,4000000.000000,6.000000
-0.650000,-0.074900,0.005880,0.000000,-12.738095,4000000.000000,6.000000
-0.500000,-0.057600,0.005860,0.000000,-9.829352,4000000.000000,6.000000
-0.350000,-0.040300,0.005850,0.000000,-6.888889,4000000.000000,6.000000
-0.200000,-0.023100,0.005830,0.000000,-3.962264,4000000.000000,6.000000
-0.050000,-0.005800,0.005840,0.000000,-0.993151,4000000.000000,6.000000
0.100000,0.011500,0.005840,-0.000000,1.969178,4000000.000000,6.000000
0.250000,0.028800,0.005850,-0.000000,4.923077,4000000.000000,6.000000
0.400000,0.046100,0.005850,-0.000000,7.880342,4000000.000000,6.000000
0.550000,0.063400,0.005860,-0.000000,10.819113,4000000.000000,6.000000
0.700000,0.080600,0.005890,-0.000000,13.684211,4000000.000000,6.000000
0.850000,0.097900,0.005900,-0.000000,16.593220,4000000.000000,6.000000
1.000000,0.115200,0.005900,-0.000000,19.525424,4000000.000000,6.000000
1.150000,0.132400,0.005930,-0.000000,22.327150,4000000.000000,6.000000
1.300000,0.149600,0.005960,-0.000000,25.100671,4000000.000000,6.000000
1.450000,0.166900,0.006000,-0.000000,27.816667,4000000.000000,6.000000
1.600000,0.184200,0.006010,-0.000000,30.648918,4000000.000000,6.000000
1.750000,0.201400,0.006050,-0.000000,33.289256,4000000.000000,6.000000
1.900000,0.218600,0.006090,0.000000,35.894910,4000000.000000,6.000000
2.050000,0.235800,0.006130,0.000000,38.466558,4000000.000000,6.000000
2.200000,0.253000,0.006160,0.000000,41.071429,4000000.000000,6.000000
2.350000,0.270200,0.006200,0.000100,43.580645,4000000.000000,6.000000
2.500000,0.287300,0.006260,0.000100,45.894569,4000000.000000,6.000000
2.650000,0.304500,0.006310,0.000100,48.256735,4000000.000000,6.000000
2.800000,0.321700,0.006340,0.000100,50.741325,4000000.000000,6.000000
2.950000,0.338800,0.006400,0.000200,52.937500,4000000.000000,6.000000
3.100000,0.356000,0.006440,0.000200,55.279503,4000000.000000,6.000000
3.250000,0.373200,0.006500,0.000200,57.415385,4000000.000000,6.000000
3.400000,0.390200,0.006560,0.000300,59.481707,4000000.000000,6.000000
3.550000,0.407400,0.006590,0.000300,61.820941,4000000.000000,6.000000
3.700000,0.424500,0.006660,0.000400,63.738739,4000000.000000,6.000000
3.850000,0.441700,0.006710,0.000400,65.827124,4000000.000000,6.000000
4.000000,0.458700,0.006780,0.000500,67.654867,4000000.000000,6.000000
4.150000,0.475800,0.006830,0.000600,69.663250,4000000.000000,6.000000
4.300000,0.492900,0.006890,0.000600,71.538462,4000000.000000,6.000000
4.450000,0.510000,0.006940,0.000700,73.487032,4000000.000000,6.000000
4.600000,0.527000,0.007010,0.000800,75.178317,4000000.000000,6.000000
4.750000,0.544100,0.007060,0.000900,77.067989,4000000.000000,6.000000
4.900000,0.561000,0.007130,0.001000,78.681627,4000000.000000,6.000000
5.050000,0.578100,0.007180,0.001100,80.515320,4000000.000000,6.000000
5.200000,0.595100,0.007260,0.001200,81.969697,4000000.000000,6.000000
5.350000,0.612000,0.007330,0.001300,83.492497,4000000.000000,6.000000
5.500000,0.629000,0.007390,0.001400,85.115020,4000000.000000,6.000000
5.650000,0.645800,0.007460,0.001600,86.568365,4000000.000000,6.000000
5.800000,0.662700,0.007540,0.001700,87.891247,4000000.000000,6.000000
5.950000,0.679600,0.007600,0.001900,89.421053,4000000.000000,6.000000
6.100000,0.696300,0.007700,0.002000,90.428571,4000000.000000,6.000000
6.250000,0.713100,0.007780,0.002200,91.658098,4000000.000000,6.000000
6.400000,0.729800,0.007850,0.002400,92.968153,4000000.000000,6.000000
6.550000,0.746600,0.007940,0.002600,94.030227,4000000.000000,6.000000
6.700000,0.763000,0.008040,0.002900,94.900498,4000000.000000,6.000000
7.000000,0.796100,0.008220,0.003300,96.849148,4000000.000000,6.000000
7.150000,0.812600,0.008340,0.003600,97.434053,4000000.000000,6.000000
7.300000,0.828600,0.008450,0.003900,98.059172,4000000.000000,6.000000
7.450000,0.845100,0.008550,0.004200,98.842105,4000000.000000,6.000000
7.600000,0.861400,0.008650,0.004500,99.583815,4000000.000000,6.000000
7.750000,0.877500,0.008770,0.004900,100.057013,4000000.000000,6.000000
7.900000,0.893800,0.008900,0.005100,100.426966,4000000.000000,6.000000
8.050000,0.910300,0.009040,0.005400,100.696903,4000000.000000,6.000000
8.200000,0.927200,0.009160,0.005600,101.222707,4000000.000000,6.000000
8.350000,0.943800,0.009290,0.005800,101.593111,4000000.000000,6.000000
8.500000,0.962200,0.009430,0.005600,102.036055,4000000.000000,6.000000
8.650000,0.980400,0.009590,0.005500,102.231491,4000000.000000,6.000000
8.800000,0.998300,0.009760,0.005400,102.284836,4000000.000000,6.000000
8.950000,1.015700,0.009900,0.005400,102.595960,4000000.000000,6.000000
9.100000,1.034000,0.010040,0.005300,102.988048,4000000.000000,6.000000
9.250000,1.053300,0.010210,0.004900,103.163565,4000000.000000,6.000000
9.400000,1.072500,0.010380,0.004600,103.323699,4000000.000000,6.000000
9.550000,1.091500,0.010570,0.004200,103.263955,4000000.000000,6.000000
9.700000,1.110300,0.010760,0.004000,103.187732,4000000.000000,6.000000
9.850000,1.128900,0.010950,0.003700,103.095890,4000000.000000,6.000000
10.000000,1.147700,0.011120,0.003500,103.210432,4000000.000000,6.000000
10.150000,1.166300,0.011310,0.003200,103.121132,4000000.000000,6.000000
10.300000,1.183900,0.011490,0.003200,103.037424,4000000.000000,6.000000
10.450000,1.197800,0.011670,0.004000,102.639246,4000000.000000,6.000000
10.600000,1.211800,0.011850,0.004800,102.261603,4000000.000000,6.000000
10.750000,1.225800,0.012050,0.005500,101.726141,4000000.000000,6.000000
10.900000,1.240100,0.012260,0.006200,101.150082,4000000.000000,6.000000
11.050000,1.254500,0.012480,0.006800,100.520833,4000000.000000,6.000000
11.200000,1.269300,0.012680,0.007400,100.102524,4000000.000000,6.000000
11.350000,1.284300,0.012880,0.007900,99.712733,4000000.000000,6.000000
11.500000,1.299200,0.013080,0.008500,99.327217,4000000.000000,6.000000
11.650000,1.314100,0.013290,0.009000,98.878856,4000000.000000,6.000000
11.800000,1.329000,0.013520,0.009600,98.298817,4000000.000000,6.000000
11.950000,1.343700,0.013750,0.010100,97.723636,4000000.000000,6.000000
12.100000,1.358300,0.013990,0.010700,97.090779,4000000.000000,6.000000
12.250000,1.372800,0.014250,0.011300,96.336842,4000000.000000,6.000000
12.400000,1.387100,0.014510,0.011900,95.596141,4000000.000000,6.000000
12.550000,1.401200,0.014790,0.012500,94.739689,4000000.000000,6.000000
12.700000,1.415100,0.015080,0.013200,93.839523,4000000.000000,6.000000
12.850000,1.428600,0.015400,0.013900,92.766234,4000000.000000,6.000000
13.000000,1.442400,0.015690,0.014600,91.931166,4000000.000000,6.000000
13.150000,1.456300,0.015960,0.015200,91.246867,4000000.000000,6.000000
13.300000,1.469900,0.016240,0.015900,90.511084,4000000.000000,6.000000
13.450000,1.483200,0.016540,0.016600,89.673519,4000000.000000,6.000000
13.600000,1.496300,0.016850,0.017400,88.801187,4000000.000000,6.000000
13.750000,1.509000,0.017180,0.018200,87.834692,4000000.000000,6.000000
13.900000,1.521400,0.017510,0.019000,86.887493,4000000.000000,6.000000
14.050000,1.533400,0.017860,0.019900,85.856663,4000000.000000,6.000000
14.200000,1.545000,0.018230,0.020900,84.750411,4000000.000000,6.000000
14.350000,1.555900,0.018610,0.021900,83.605588,4000000.000000,6.000000
14.500000,1.565000,0.018990,0.023200,82.411796,4000000.000000,6.000000
14.650000,1.573100,0.019400,0.024700,81.087629,4000000.000000,6.000000
14.800000,1.580900,0.019830,0.026100,79.722642,4000000.000000,6.000000
14.950000,1.588200,0.020320,0.027500,78.159449,4000000.000000,6.000000
15.100000,1.595300,0.020830,0.028900,76.586654,4000000.000000,6.000000
15.250000,1.602000,0.021380,0.030200,74.929841,4000000.000000,6.000000
15.400000,1.608000,0.022000,0.031600,73.090909,4000000.000000,6.000000
15.550000,1.613600,0.022670,0.032800,71.177768,4000000.000000,6.000000
15.700000,1.618400,0.023410,0.034000,69.132849,4000000.000000,6.000000
15.850000,1.624300,0.024110,0.035000,67.370386,4000000.000000,6.000000
16.000000,1.629800,0.024860,0.036000,65.559131,4000000.000000,6.000000
16.150000,1.634900,0.025690,0.036900,63.639548,4000000.000000,6.000000
16.300000,1.639800,0.026570,0.037600,61.716221,4000000.000000,6.000000
16.450000,1.643600,0.027560,0.038400,59.637155,4000000.000000,6.000000
16.600000,1.647200,0.028610,0.038900,57.574275,4000000.000000,6.000000
16.750000,1.650200,0.029780,0.039400,55.413029,4000000.000000,6.000000
16.900000,1.652500,0.031060,0.039700,53.203477,4000000.000000,6.000000
17.050000,1.654100,0.032450,0.039900,50.973806,4000000.000000,6.000000
17.200000,1.655200,0.033970,0.040000,48.725346,4000000.000000,6.000000
17.350000,1.655300,0.035650,0.039800,46.431978,4000000.000000,6.000000
17.500000,1.654500,0.037480,0.039600,44.143543,4000000.000000,6.000000
17.650000,1.652800,0.039470,0.039100,41.874842,4000000.000000,6.000000
17.800000,1.650100,0.041650,0.038500,39.618247,4000000.000000,6.000000
17.950000,1.646300,0.044040,0.037600,37.381926,4000000.000000,6.000000
18.100000,1.640800,0.046660,0.036600,35.165024,4000000.000000,6.000000
18.250000,1.633700,0.049540,0.035400,32.977392,4000000.000000,6.000000
18.400000,1.625500,0.052630,0.034000,30.885427,4000000.000000,6.000000
18.550000,1.615600,0.056000,0.032400,28.850000,4000000.000000,6.000000
18.700000,1.602800,0.059770,0.030500,26.816128,4000000.000000,6.000000
18.850000,1.589000,0.063750,0.028500,24.925490,4000000.000000,6.000000
19.000000,1.572700,0.068140,0.026300,23.080423,4000000.000000,6.000000
19.150000,1.553700,0.072960,0.023700,21.295230,4000000.000000,6.000000
19.300000,1.532200,0.078200,0.020900,19.593350,4000000.000000,6.000000
19.450000,1.509000,0.083750,0.017900,18.017910,4000000.000000,6.000000
19.600000,1.482000,0.089930,0.014500,16.479484,4000000.000000,6.000000
19.750000,1.452400,0.096580,0.010900,15.038310,4000000.000000,6.000000
19.900000,1.422600,0.103420,0.007100,13.755560,4000000.000000,6.000000
20.050000,1.387000,0.111240,0.002600,12.468536,4000000.000000,6.000000
20.200000,1.350500,0.119420,-0.002200,11.308826,4000000.000000,6.000000
20.350000,1.314600,0.127730,-0.007100,10.292022,4000000.000000,6.000000
20.500000,1.280100,0.135970,-0.012100,9.414577,4000000.000000,6.000000
20.650000,1.240000,0.145590,-0.018200,8.517068,4000000.000000,6.000000
20.800000,1.208800,0.153950,-0.023600,7.851900,4000000.000000,6.000000
20.950000,1.180200,0.162010,-0.028800,7.284736,4000000.000000,6.000000
21.100000,1.155200,0.169680,-0.033900,6.808109,4000000.000000,6.000000
21.250000,1.137300,0.176160,-0.038300,6.456063,4000000.000000,6.000000
21.400000,1.124200,0.181760,-0.042100,6.185079,4000000.000000,6.000000
21.550000,1.108500,0.188110,-0.046400,5.892829,4000000.000000,6.000000
21.700000,1.102300,0.192320,-0.049300,5.731593,4000000.000000,6.000000
21.850000,1.090600,0.197930,-0.053100,5.510029,4000000.000000,6.000000
22.000000,1.086400,0.201790,-0.055800,5.383815,4000000.000000,6.000000
22.150000,1.082400,0.205670,-0.058500,5.262800,4000000.000000,6.000000
22.300000,1.075200,0.210500,-0.061800,5.107838,4000000.000000,6.000000
22.450000,1.073500,0.213900,-0.064200,5.018700,4000000.000000,6.000000
