  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     4.000 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5724   0.00717   0.00217  -0.0010   0.7942   0.0547
  -4.850  -0.5553   0.00711   0.00209  -0.0010   0.7818   0.0585
  -4.700  -0.5383   0.00704   0.00201  -0.0009   0.7692   0.0623
  -4.550  -0.5212   0.00700   0.00194  -0.0008   0.7564   0.0652
  -4.400  -0.5043   0.00692   0.00186  -0.0007   0.7427   0.0719
  -4.250  -0.4871   0.00688   0.00180  -0.0006   0.7295   0.0755
  -4.100  -0.4701   0.00680   0.00173  -0.0006   0.7170   0.0822
  -3.950  -0.4529   0.00676   0.00167  -0.0005   0.7043   0.0867
  -3.800  -0.4360   0.00669   0.00159  -0.0004   0.6914   0.0953
  -3.650  -0.4187   0.00665   0.00154  -0.0004   0.6782   0.0997
  -3.500  -0.4017   0.00658   0.00148  -0.0003   0.6656   0.1093
  -3.350  -0.3845   0.00654   0.00143  -0.0003   0.6524   0.1165
  -3.200  -0.3674   0.00648   0.00137  -0.0002   0.6385   0.1249
  -3.050  -0.3504   0.00642   0.00132  -0.0002   0.6254   0.1351
  -2.900  -0.3330   0.00639   0.00127  -0.0002   0.6127   0.1420
  -2.750  -0.3159   0.00633   0.00122  -0.0001   0.6008   0.1522
  -2.600  -0.2988   0.00628   0.00118  -0.0001   0.5885   0.1632
  -2.450  -0.2815   0.00625   0.00114  -0.0001   0.5752   0.1723
  -2.300  -0.2644   0.00619   0.00110  -0.0001   0.5633   0.1844
  -2.150  -0.2472   0.00615   0.00106  -0.0000   0.5505   0.1957
  -2.000  -0.2301   0.00611   0.00102  -0.0000   0.5380   0.2079
