alpha,cd
-5.000000,0.007670
-4.850000,0.007600
-4.700000,0.007490
-4.550000,0.007420
-4.400000,0.007320
-4.250000,0.007250
-4.100000,0.007160
-3.950000,0.007090
-3.800000,0.007020
-3.650000,0.006940
-3.500000,0.006870
-3.350000,0.006810
-3.200000,0.006740
-3.050000,0.006660
-2.900000,0.006600
-2.750000,0.006550
-2.600000,0.006490
-2.450000,0.006440
-2.300000,0.006380
-2.150000,0.006330
-2.000000,0.006290
-1.850000,0.006250
-1.700000,0.006210
-1.550000,0.006170
-1.400000,0.006140
-1.250000,0.006100
-1.100000,0.006080
-0.950000,0.006060
-0.800000,0.006040
-0.650000,0.006030
-0.500000,0.006010
-0.350000,0.006000
-0.200000,0.005990
-0.050000,0.005990
0.100000,0.006000
0.250000,0.006000
0.400000,0.006000
0.550000,0.006010
0.700000,0.006020
0.850000,0.006040
1.000000,0.006070
1.150000,0.006090
1.300000,0.006120
1.450000,0.006140
1.600000,0.006170
1.750000,0.006220
1.900000,0.006260
2.050000,0.006310
2.200000,0.006360
2.350000,0.006400
2.500000,0.006440
2.650000,0.006510
2.800000,0.006570
3.100000,0.006690
3.250000,0.006750
3.400000,0.006830
3.550000,0.006910
3.700000,0.006960
3.850000,0.007030
4.000000,0.007130
4.150000,0.007190
4.300000,0.007280
4.450000,0.007350
4.600000,0.007440
4.750000,0.007520
4.900000,0.007610
5.050000,0.007710
5.200000,0.007800
5.350000,0.007890
5.500000,0.008000
5.650000,0.008090
5.800000,0.008200
5.950000,0.008320
6.100000,0.008410
6.250000,0.008540
6.400000,0.008670
6.550000,0.008780
6.700000,0.008920
6.850000,0.009060
7.000000,0.009180
7.150000,0.009320
7.300000,0.009480
7.450000,0.009630
7.600000,0.009770
7.750000,0.009930
7.900000,0.010110
8.050000,0.010270
8.200000,0.010430
8.350000,0.010600
8.500000,0.010800
8.650000,0.011000
8.800000,0.011170
8.950000,0.011350
9.100000,0.011550
9.250000,0.011760
9.400000,0.011960
9.550000,0.012160
9.700000,0.012330
9.850000,0.012500
10.000000,0.012690
10.150000,0.012890
10.300000,0.013100
10.450000,0.013330
10.600000,0.013570
10.750000,0.013850
10.900000,0.014060
11.050000,0.014280
11.200000,0.014520
11.350000,0.014770
11.500000,0.015030
11.650000,0.015310
11.800000,0.015600
11.950000,0.015900
12.100000,0.016230
12.250000,0.016580
12.400000,0.016930
12.550000,0.017240
12.700000,0.017560
12.850000,0.017890
13.000000,0.018240
13.150000,0.018600
13.300000,0.018990
13.450000,0.019380
13.600000,0.019790
13.750000,0.020200
13.900000,0.020650
14.050000,0.021130
14.200000,0.021660
14.350000,0.022250
14.500000,0.022910
14.650000,0.023650
14.800000,0.024340
14.950000,0.025060
15.100000,0.025850
15.250000,0.026700
15.400000,0.027640
15.550000,0.028680
15.700000,0.029790
15.850000,0.031030
16.000000,0.032380
16.150000,0.033880
16.300000,0.035490
16.450000,0.037320
16.600000,0.039290
16.750000,0.041480
16.900000,0.043870
17.050000,0.046510
17.200000,0.049380
17.350000,0.052570
17.500000,0.056020
17.650000,0.059790
17.800000,0.063910
17.950000,0.068440
18.100000,0.073430
18.250000,0.078740
18.400000,0.084470
18.550000,0.090660
18.700000,0.097400
18.850000,0.104370
19.000000,0.111660
19.150000,0.119070
19.300000,0.126770
19.450000,0.134060
19.600000,0.141100
19.750000,0.147790
19.900000,0.153790
20.050000,0.159470
20.200000,0.165330
20.350000,0.169960
20.500000,0.175380
20.650000,0.179630
20.800000,0.184570
20.950000,0.188650
21.100000,0.192530
21.250000,0.197200
21.400000,0.200880
21.550000,0.205000
21.700000,0.209150
21.850000,0.212760
22.000000,0.217070
22.150000,0.220840
22.300000,0.224320
22.450000,0.228680
22.600000,0.232190
22.750000,0.235540
22.900000,0.241870
23.050000,0.264560
