alpha,cl
-5.000000,-0.562900
-4.850000,-0.546300
-4.700000,-0.529900
-4.550000,-0.513200
-4.400000,-0.496700
-4.250000,-0.479900
-4.100000,-0.463300
-3.950000,-0.446700
-3.800000,-0.429900
-3.650000,-0.413200
-3.500000,-0.396500
-3.350000,-0.379600
-3.200000,-0.362900
-3.050000,-0.346100
-2.900000,-0.329200
-2.750000,-0.312300
-2.600000,-0.295400
-2.450000,-0.278600
-2.300000,-0.261700
-2.150000,-0.244700
-2.000000,-0.227700
-1.850000,-0.210700
-1.700000,-0.193700
-1.550000,-0.176700
-1.400000,-0.159600
-1.250000,-0.142600
-1.100000,-0.125500
-0.950000,-0.108400
-0.800000,-0.091300
-0.650000,-0.074100
-0.500000,-0.057100
-0.350000,-0.040000
-0.200000,-0.022800
-0.050000,-0.005700
0.100000,0.011400
0.250000,0.028600
0.400000,0.045700
0.550000,0.062800
0.700000,0.079900
0.850000,0.097000
1.000000,0.114100
1.150000,0.131200
1.300000,0.148300
1.450000,0.165300
1.600000,0.182400
1.750000,0.199400
1.900000,0.216400
2.050000,0.233300
2.200000,0.250300
2.350000,0.267300
2.500000,0.284300
2.650000,0.301200
2.800000,0.318000
3.100000,0.351700
3.250000,0.368500
3.400000,0.385400
3.550000,0.402000
3.700000,0.418800
3.850000,0.435500
4.000000,0.452200
4.150000,0.469000
4.300000,0.485500
4.450000,0.502200
4.600000,0.518900
4.750000,0.535400
4.900000,0.551900
5.050000,0.568500
5.200000,0.584800
5.350000,0.601500
5.500000,0.617600
5.650000,0.634200
5.800000,0.650300
5.950000,0.666700
6.100000,0.682900
6.250000,0.699200
6.400000,0.715600
6.550000,0.732200
6.700000,0.748600
6.850000,0.766200
7.000000,0.784100
7.150000,0.801300
7.300000,0.819200
7.450000,0.838500
7.600000,0.857600
7.750000,0.876100
7.900000,0.894100
8.050000,0.912400
8.200000,0.932400
8.350000,0.952300
8.500000,0.971800
8.650000,0.991200
8.800000,1.010700
8.950000,1.029900
9.100000,1.049000
9.250000,1.068000
9.400000,1.082300
9.550000,1.095500
9.700000,1.109300
9.850000,1.123100
10.000000,1.136900
10.150000,1.150800
10.300000,1.164700
10.450000,1.178700
10.600000,1.192700
10.750000,1.206600
10.900000,1.221200
11.050000,1.235700
11.200000,1.250100
11.350000,1.264400
11.500000,1.278600
11.650000,1.292600
11.800000,1.306400
11.950000,1.320000
12.100000,1.333300
12.250000,1.346200
12.400000,1.359000
12.550000,1.372300
12.700000,1.385200
12.850000,1.397900
13.000000,1.410200
13.150000,1.422200
13.300000,1.433700
13.450000,1.444800
13.600000,1.455000
13.750000,1.463600
13.900000,1.471400
14.050000,1.478800
14.200000,1.485700
14.350000,1.492100
14.500000,1.497600
14.650000,1.502200
14.800000,1.507900
14.950000,1.513800
15.100000,1.518900
15.250000,1.523800
15.400000,1.528000
15.550000,1.531500
15.700000,1.534800
15.850000,1.537300
16.000000,1.539200
16.150000,1.540200
16.300000,1.540900
16.450000,1.540200
16.600000,1.538700
16.750000,1.536200
16.900000,1.532700
17.050000,1.527700
17.200000,1.521400
17.350000,1.513100
17.500000,1.503500
17.650000,1.491800
17.800000,1.477900
17.950000,1.461700
18.100000,1.442800
18.250000,1.421800
18.400000,1.398800
18.550000,1.373200
18.700000,1.344600
18.850000,1.315400
19.000000,1.284800
19.150000,1.254500
19.300000,1.223900
19.450000,1.196300
19.600000,1.171200
19.750000,1.149300
19.900000,1.131800
20.050000,1.116300
20.200000,1.100600
20.350000,1.091500
20.500000,1.079300
20.650000,1.072700
20.800000,1.063500
20.950000,1.058400
21.100000,1.054100
21.250000,1.046900
21.400000,1.043800
21.550000,1.039400
21.700000,1.035200
21.850000,1.033200
22.000000,1.028900
22.150000,1.026800
22.300000,1.025800
22.450000,1.022300
22.600000,1.021600
22.750000,1.021500
22.900000,1.013300
23.050000,0.970100
