  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     2.200 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5629   0.00767   0.00249  -0.0030   0.8873   0.0706
  -4.850  -0.5463   0.00760   0.00240  -0.0028   0.8768   0.0747
  -4.700  -0.5299   0.00749   0.00230  -0.0026   0.8666   0.0817
  -4.550  -0.5132   0.00742   0.00221  -0.0024   0.8555   0.0863
  -4.400  -0.4967   0.00732   0.00212  -0.0022   0.8438   0.0945
  -4.250  -0.4799   0.00725   0.00204  -0.0021   0.8320   0.1009
  -4.100  -0.4633   0.00716   0.00195  -0.0019   0.8203   0.1089
  -3.950  -0.4467   0.00709   0.00187  -0.0017   0.8073   0.1172
  -3.800  -0.4299   0.00702   0.00180  -0.0016   0.7946   0.1255
  -3.650  -0.4132   0.00694   0.00172  -0.0015   0.7817   0.1357
  -3.500  -0.3965   0.00687   0.00165  -0.0013   0.7690   0.1456
  -3.350  -0.3796   0.00681   0.00159  -0.0012   0.7553   0.1554
  -3.200  -0.3629   0.00674   0.00152  -0.0011   0.7423   0.1664
  -3.050  -0.3461   0.00666   0.00146  -0.0010   0.7287   0.1787
  -2.900  -0.3292   0.00660   0.00140  -0.0009   0.7159   0.1901
  -2.750  -0.3123   0.00655   0.00135  -0.0008   0.7018   0.2030
  -2.600  -0.2954   0.00649   0.00130  -0.0008   0.6876   0.2151
  -2.450  -0.2786   0.00644   0.00125  -0.0007   0.6737   0.2284
  -2.300  -0.2617   0.00638   0.00120  -0.0006   0.6598   0.2418
  -2.150  -0.2447   0.00633   0.00116  -0.0005   0.6463   0.2545
  -2.000  -0.2277   0.00629   0.00113  -0.0005   0.6332   0.2680
  -1.850  -0.2107   0.00625   0.00109  -0.0004   0.6197   0.2819
  -1.700  -0.1937   0.00621   0.00106  -0.0004   0.6060   0.2954
  -1.550  -0.1767   0.00617   0.00103  -0.0003   0.5922   0.3101
  -1.400  -0.1596   0.00614   0.00100  -0.0003   0.5782   0.3240
  -1.250  -0.1426   0.00610   0.00098  -0.0002   0.5651   0.3379
  -1.100  -0.1255   0.00608   0.00096  -0.0002   0.5519   0.3518
  -0.950  -0.1084   0.00606   0.00094  -0.0002   0.5392   0.3654
  -0.800  -0.0913   0.00604   0.00092  -0.0001   0.5249   0.3790
  -0.650  -0.0741   0.00603   0.00091  -0.0001   0.5114   0.3931
  -0.500  -0.0571   0.00601   0.00090  -0.0001   0.4976   0.4069
  -0.350  -0.0400   0.00600   0.00089  -0.0001   0.4841   0.4211
  -0.200  -0.0228   0.00599   0.00089  -0.0000   0.4707   0.4339
  -0.050  -0.0057   0.00599   0.00089  -0.0000   0.4567   0.4475
   0.100   0.0114   0.00600   0.00089   0.0000   0.4432   0.4608
   0.250   0.0286   0.00600   0.00089   0.0000   0.4303   0.4750
   0.400   0.0457   0.00600   0.00089   0.0001   0.4164   0.4894
   0.550   0.0628   0.00601   0.00090   0.0001   0.4027   0.5028
   0.700   0.0799   0.00602   0.00091   0.0001   0.3891   0.5158
   0.850   0.0970   0.00604   0.00093   0.0002   0.3749   0.5295
   1.000   0.1141   0.00607   0.00095   0.0002   0.3605   0.5427
   1.150   0.1312   0.00609   0.00096   0.0002   0.3466   0.5565
   1.300   0.1483   0.00612   0.00098   0.0003   0.3327   0.5696
   1.450   0.1653   0.00614   0.00101   0.0003   0.3192   0.5833
   1.600   0.1824   0.00617   0.00104   0.0003   0.3061   0.5968
   1.750   0.1994   0.00622   0.00107   0.0004   0.2916   0.6099
   1.900   0.2164   0.00626   0.00110   0.0004   0.2778   0.6239
   2.050   0.2333   0.00631   0.00114   0.0005   0.2636   0.6380
   2.200   0.2503   0.00636   0.00118   0.0006   0.2493   0.6512
   2.350   0.2673   0.00640   0.00122   0.0006   0.2373   0.6647
   2.500   0.2843   0.00644   0.00126   0.0007   0.2248   0.6785
   2.650   0.3012   0.00651   0.00131   0.0008   0.2114   0.6925
   2.800   0.3180   0.00657   0.00137   0.0009   0.1988   0.7062
   3.100   0.3517   0.00669   0.00148   0.0010   0.1743   0.7328
   3.250   0.3685   0.00675   0.00154   0.0011   0.1633   0.7463
   3.400   0.3854   0.00683   0.00161   0.0013   0.1527   0.7594
   3.550   0.4020   0.00691   0.00168   0.0014   0.1404   0.7729
   3.700   0.4188   0.00696   0.00175   0.0015   0.1323   0.7861
   3.850   0.4355   0.00703   0.00182   0.0017   0.1234   0.7994
   4.000   0.4522   0.00713   0.00190   0.0018   0.1135   0.8115
   4.150   0.4690   0.00719   0.00198   0.0019   0.1065   0.8243
   4.300   0.4855   0.00728   0.00206   0.0021   0.0983   0.8363
   4.450   0.5022   0.00735   0.00215   0.0023   0.0917   0.8475
   4.600   0.5189   0.00744   0.00224   0.0025   0.0849   0.8589
   4.750   0.5354   0.00752   0.00233   0.0027   0.0797   0.8703
   4.900   0.5519   0.00761   0.00243   0.0029   0.0738   0.8803
   5.050   0.5685   0.00771   0.00252   0.0031   0.0689   0.8904
   5.200   0.5848   0.00780   0.00262   0.0033   0.0640   0.9000
   5.350   0.6015   0.00789   0.00272   0.0035   0.0608   0.9087
   5.500   0.6176   0.00800   0.00283   0.0038   0.0564   0.9178
   5.650   0.6342   0.00809   0.00293   0.0041   0.0533   0.9256
   5.800   0.6503   0.00820   0.00304   0.0044   0.0501   0.9335
   5.950   0.6667   0.00832   0.00316   0.0046   0.0468   0.9406
   6.100   0.6829   0.00841   0.00326   0.0050   0.0450   0.9474
   6.250   0.6992   0.00854   0.00338   0.0053   0.0423   0.9539
   6.400   0.7156   0.00867   0.00350   0.0055   0.0398   0.9593
   6.550   0.7322   0.00878   0.00362   0.0057   0.0380   0.9649
   6.700   0.7486   0.00892   0.00375   0.0060   0.0360   0.9698
   6.850   0.7662   0.00906   0.00388   0.0059   0.0340   0.9735
   7.000   0.7841   0.00918   0.00401   0.0059   0.0329   0.9773
   7.150   0.8013   0.00932   0.00414   0.0060   0.0314   0.9812
   7.300   0.8192   0.00948   0.00429   0.0058   0.0298   0.9839
   7.450   0.8385   0.00963   0.00443   0.0054   0.0284   0.9858
   7.600   0.8576   0.00977   0.00458   0.0051   0.0273   0.9879
   7.750   0.8761   0.00993   0.00473   0.0049   0.0261   0.9901
   7.900   0.8941   0.01011   0.00490   0.0047   0.0248   0.9922
   8.050   0.9124   0.01027   0.00506   0.0046   0.0240   0.9939
   8.200   0.9324   0.01043   0.00522   0.0040   0.0233   0.9945
   8.350   0.9523   0.01060   0.00540   0.0035   0.0224   0.9952
   8.500   0.9718   0.01080   0.00559   0.0030   0.0214   0.9959
   8.650   0.9912   0.01100   0.00579   0.0025   0.0203   0.9968
   8.800   1.0107   0.01117   0.00596   0.0021   0.0199   0.9976
   8.950   1.0299   0.01135   0.00615   0.0017   0.0193   0.9985
   9.100   1.0490   0.01155   0.00635   0.0014   0.0187   0.9992
   9.250   1.0680   0.01176   0.00657   0.0010   0.0180   0.9999
   9.400   1.0823   0.01196   0.00677   0.0016   0.0174   1.0000
   9.550   1.0955   0.01216   0.00698   0.0025   0.0169   1.0000
   9.700   1.1093   0.01233   0.00716   0.0033   0.0166   1.0000
   9.850   1.1231   0.01250   0.00735   0.0041   0.0163   1.0000
  10.000   1.1369   0.01269   0.00755   0.0048   0.0160   1.0000
  10.150   1.1508   0.01289   0.00776   0.0056   0.0156   1.0000
  10.300   1.1647   0.01310   0.00799   0.0063   0.0152   1.0000
  10.450   1.1787   0.01333   0.00822   0.0070   0.0148   1.0000
  10.600   1.1927   0.01357   0.00847   0.0077   0.0144   1.0000
  10.750   1.2066   0.01385   0.00876   0.0084   0.0138   1.0000
  10.900   1.2212   0.01406   0.00899   0.0089   0.0137   1.0000
  11.050   1.2357   0.01428   0.00924   0.0095   0.0135   1.0000
  11.200   1.2501   0.01452   0.00950   0.0101   0.0132   1.0000
  11.350   1.2644   0.01477   0.00977   0.0107   0.0130   1.0000
  11.500   1.2786   0.01503   0.01005   0.0113   0.0127   1.0000
  11.650   1.2926   0.01531   0.01034   0.0119   0.0124   1.0000
  11.800   1.3064   0.01560   0.01065   0.0126   0.0122   1.0000
  11.950   1.3200   0.01590   0.01097   0.0132   0.0119   1.0000
  12.100   1.3333   0.01623   0.01132   0.0140   0.0116   1.0000
  12.250   1.3462   0.01658   0.01170   0.0147   0.0113   1.0000
  12.400   1.3590   0.01693   0.01208   0.0155   0.0111   1.0000
  12.550   1.3723   0.01724   0.01242   0.0162   0.0110   1.0000
  12.700   1.3852   0.01756   0.01277   0.0169   0.0109   1.0000
  12.850   1.3979   0.01789   0.01314   0.0177   0.0108   1.0000
  13.000   1.4102   0.01824   0.01352   0.0185   0.0106   1.0000
  13.150   1.4222   0.01860   0.01391   0.0194   0.0105   1.0000
  13.300   1.4337   0.01899   0.01433   0.0203   0.0103   1.0000
  13.450   1.4448   0.01938   0.01476   0.0212   0.0101   1.0000
  13.600   1.4550   0.01979   0.01520   0.0223   0.0100   1.0000
  13.750   1.4636   0.02020   0.01564   0.0236   0.0098   1.0000
  13.900   1.4714   0.02065   0.01612   0.0251   0.0096   1.0000
  14.050   1.4788   0.02113   0.01664   0.0265   0.0095   1.0000
  14.200   1.4857   0.02166   0.01721   0.0278   0.0093   1.0000
  14.350   1.4921   0.02225   0.01784   0.0292   0.0092   1.0000
  14.500   1.4976   0.02291   0.01854   0.0305   0.0090   1.0000
  14.650   1.5022   0.02365   0.01934   0.0318   0.0089   1.0000
  14.800   1.5079   0.02434   0.02008   0.0329   0.0088   1.0000
  14.950   1.5138   0.02506   0.02084   0.0339   0.0088   1.0000
  15.100   1.5189   0.02585   0.02169   0.0348   0.0087   1.0000
  15.250   1.5238   0.02670   0.02259   0.0357   0.0086   1.0000
  15.400   1.5280   0.02764   0.02359   0.0364   0.0086   1.0000
  15.550   1.5315   0.02868   0.02468   0.0371   0.0085   1.0000
  15.700   1.5348   0.02979   0.02584   0.0376   0.0084   1.0000
  15.850   1.5373   0.03103   0.02715   0.0380   0.0084   1.0000
  16.000   1.5392   0.03238   0.02855   0.0383   0.0083   1.0000
  16.150   1.5402   0.03388   0.03011   0.0383   0.0083   1.0000
  16.300   1.5409   0.03549   0.03178   0.0382   0.0082   1.0000
  16.450   1.5402   0.03732   0.03367   0.0379   0.0081   1.0000
  16.600   1.5387   0.03929   0.03572   0.0375   0.0081   1.0000
  16.750   1.5362   0.04148   0.03797   0.0368   0.0080   1.0000
  16.900   1.5327   0.04387   0.04043   0.0359   0.0080   1.0000
  17.050   1.5277   0.04651   0.04314   0.0348   0.0079   1.0000
  17.200   1.5214   0.04938   0.04608   0.0335   0.0079   1.0000
  17.350   1.5131   0.05257   0.04935   0.0320   0.0079   1.0000
  17.500   1.5035   0.05602   0.05288   0.0302   0.0078   1.0000
  17.650   1.4918   0.05979   0.05673   0.0283   0.0078   1.0000
  17.800   1.4779   0.06391   0.06092   0.0262   0.0078   1.0000
  17.950   1.4617   0.06844   0.06554   0.0238   0.0078   1.0000
  18.100   1.4428   0.07343   0.07060   0.0211   0.0078   1.0000
  18.250   1.4218   0.07874   0.07600   0.0182   0.0078   1.0000
  18.400   1.3988   0.08447   0.08181   0.0152   0.0079   1.0000
  18.550   1.3732   0.09066   0.08809   0.0118   0.0079   1.0000
  18.700   1.3446   0.09740   0.09492   0.0081   0.0079   1.0000
  18.850   1.3154   0.10437   0.10198   0.0043   0.0080   1.0000
  19.000   1.2848   0.11166   0.10935   0.0003   0.0081   1.0000
  19.150   1.2545   0.11907   0.11685  -0.0039   0.0081   1.0000
  19.300   1.2239   0.12677   0.12463  -0.0083   0.0082   1.0000
  19.450   1.1963   0.13406   0.13199  -0.0126   0.0082   1.0000
  19.600   1.1712   0.14110   0.13910  -0.0168   0.0083   1.0000
  19.750   1.1493   0.14779   0.14585  -0.0208   0.0083   1.0000
  19.900   1.1318   0.15379   0.15191  -0.0245   0.0083   1.0000
