alpha,cd
-5.000000,0.006890
-4.850000,0.006840
-4.700000,0.006780
-4.550000,0.006750
-4.400000,0.006690
-4.250000,0.006640
-4.100000,0.006600
-3.950000,0.006540
-3.800000,0.006510
-3.650000,0.006430
-3.500000,0.006410
-3.350000,0.006360
-3.200000,0.006320
-3.050000,0.006260
-2.900000,0.006240
-2.750000,0.006180
-2.600000,0.006140
-2.450000,0.006110
-2.300000,0.006070
-2.150000,0.006030
-2.000000,0.005990
-1.850000,0.005960
-1.700000,0.005940
-1.550000,0.005900
-1.400000,0.005880
-1.250000,0.005850
-1.100000,0.005830
-0.950000,0.005810
-0.800000,0.005790
-0.650000,0.005790
-0.500000,0.005770
-0.350000,0.005760
-0.200000,0.005760
-0.050000,0.005760
0.100000,0.005760
0.250000,0.005760
0.400000,0.005760
0.550000,0.005780
0.700000,0.005790
0.850000,0.005800
1.150000,0.005840
1.300000,0.005860
1.450000,0.005890
1.600000,0.005910
1.750000,0.005940
1.900000,0.005970
2.050000,0.006010
2.200000,0.006050
2.350000,0.006070
2.500000,0.006110
2.650000,0.006160
2.800000,0.006190
2.950000,0.006250
3.100000,0.006280
3.250000,0.006320
3.400000,0.006370
3.550000,0.006420
3.700000,0.006460
3.850000,0.006510
4.000000,0.006550
4.150000,0.006610
4.300000,0.006650
4.450000,0.006720
4.600000,0.006760
4.750000,0.006800
4.900000,0.006870
5.050000,0.006910
5.200000,0.006970
5.350000,0.007030
5.500000,0.007080
5.650000,0.007140
5.800000,0.007210
6.100000,0.007330
6.250000,0.007400
6.400000,0.007460
6.550000,0.007520
6.700000,0.007600
6.850000,0.007690
7.000000,0.007760
7.150000,0.007830
7.300000,0.007920
7.450000,0.008020
7.600000,0.008110
7.750000,0.008190
7.900000,0.008290
8.050000,0.008400
8.200000,0.008520
8.350000,0.008620
8.500000,0.008720
8.650000,0.008830
8.800000,0.008950
8.950000,0.009080
9.100000,0.009220
9.250000,0.009370
9.400000,0.009500
9.550000,0.009640
9.700000,0.009780
9.850000,0.009940
10.000000,0.010120
10.150000,0.010300
10.300000,0.010490
10.450000,0.010660
10.600000,0.010830
10.750000,0.011010
10.900000,0.011190
11.050000,0.011360
11.200000,0.011540
11.350000,0.011730
11.500000,0.011930
11.650000,0.012140
11.800000,0.012360
11.950000,0.012580
12.100000,0.012800
12.250000,0.013000
12.400000,0.013210
12.550000,0.013420
12.700000,0.013650
12.850000,0.013890
13.000000,0.014130
13.150000,0.014390
13.300000,0.014660
13.450000,0.014940
13.600000,0.015230
13.750000,0.015540
13.900000,0.015850
14.050000,0.016180
14.200000,0.016520
14.350000,0.016830
14.500000,0.017140
14.650000,0.017470
14.800000,0.017810
14.950000,0.018150
15.100000,0.018510
15.250000,0.018890
15.400000,0.019300
15.550000,0.019730
15.700000,0.020200
15.850000,0.020700
16.000000,0.021250
16.150000,0.021840
16.300000,0.022480
16.450000,0.023170
16.600000,0.023920
16.750000,0.024740
16.900000,0.025630
17.050000,0.026610
17.200000,0.027690
17.350000,0.028880
17.500000,0.030150
17.650000,0.031580
17.800000,0.033110
17.950000,0.034840
18.100000,0.036700
18.250000,0.038750
18.400000,0.041030
18.550000,0.043450
18.700000,0.046130
18.850000,0.048800
19.000000,0.051870
19.150000,0.055110
19.300000,0.058700
19.450000,0.062610
19.600000,0.066800
19.750000,0.071430
19.900000,0.076450
20.050000,0.081780
20.200000,0.087890
20.350000,0.094500
20.500000,0.101010
20.650000,0.108190
20.800000,0.115130
20.950000,0.122470
21.100000,0.130770
21.250000,0.138460
21.400000,0.146380
21.550000,0.154570
21.700000,0.162650
21.850000,0.170750
22.000000,0.178740
22.150000,0.186450
22.300000,0.193770
22.450000,0.198580
22.600000,0.205120
22.750000,0.211480
22.900000,0.215610
23.050000,0.221680
