alpha,cl
-5.000000,-0.577400
-4.850000,-0.560100
-4.700000,-0.542900
-4.550000,-0.525600
-4.400000,-0.508300
-4.250000,-0.491100
-4.100000,-0.473800
-3.950000,-0.456600
-3.800000,-0.439200
-3.650000,-0.422100
-3.500000,-0.404600
-3.350000,-0.387400
-3.200000,-0.370000
-3.050000,-0.352800
-2.900000,-0.335400
-2.750000,-0.318200
-2.600000,-0.300800
-2.450000,-0.283500
-2.300000,-0.266300
-2.150000,-0.248900
-2.000000,-0.231500
-1.850000,-0.214200
-1.700000,-0.196800
-1.550000,-0.179400
-1.400000,-0.162200
-1.250000,-0.144700
-1.100000,-0.127400
-0.950000,-0.110100
-0.800000,-0.092800
-0.650000,-0.075300
-0.500000,-0.057900
-0.350000,-0.040600
-0.200000,-0.023100
-0.050000,-0.005700
0.100000,0.011600
0.250000,0.028900
0.400000,0.046400
0.550000,0.063800
0.700000,0.081100
0.850000,0.098500
1.150000,0.133200
1.300000,0.150500
1.450000,0.168000
1.600000,0.185300
1.750000,0.202600
1.900000,0.220000
2.050000,0.237400
2.200000,0.254600
2.350000,0.272100
2.500000,0.289400
2.650000,0.306600
2.800000,0.324000
2.950000,0.341200
3.100000,0.358600
3.250000,0.375900
3.400000,0.393200
3.550000,0.410500
3.700000,0.427800
3.850000,0.445000
4.000000,0.462400
4.150000,0.479600
4.300000,0.496900
4.450000,0.514100
4.600000,0.531500
4.750000,0.548800
4.900000,0.565800
5.050000,0.583100
5.200000,0.600300
5.350000,0.617500
5.500000,0.634700
5.650000,0.651800
5.800000,0.669000
6.100000,0.703300
6.250000,0.720300
6.400000,0.737500
6.550000,0.754600
6.700000,0.771400
6.850000,0.788300
7.000000,0.805400
7.150000,0.822200
7.300000,0.839100
7.450000,0.855700
7.600000,0.872500
7.750000,0.889300
7.900000,0.905800
8.050000,0.922300
8.200000,0.938600
8.350000,0.954900
8.500000,0.971500
8.650000,0.987400
8.800000,1.003800
8.950000,1.019800
9.100000,1.035900
9.250000,1.052300
9.400000,1.069900
9.550000,1.087700
9.700000,1.105100
9.850000,1.122000
10.000000,1.140900
10.150000,1.159600
10.300000,1.178200
10.450000,1.196800
10.600000,1.215300
10.750000,1.233700
10.900000,1.252000
11.050000,1.267600
11.200000,1.282200
11.350000,1.296900
11.500000,1.311800
11.650000,1.326800
11.800000,1.341700
11.950000,1.356700
12.100000,1.371800
12.250000,1.387000
12.400000,1.402200
12.550000,1.417200
12.700000,1.432100
12.850000,1.446900
13.000000,1.461500
13.150000,1.475900
13.300000,1.490100
13.450000,1.504100
13.600000,1.517800
13.750000,1.531300
13.900000,1.544500
14.050000,1.557500
14.200000,1.570100
14.350000,1.583000
14.500000,1.595600
14.650000,1.607800
14.800000,1.619500
14.950000,1.630200
15.100000,1.639100
15.250000,1.647600
15.400000,1.655700
15.550000,1.663600
15.700000,1.671300
15.850000,1.678700
16.000000,1.685700
16.150000,1.692300
16.300000,1.698400
16.450000,1.704100
16.600000,1.709400
16.750000,1.714300
16.900000,1.718700
17.050000,1.722300
17.200000,1.725300
17.350000,1.727800
17.500000,1.729800
17.650000,1.730700
17.800000,1.731300
17.950000,1.730600
18.100000,1.729000
18.250000,1.726400
18.400000,1.722500
18.550000,1.717900
18.700000,1.711500
18.850000,1.705600
19.000000,1.697100
19.150000,1.687600
19.300000,1.675500
19.450000,1.661600
19.600000,1.646100
19.750000,1.627700
19.900000,1.606700
20.050000,1.584100
20.200000,1.556700
20.350000,1.526200
20.500000,1.497200
20.650000,1.464600
20.800000,1.434100
20.950000,1.402300
21.100000,1.365600
21.250000,1.333700
21.400000,1.302100
21.550000,1.270500
21.700000,1.240500
21.850000,1.212400
22.000000,1.186500
22.150000,1.163500
22.300000,1.143100
22.450000,1.134100
22.600000,1.118700
22.750000,1.105100
22.900000,1.100500
23.050000,1.089300
