  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     6.200 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5774   0.00689   0.00199  -0.0002   0.7128   0.0462
  -4.850  -0.5601   0.00684   0.00192  -0.0001   0.7003   0.0494
  -4.700  -0.5429   0.00678   0.00185  -0.0001   0.6879   0.0529
  -4.550  -0.5256   0.00675   0.00179  -0.0000   0.6743   0.0549
  -4.400  -0.5083   0.00669   0.00173  -0.0000   0.6628   0.0590
  -4.250  -0.4911   0.00664   0.00167   0.0000   0.6510   0.0629
  -4.100  -0.4738   0.00660   0.00161   0.0001   0.6385   0.0673
  -3.950  -0.4566   0.00654   0.00155   0.0001   0.6255   0.0727
  -3.800  -0.4392   0.00651   0.00150   0.0001   0.6122   0.0765
  -3.650  -0.4221   0.00643   0.00143   0.0002   0.6008   0.0840
  -3.500  -0.4046   0.00641   0.00139   0.0002   0.5888   0.0876
  -3.350  -0.3874   0.00636   0.00134   0.0002   0.5766   0.0948
  -3.200  -0.3700   0.00632   0.00130   0.0002   0.5651   0.1007
  -3.050  -0.3528   0.00626   0.00124   0.0002   0.5539   0.1091
  -2.900  -0.3354   0.00624   0.00121   0.0002   0.5413   0.1151
  -2.750  -0.3182   0.00618   0.00116   0.0002   0.5289   0.1249
  -2.600  -0.3008   0.00614   0.00112   0.0002   0.5192   0.1322
  -2.450  -0.2835   0.00611   0.00108   0.0002   0.5058   0.1401
  -2.300  -0.2663   0.00607   0.00105   0.0002   0.4931   0.1508
  -2.150  -0.2489   0.00603   0.00102   0.0002   0.4833   0.1608
  -2.000  -0.2315   0.00599   0.00098   0.0002   0.4721   0.1692
  -1.850  -0.2142   0.00596   0.00096   0.0002   0.4601   0.1795
  -1.700  -0.1968   0.00594   0.00093   0.0002   0.4492   0.1891
  -1.550  -0.1794   0.00590   0.00090   0.0002   0.4380   0.2002
  -1.400  -0.1622   0.00588   0.00088   0.0002   0.4251   0.2118
  -1.250  -0.1447   0.00585   0.00087   0.0002   0.4151   0.2219
  -1.100  -0.1274   0.00583   0.00085   0.0001   0.4026   0.2327
  -0.950  -0.1101   0.00581   0.00083   0.0001   0.3910   0.2452
  -0.800  -0.0928   0.00579   0.00082   0.0001   0.3784   0.2580
  -0.650  -0.0753   0.00579   0.00081   0.0001   0.3679   0.2670
  -0.500  -0.0579   0.00577   0.00080   0.0001   0.3570   0.2778
  -0.350  -0.0406   0.00576   0.00079   0.0001   0.3437   0.2916
  -0.200  -0.0231   0.00576   0.00079   0.0000   0.3339   0.3010
  -0.050  -0.0057   0.00576   0.00079  -0.0000   0.3219   0.3130
   0.100   0.0116   0.00576   0.00078  -0.0000   0.3096   0.3257
   0.250   0.0289   0.00576   0.00079  -0.0000   0.2972   0.3376
   0.400   0.0464   0.00576   0.00079  -0.0001   0.2881   0.3489
   0.550   0.0638   0.00578   0.00080  -0.0001   0.2754   0.3597
   0.700   0.0811   0.00579   0.00081  -0.0001   0.2636   0.3723
   0.850   0.0985   0.00580   0.00082  -0.0001   0.2525   0.3839
   1.150   0.1332   0.00584   0.00085  -0.0002   0.2296   0.4070
   1.300   0.1505   0.00586   0.00087  -0.0002   0.2176   0.4185
   1.450   0.1680   0.00589   0.00089  -0.0002   0.2087   0.4288
   1.600   0.1853   0.00591   0.00091  -0.0002   0.1974   0.4413
   1.750   0.2026   0.00594   0.00094  -0.0002   0.1865   0.4535
   1.900   0.2200   0.00597   0.00097  -0.0002   0.1767   0.4651
   2.050   0.2374   0.00601   0.00099  -0.0002   0.1665   0.4750
   2.200   0.2546   0.00605   0.00103  -0.0002   0.1549   0.4877
   2.350   0.2721   0.00607   0.00106  -0.0002   0.1485   0.4978
   2.500   0.2894   0.00611   0.00110  -0.0002   0.1389   0.5098
   2.650   0.3066   0.00616   0.00114  -0.0002   0.1289   0.5222
   2.800   0.3240   0.00619   0.00117  -0.0002   0.1225   0.5330
   2.950   0.3412   0.00625   0.00122  -0.0002   0.1121   0.5445
   3.100   0.3586   0.00628   0.00126  -0.0002   0.1067   0.5576
   3.250   0.3759   0.00632   0.00131  -0.0002   0.0986   0.5697
   3.400   0.3932   0.00637   0.00136  -0.0002   0.0933   0.5808
   3.550   0.4105   0.00642   0.00141  -0.0002   0.0861   0.5930
   3.700   0.4278   0.00646   0.00146  -0.0001   0.0815   0.6057
   3.850   0.4450   0.00651   0.00151  -0.0001   0.0745   0.6179
   4.000   0.4624   0.00655   0.00157  -0.0001   0.0713   0.6301
   4.150   0.4796   0.00661   0.00163  -0.0001   0.0660   0.6414
   4.300   0.4969   0.00665   0.00168  -0.0000   0.0622   0.6543
   4.450   0.5141   0.00672   0.00175   0.0000   0.0574   0.6663
   4.600   0.5315   0.00676   0.00181   0.0000   0.0545   0.6784
   4.750   0.5488   0.00680   0.00187   0.0001   0.0518   0.6910
   4.900   0.5658   0.00687   0.00195   0.0001   0.0473   0.7037
   5.050   0.5831   0.00691   0.00201   0.0002   0.0455   0.7172
   5.200   0.6003   0.00697   0.00209   0.0003   0.0429   0.7299
   5.350   0.6175   0.00703   0.00217   0.0003   0.0400   0.7421
   5.500   0.6347   0.00708   0.00223   0.0004   0.0385   0.7558
   5.650   0.6518   0.00714   0.00232   0.0005   0.0362   0.7678
   5.800   0.6690   0.00721   0.00240   0.0005   0.0338   0.7794
   6.100   0.7033   0.00733   0.00256   0.0007   0.0313   0.8047
   6.250   0.7203   0.00740   0.00266   0.0008   0.0293   0.8168
   6.400   0.7375   0.00746   0.00274   0.0009   0.0284   0.8282
   6.550   0.7546   0.00752   0.00282   0.0010   0.0274   0.8401
   6.700   0.7714   0.00760   0.00293   0.0012   0.0260   0.8518
   6.850   0.7883   0.00769   0.00303   0.0013   0.0243   0.8624
   7.000   0.8054   0.00776   0.00312   0.0015   0.0237   0.8733
   7.150   0.8222   0.00783   0.00322   0.0016   0.0230   0.8840
   7.300   0.8391   0.00792   0.00333   0.0018   0.0220   0.8932
   7.450   0.8557   0.00802   0.00344   0.0020   0.0208   0.9036
   7.600   0.8725   0.00811   0.00355   0.0022   0.0201   0.9121
   7.750   0.8893   0.00819   0.00365   0.0025   0.0197   0.9211
   7.900   0.9058   0.00829   0.00377   0.0027   0.0189   0.9289
   8.050   0.9223   0.00840   0.00389   0.0030   0.0182   0.9371
   8.200   0.9386   0.00852   0.00402   0.0033   0.0173   0.9439
   8.350   0.9549   0.00862   0.00414   0.0036   0.0168   0.9514
   8.500   0.9715   0.00872   0.00426   0.0038   0.0165   0.9570
   8.650   0.9874   0.00883   0.00438   0.0042   0.0161   0.9637
   8.800   1.0038   0.00895   0.00450   0.0045   0.0157   0.9690
   8.950   1.0198   0.00908   0.00464   0.0049   0.0152   0.9739
   9.100   1.0359   0.00922   0.00478   0.0053   0.0146   0.9789
   9.250   1.0523   0.00937   0.00493   0.0056   0.0140   0.9826
   9.400   1.0699   0.00950   0.00507   0.0056   0.0137   0.9857
   9.550   1.0877   0.00964   0.00521   0.0056   0.0135   0.9886
   9.700   1.1051   0.00978   0.00536   0.0056   0.0132   0.9914
   9.850   1.1220   0.00994   0.00551   0.0058   0.0128   0.9937
  10.000   1.1409   0.01012   0.00568   0.0055   0.0124   0.9947
  10.150   1.1596   0.01030   0.00587   0.0053   0.0119   0.9958
  10.300   1.1782   0.01049   0.00605   0.0051   0.0115   0.9968
  10.450   1.1968   0.01066   0.00624   0.0049   0.0111   0.9977
  10.600   1.2153   0.01083   0.00641   0.0047   0.0110   0.9985
  10.750   1.2337   0.01101   0.00659   0.0045   0.0109   0.9992
  10.900   1.2520   0.01119   0.00677   0.0044   0.0107   0.9998
  11.050   1.2676   0.01136   0.00695   0.0049   0.0105   1.0000
  11.200   1.2822   0.01154   0.00714   0.0055   0.0103   1.0000
  11.350   1.2969   0.01173   0.00733   0.0061   0.0101   1.0000
  11.500   1.3118   0.01193   0.00754   0.0067   0.0098   1.0000
  11.650   1.3268   0.01214   0.00775   0.0073   0.0096   1.0000
  11.800   1.3417   0.01236   0.00798   0.0078   0.0093   1.0000
  11.950   1.3567   0.01258   0.00821   0.0084   0.0090   1.0000
  12.100   1.3718   0.01280   0.00844   0.0089   0.0088   1.0000
  12.250   1.3870   0.01300   0.00865   0.0094   0.0088   1.0000
  12.400   1.4022   0.01321   0.00887   0.0099   0.0087   1.0000
  12.550   1.4172   0.01342   0.00910   0.0104   0.0086   1.0000
  12.700   1.4321   0.01365   0.00934   0.0110   0.0084   1.0000
  12.850   1.4469   0.01389   0.00959   0.0115   0.0083   1.0000
  13.000   1.4615   0.01413   0.00985   0.0121   0.0082   1.0000
  13.150   1.4759   0.01439   0.01012   0.0127   0.0080   1.0000
  13.300   1.4901   0.01466   0.01040   0.0134   0.0079   1.0000
  13.450   1.5041   0.01494   0.01070   0.0140   0.0077   1.0000
  13.600   1.5178   0.01523   0.01101   0.0147   0.0075   1.0000
  13.750   1.5313   0.01554   0.01133   0.0155   0.0073   1.0000
  13.900   1.5445   0.01585   0.01166   0.0162   0.0072   1.0000
  14.050   1.5575   0.01618   0.01201   0.0170   0.0070   1.0000
  14.200   1.5701   0.01652   0.01237   0.0179   0.0068   1.0000
  14.350   1.5830   0.01683   0.01271   0.0187   0.0068   1.0000
  14.500   1.5956   0.01714   0.01304   0.0195   0.0068   1.0000
