alpha,cd
-5.000000,0.007160
-4.850000,0.007070
-4.700000,0.007010
-4.550000,0.006910
-4.400000,0.006860
-4.250000,0.006770
-4.100000,0.006700
-3.950000,0.006630
-3.800000,0.006570
-3.650000,0.006510
-3.500000,0.006430
-3.350000,0.006360
-3.200000,0.006310
-3.050000,0.006260
-2.900000,0.006190
-2.750000,0.006130
-2.600000,0.006090
-2.450000,0.006040
-2.300000,0.005980
-2.150000,0.005940
-2.000000,0.005890
-1.850000,0.005850
-1.700000,0.005830
-1.550000,0.005790
-1.400000,0.005760
-1.250000,0.005720
-1.100000,0.005700
-0.950000,0.005680
-0.800000,0.005670
-0.650000,0.005660
-0.500000,0.005640
-0.350000,0.005620
-0.200000,0.005610
-0.050000,0.005610
0.100000,0.005630
0.250000,0.005630
0.400000,0.005630
0.550000,0.005630
0.700000,0.005650
0.850000,0.005670
1.000000,0.005700
1.150000,0.005710
1.300000,0.005730
1.450000,0.005760
1.600000,0.005800
1.750000,0.005840
1.900000,0.005880
2.050000,0.005910
2.200000,0.005950
2.350000,0.005990
2.500000,0.006060
2.650000,0.006110
2.800000,0.006160
2.950000,0.006200
3.100000,0.006260
3.250000,0.006340
3.400000,0.006400
3.550000,0.006440
3.700000,0.006520
3.850000,0.006590
4.000000,0.006650
4.150000,0.006740
4.300000,0.006790
4.450000,0.006870
4.600000,0.006940
4.750000,0.007020
4.900000,0.007090
5.050000,0.007190
5.200000,0.007250
5.350000,0.007350
5.500000,0.007430
5.650000,0.007520
5.800000,0.007620
5.950000,0.007700
6.100000,0.007810
6.250000,0.007920
6.400000,0.008010
6.550000,0.008120
6.700000,0.008240
6.850000,0.008340
7.000000,0.008460
7.150000,0.008600
7.300000,0.008720
7.450000,0.008840
7.600000,0.008980
7.750000,0.009140
7.900000,0.009280
8.050000,0.009410
8.200000,0.009560
8.350000,0.009740
8.500000,0.009910
8.650000,0.010060
8.800000,0.010220
8.950000,0.010400
9.100000,0.010580
9.250000,0.010790
9.400000,0.010970
9.550000,0.011140
9.700000,0.011320
9.850000,0.011490
10.000000,0.011670
10.150000,0.011860
10.300000,0.012070
10.450000,0.012280
10.600000,0.012450
10.750000,0.012640
10.900000,0.012840
11.050000,0.013040
11.200000,0.013260
11.350000,0.013500
11.500000,0.013740
11.650000,0.014000
11.800000,0.014290
11.950000,0.014580
12.100000,0.014820
12.250000,0.015070
12.400000,0.015330
12.550000,0.015610
12.700000,0.015890
12.850000,0.016190
13.000000,0.016500
13.150000,0.016820
13.300000,0.017160
13.450000,0.017520
13.600000,0.017910
13.750000,0.018340
13.900000,0.018800
14.050000,0.019180
14.200000,0.019550
14.350000,0.019950
14.500000,0.020380
14.650000,0.020840
14.800000,0.021330
14.950000,0.021870
15.100000,0.022450
15.250000,0.023070
15.400000,0.023750
15.550000,0.024490
15.700000,0.025280
15.850000,0.026150
16.000000,0.027090
16.150000,0.028130
16.300000,0.029260
16.450000,0.030530
16.600000,0.031890
16.750000,0.033410
16.900000,0.035090
17.050000,0.036940
17.200000,0.039030
17.350000,0.041310
17.500000,0.043810
17.650000,0.046600
17.800000,0.049680
17.950000,0.053040
18.100000,0.056710
18.250000,0.060670
18.400000,0.064920
18.550000,0.069460
18.700000,0.074520
18.850000,0.079660
19.000000,0.085270
19.150000,0.091260
19.300000,0.097510
19.450000,0.104240
19.600000,0.111160
19.750000,0.118770
19.900000,0.126140
20.050000,0.134030
20.200000,0.142180
20.350000,0.149760
20.500000,0.156420
20.650000,0.162780
20.800000,0.169390
20.950000,0.175350
21.100000,0.180380
21.250000,0.185890
21.400000,0.190340
21.550000,0.194570
21.700000,0.199620
21.850000,0.203460
22.000000,0.208300
22.150000,0.212090
22.300000,0.215560
22.450000,0.219790
22.600000,0.223400
22.750000,0.226510
22.900000,0.229830
23.050000,0.234310
