alpha,cl
-5.000000,-0.567900
-4.850000,-0.551300
-4.700000,-0.534300
-4.550000,-0.517700
-4.400000,-0.500800
-4.250000,-0.484000
-4.100000,-0.467000
-3.950000,-0.450200
-3.800000,-0.433300
-3.650000,-0.416300
-3.500000,-0.399400
-3.350000,-0.382500
-3.200000,-0.365500
-3.050000,-0.348500
-2.900000,-0.331600
-2.750000,-0.314500
-2.600000,-0.297400
-2.450000,-0.280300
-2.300000,-0.263300
-2.150000,-0.246300
-2.000000,-0.229100
-1.850000,-0.212000
-1.700000,-0.194800
-1.550000,-0.177700
-1.400000,-0.160600
-1.250000,-0.143400
-1.100000,-0.126200
-0.950000,-0.109000
-0.800000,-0.091800
-0.650000,-0.074600
-0.500000,-0.057400
-0.350000,-0.040200
-0.200000,-0.023000
-0.050000,-0.005800
0.100000,0.011500
0.250000,0.028700
0.400000,0.046000
0.550000,0.063200
0.700000,0.080400
0.850000,0.097600
1.000000,0.114800
1.150000,0.132000
1.300000,0.149100
1.450000,0.166300
1.600000,0.183500
1.750000,0.200600
1.900000,0.217700
2.050000,0.234800
2.200000,0.252000
2.350000,0.269100
2.500000,0.286100
2.650000,0.303100
2.800000,0.320100
2.950000,0.337200
3.100000,0.354200
3.250000,0.371200
3.400000,0.388100
3.550000,0.405200
3.700000,0.422000
3.850000,0.438900
4.000000,0.456000
4.150000,0.472700
4.300000,0.489600
4.450000,0.506400
4.600000,0.523400
4.750000,0.540000
4.900000,0.556800
5.050000,0.573600
5.200000,0.590400
5.350000,0.607000
5.500000,0.623600
5.650000,0.640300
5.800000,0.656700
5.950000,0.673400
6.100000,0.689700
6.250000,0.706100
6.400000,0.722400
6.550000,0.738900
6.700000,0.754900
6.850000,0.771400
7.000000,0.787900
7.150000,0.804700
7.300000,0.821800
7.450000,0.838300
7.600000,0.857100
7.750000,0.875800
7.900000,0.894300
8.050000,0.912300
8.200000,0.929800
8.350000,0.949300
8.500000,0.969000
8.650000,0.988800
8.800000,1.008400
8.950000,1.027800
9.100000,1.047000
9.250000,1.066000
9.400000,1.085100
9.550000,1.104200
9.700000,1.122500
9.850000,1.136000
10.000000,1.149500
10.150000,1.163000
10.300000,1.176600
10.450000,1.190300
10.600000,1.204700
10.750000,1.219300
10.900000,1.233900
11.050000,1.248500
11.200000,1.263200
11.350000,1.277700
11.500000,1.292200
11.650000,1.306500
11.800000,1.320600
11.950000,1.334600
12.100000,1.349100
12.250000,1.363500
12.400000,1.377700
12.550000,1.391700
12.700000,1.405500
12.850000,1.419100
13.000000,1.432400
13.150000,1.445400
13.300000,1.458000
13.450000,1.470300
13.600000,1.482000
13.750000,1.493000
13.900000,1.503000
14.050000,1.513700
14.200000,1.522800
14.350000,1.531200
14.500000,1.539400
14.650000,1.547300
14.800000,1.554800
14.950000,1.562000
15.100000,1.568700
15.250000,1.575200
15.400000,1.581000
15.550000,1.586500
15.700000,1.591500
15.850000,1.596100
16.000000,1.600200
16.150000,1.603600
16.300000,1.606700
16.450000,1.608700
16.600000,1.610300
16.750000,1.611000
16.900000,1.610900
17.050000,1.609800
17.200000,1.607100
17.350000,1.603500
17.500000,1.598700
17.650000,1.592200
17.800000,1.583900
17.950000,1.574000
18.100000,1.562400
18.250000,1.548700
18.400000,1.533500
18.550000,1.516900
18.700000,1.496800
18.850000,1.476600
19.000000,1.453800
19.150000,1.428800
19.300000,1.402600
19.450000,1.374200
19.600000,1.345000
19.750000,1.312500
19.900000,1.282800
20.050000,1.250800
20.200000,1.218900
20.350000,1.191700
20.500000,1.170300
20.650000,1.151000
20.800000,1.131700
20.950000,1.116500
21.100000,1.106100
21.250000,1.094100
21.400000,1.087100
21.550000,1.081100
21.700000,1.072200
21.850000,1.068400
22.000000,1.061100
22.150000,1.058100
22.300000,1.056400
22.450000,1.052400
22.600000,1.050600
22.750000,1.050600
22.900000,1.050100
23.050000,1.046100
