  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     3.200 e 6     Ncrit =   7.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5679   0.00716   0.00226  -0.0020   0.8709   0.0668
  -4.850  -0.5513   0.00707   0.00217  -0.0018   0.8596   0.0718
  -4.700  -0.5343   0.00701   0.00209  -0.0017   0.8488   0.0758
  -4.550  -0.5177   0.00691   0.00200  -0.0016   0.8376   0.0831
  -4.400  -0.5008   0.00686   0.00193  -0.0014   0.8250   0.0885
  -4.250  -0.4840   0.00677   0.00184  -0.0013   0.8131   0.0960
  -4.100  -0.4670   0.00670   0.00177  -0.0012   0.8007   0.1032
  -3.950  -0.4502   0.00663   0.00170  -0.0011   0.7879   0.1109
  -3.800  -0.4333   0.00657   0.00163  -0.0010   0.7748   0.1192
  -3.650  -0.4163   0.00651   0.00157  -0.0009   0.7619   0.1271
  -3.500  -0.3994   0.00643   0.00150  -0.0008   0.7493   0.1381
  -3.350  -0.3825   0.00636   0.00144  -0.0007   0.7364   0.1484
  -3.200  -0.3655   0.00631   0.00138  -0.0006   0.7226   0.1586
  -3.050  -0.3485   0.00626   0.00133  -0.0006   0.7083   0.1689
  -2.900  -0.3316   0.00619   0.00127  -0.0005   0.6945   0.1812
  -2.750  -0.3145   0.00613   0.00122  -0.0004   0.6813   0.1924
  -2.600  -0.2974   0.00609   0.00118  -0.0004   0.6680   0.2044
  -2.450  -0.2803   0.00604   0.00113  -0.0003   0.6550   0.2162
  -2.300  -0.2633   0.00598   0.00109  -0.0003   0.6415   0.2302
  -2.150  -0.2463   0.00594   0.00105  -0.0002   0.6276   0.2430
  -2.000  -0.2291   0.00589   0.00102  -0.0002   0.6141   0.2556
  -1.850  -0.2120   0.00585   0.00099  -0.0002   0.6006   0.2692
  -1.700  -0.1948   0.00583   0.00096  -0.0002   0.5870   0.2814
  -1.550  -0.1777   0.00579   0.00093  -0.0001   0.5738   0.2952
  -1.400  -0.1606   0.00576   0.00090  -0.0001   0.5604   0.3094
  -1.250  -0.1434   0.00572   0.00088  -0.0001   0.5474   0.3238
  -1.100  -0.1262   0.00570   0.00086  -0.0001   0.5347   0.3369
  -0.950  -0.1090   0.00568   0.00084  -0.0001   0.5214   0.3504
  -0.800  -0.0918   0.00567   0.00083  -0.0001   0.5071   0.3631
  -0.650  -0.0746   0.00566   0.00082  -0.0000   0.4934   0.3768
  -0.500  -0.0574   0.00564   0.00081  -0.0000   0.4800   0.3912
  -0.350  -0.0402   0.00562   0.00080  -0.0000   0.4681   0.4047
  -0.200  -0.0230   0.00561   0.00080  -0.0000   0.4543   0.4185
  -0.050  -0.0058   0.00561   0.00080  -0.0000   0.4408   0.4320
   0.100   0.0115   0.00563   0.00080   0.0000   0.4265   0.4444
   0.250   0.0287   0.00563   0.00080   0.0000   0.4128   0.4577
   0.400   0.0460   0.00563   0.00080   0.0000   0.4003   0.4711
   0.550   0.0632   0.00563   0.00081   0.0000   0.3870   0.4853
   0.700   0.0804   0.00565   0.00082   0.0000   0.3734   0.4988
   0.850   0.0976   0.00567   0.00084   0.0000   0.3588   0.5112
   1.000   0.1148   0.00570   0.00085   0.0001   0.3451   0.5242
   1.150   0.1320   0.00571   0.00087   0.0001   0.3318   0.5384
   1.300   0.1491   0.00573   0.00089   0.0001   0.3185   0.5525
   1.450   0.1663   0.00576   0.00091   0.0001   0.3048   0.5656
   1.600   0.1835   0.00580   0.00094   0.0001   0.2911   0.5778
   1.750   0.2006   0.00584   0.00097   0.0002   0.2775   0.5912
   1.900   0.2177   0.00588   0.00100   0.0002   0.2634   0.6048
   2.050   0.2348   0.00591   0.00103   0.0002   0.2513   0.6185
   2.200   0.2520   0.00595   0.00106   0.0003   0.2393   0.6320
   2.350   0.2691   0.00599   0.00110   0.0003   0.2260   0.6459
   2.500   0.2861   0.00606   0.00115   0.0003   0.2123   0.6584
   2.650   0.3031   0.00611   0.00119   0.0004   0.1998   0.6726
   2.800   0.3201   0.00616   0.00124   0.0005   0.1881   0.6866
   2.950   0.3372   0.00620   0.00129   0.0005   0.1773   0.7005
   3.100   0.3542   0.00626   0.00134   0.0006   0.1664   0.7134
   3.250   0.3712   0.00634   0.00140   0.0006   0.1541   0.7264
   3.400   0.3881   0.00640   0.00146   0.0007   0.1437   0.7399
   3.550   0.4052   0.00644   0.00152   0.0008   0.1355   0.7531
   3.700   0.4220   0.00652   0.00159   0.0009   0.1246   0.7667
   3.850   0.4389   0.00659   0.00165   0.0010   0.1161   0.7790
   4.000   0.4560   0.00665   0.00172   0.0011   0.1089   0.7919
   4.150   0.4727   0.00674   0.00180   0.0012   0.0992   0.8049
   4.300   0.4896   0.00679   0.00187   0.0013   0.0936   0.8175
   4.450   0.5064   0.00687   0.00195   0.0015   0.0862   0.8295
   4.600   0.5234   0.00694   0.00203   0.0016   0.0815   0.8413
   4.750   0.5400   0.00702   0.00211   0.0018   0.0745   0.8529
   4.900   0.5568   0.00709   0.00219   0.0019   0.0704   0.8636
   5.050   0.5736   0.00719   0.00229   0.0021   0.0647   0.8740
   5.200   0.5904   0.00725   0.00237   0.0022   0.0618   0.8844
   5.350   0.6070   0.00735   0.00247   0.0024   0.0575   0.8936
   5.500   0.6236   0.00743   0.00256   0.0026   0.0538   0.9034
   5.650   0.6403   0.00752   0.00266   0.0028   0.0508   0.9114
   5.800   0.6567   0.00762   0.00276   0.0031   0.0471   0.9203
   5.950   0.6734   0.00770   0.00285   0.0033   0.0454   0.9276
