alpha,cd
-5.000000,0.007760
-4.850000,0.007630
-4.700000,0.007530
-4.550000,0.007410
-4.400000,0.007290
-4.250000,0.007210
-4.100000,0.007090
-3.950000,0.006990
-3.800000,0.006900
-3.650000,0.006810
-3.500000,0.006720
-3.350000,0.006630
-3.200000,0.006550
-3.050000,0.006470
-2.900000,0.006410
-2.750000,0.006340
-2.450000,0.006210
-2.300000,0.006160
-2.150000,0.006100
-2.000000,0.006050
-1.850000,0.006010
-1.700000,0.005960
-1.550000,0.005930
-1.400000,0.005900
-1.250000,0.005870
-1.100000,0.005850
-0.950000,0.005830
-0.800000,0.005810
-0.650000,0.005790
-0.500000,0.005770
-0.350000,0.005760
-0.200000,0.005760
-0.050000,0.005760
0.250000,0.005770
0.400000,0.005770
0.550000,0.005780
0.700000,0.005790
0.850000,0.005800
1.000000,0.005830
1.150000,0.005850
1.300000,0.005890
1.600000,0.005950
1.750000,0.005980
1.900000,0.006020
2.050000,0.006070
2.200000,0.006120
2.500000,0.006220
2.650000,0.006290
2.800000,0.006350
2.950000,0.006430
3.100000,0.006510
3.250000,0.006580
3.400000,0.006660
3.550000,0.006740
3.700000,0.006830
3.850000,0.006930
4.000000,0.007020
4.150000,0.007120
4.300000,0.007230
4.450000,0.007340
4.600000,0.007440
4.750000,0.007570
4.900000,0.007670
5.050000,0.007790
5.200000,0.007910
5.350000,0.008040
5.500000,0.008160
5.650000,0.008290
5.800000,0.008410
5.950000,0.008570
6.100000,0.008690
6.250000,0.008840
6.400000,0.008980
6.550000,0.009130
6.700000,0.009300
6.850000,0.009440
7.000000,0.009600
7.150000,0.009780
7.300000,0.009930
7.450000,0.010090
7.600000,0.010280
7.750000,0.010470
7.900000,0.010620
8.050000,0.010800
8.200000,0.011010
8.350000,0.011230
8.500000,0.011390
8.650000,0.011580
8.800000,0.011760
8.950000,0.011950
9.100000,0.012170
9.250000,0.012340
9.400000,0.012510
9.550000,0.012700
9.700000,0.012900
9.850000,0.013110
10.000000,0.013340
10.150000,0.013610
10.300000,0.013870
10.450000,0.014080
10.600000,0.014300
10.750000,0.014530
10.900000,0.014780
11.050000,0.015050
11.200000,0.015340
11.350000,0.015660
11.500000,0.016030
11.650000,0.016350
11.800000,0.016630
11.950000,0.016930
12.100000,0.017250
12.250000,0.017580
12.400000,0.017920
12.550000,0.018280
12.700000,0.018660
12.850000,0.019060
13.000000,0.019490
13.150000,0.019960
13.300000,0.020480
13.450000,0.021080
13.600000,0.021550
13.750000,0.022010
13.900000,0.022530
14.050000,0.023080
14.200000,0.023680
14.350000,0.024340
14.500000,0.025050
14.650000,0.025820
14.800000,0.026670
14.950000,0.027600
15.100000,0.028630
15.250000,0.029740
15.400000,0.030970
15.550000,0.032360
15.700000,0.033850
15.850000,0.035540
16.000000,0.037410
16.150000,0.039520
16.300000,0.041840
16.450000,0.044510
16.600000,0.047390
16.750000,0.050620
16.900000,0.054150
17.050000,0.058000
17.200000,0.062240
17.350000,0.066690
17.500000,0.071360
17.650000,0.076380
17.800000,0.081670
17.950000,0.087230
18.100000,0.092990
18.250000,0.099140
18.400000,0.105280
18.550000,0.111600
18.700000,0.118180
18.850000,0.124520
19.000000,0.130790
19.150000,0.136560
19.300000,0.142420
19.450000,0.148220
19.600000,0.153270
19.750000,0.158560
19.900000,0.163330
20.050000,0.168240
20.200000,0.172500
20.350000,0.177440
20.500000,0.181440
20.650000,0.185960
20.800000,0.190090
20.950000,0.193870
21.100000,0.198360
21.250000,0.202520
21.400000,0.206790
21.550000,0.212290
21.700000,0.220130
22.000000,0.260880
22.150000,0.262870
22.300000,0.264640
22.450000,0.266560
22.600000,0.268540
22.750000,0.270440
22.900000,0.276760
23.050000,0.279930
