alpha,cl
-5.000000,-0.556600
-4.850000,-0.540500
-4.700000,-0.524100
-4.550000,-0.508000
-4.400000,-0.491700
-4.250000,-0.475300
-4.100000,-0.458900
-3.950000,-0.442700
-3.800000,-0.426100
-3.650000,-0.409600
-3.500000,-0.393300
-3.350000,-0.376700
-3.200000,-0.360100
-3.050000,-0.343500
-2.900000,-0.326900
-2.750000,-0.310200
-2.450000,-0.276700
-2.300000,-0.259900
-2.150000,-0.243200
-2.000000,-0.226400
-1.850000,-0.209500
-1.700000,-0.192600
-1.550000,-0.175700
-1.400000,-0.158800
-1.250000,-0.141800
-1.100000,-0.124900
-0.950000,-0.107800
-0.800000,-0.090800
-0.650000,-0.073800
-0.500000,-0.056800
-0.350000,-0.039800
-0.200000,-0.022700
-0.050000,-0.005700
0.250000,0.028400
0.400000,0.045500
0.550000,0.062500
0.700000,0.079500
0.850000,0.096500
1.000000,0.113500
1.150000,0.130500
1.300000,0.147500
1.600000,0.181400
1.750000,0.198300
1.900000,0.215100
2.050000,0.232000
2.200000,0.248800
2.500000,0.282400
2.650000,0.299100
2.800000,0.315800
2.950000,0.332400
3.100000,0.349100
3.250000,0.365600
3.400000,0.382200
3.550000,0.398800
3.700000,0.415300
3.850000,0.431600
4.000000,0.448100
4.150000,0.464500
4.300000,0.480800
4.450000,0.497200
4.600000,0.513400
4.750000,0.529700
4.900000,0.545900
5.050000,0.562100
5.200000,0.578300
5.350000,0.594500
5.500000,0.611000
5.650000,0.627700
5.800000,0.644300
5.950000,0.661300
6.100000,0.679700
6.250000,0.697400
6.400000,0.713900
6.550000,0.733800
6.700000,0.753300
6.850000,0.772800
7.000000,0.792100
7.150000,0.811300
7.300000,0.830400
7.450000,0.850000
7.600000,0.870300
7.750000,0.890500
7.900000,0.910700
8.050000,0.930700
8.200000,0.950400
8.350000,0.969900
8.500000,0.989700
8.650000,1.009400
8.800000,1.022900
8.950000,1.035800
9.100000,1.048600
9.250000,1.062000
9.400000,1.075600
9.550000,1.089200
9.700000,1.102800
9.850000,1.116300
10.000000,1.129800
10.150000,1.143200
10.300000,1.156900
10.450000,1.171200
10.600000,1.185600
10.750000,1.199800
10.900000,1.214000
11.050000,1.228000
11.200000,1.241800
11.350000,1.255200
11.500000,1.268000
11.650000,1.281400
11.800000,1.295100
11.950000,1.308600
12.100000,1.321800
12.250000,1.334700
12.400000,1.347400
12.550000,1.359600
12.700000,1.371600
12.850000,1.383000
13.000000,1.393900
13.150000,1.403800
13.300000,1.411800
13.450000,1.417100
13.600000,1.424900
13.750000,1.432800
13.900000,1.440300
14.050000,1.447400
14.200000,1.454000
14.350000,1.460200
14.500000,1.466000
14.650000,1.471300
14.800000,1.475900
14.950000,1.480000
15.100000,1.483600
15.250000,1.486600
15.400000,1.489000
15.550000,1.490500
15.700000,1.491500
15.850000,1.491300
16.000000,1.490400
16.150000,1.488000
16.300000,1.484500
16.450000,1.479100
16.600000,1.472700
16.750000,1.464200
16.900000,1.454200
17.050000,1.442500
17.200000,1.428300
17.350000,1.413000
17.500000,1.396600
17.650000,1.378000
17.800000,1.358000
17.950000,1.336900
18.100000,1.314600
18.250000,1.290500
18.400000,1.267000
18.550000,1.242900
18.700000,1.218000
18.850000,1.195400
19.000000,1.173800
19.150000,1.155500
19.300000,1.137500
19.450000,1.120800
19.600000,1.108400
19.750000,1.095100
19.900000,1.084700
20.050000,1.074300
20.200000,1.067300
20.350000,1.057700
20.500000,1.052500
20.650000,1.045500
20.800000,1.040300
20.950000,1.036600
21.100000,1.030400
21.250000,1.025900
21.400000,1.021400
21.550000,1.012900
21.700000,0.997900
22.000000,0.920600
22.150000,0.925300
22.300000,0.930200
22.450000,0.934900
22.600000,0.939500
22.750000,0.944200
22.900000,0.943800
23.050000,0.947400
