alpha,cl,cd,cm,ld,re,ncrit
-5.000000,-0.556600,0.007760,-0.004700,-71.726804,1800000.000000,7.000000
-4.850000,-0.540500,0.007630,-0.004400,-70.838794,1800000.000000,7.000000
-4.700000,-0.524100,0.007530,-0.004100,-69.601594,1800000.000000,7.000000
-4.550000,-0.508000,0.007410,-0.003800,-68.556005,1800000.000000,7.000000
-4.400000,-0.491700,0.007290,-0.003600,-67.448560,1800000.000000,7.000000
-4.250000,-0.475300,0.007210,-0.003300,-65.922330,1800000.000000,7.000000
-4.100000,-0.458900,0.007090,-0.003100,-64.724965,1800000.000000,7.000000
-3.950000,-0.442700,0.006990,-0.002800,-63.333333,1800000.000000,7.000000
-3.800000,-0.426100,0.006900,-0.002700,-61.753623,1800000.000000,7.000000
-3.650000,-0.409600,0.006810,-0.002500,-60.146843,1800000.000000,7.000000
-3.500000,-0.393300,0.006720,-0.002200,-58.526786,1800000.000000,7.000000
-3.350000,-0.376700,0.006630,-0.002100,-56.817496,1800000.000000,7.000000
-3.200000,-0.360100,0.006550,-0.001900,-54.977099,1800000.000000,7.000000
-3.050000,-0.343500,0.006470,-0.001700,-53.091190,1800000.000000,7.000000
-2.900000,-0.326900,0.006410,-0.001600,-50.998440,1800000.000000,7.000000
-2.750000,-0.310200,0.006340,-0.001400,-48.927445,1800000.000000,7.000000
-2.450000,-0.276700,0.006210,-0.001200,-44.557166,1800000.000000,7.000000
-2.300000,-0.259900,0.006160,-0.001100,-42.191558,1800000.000000,7.000000
-2.150000,-0.243200,0.006100,-0.001000,-39.868852,1800000.000000,7.000000
-2.000000,-0.226400,0.006050,-0.000900,-37.421488,1800000.000000,7.000000
-1.850000,-0.209500,0.006010,-0.000800,-34.858569,1800000.000000,7.000000
-1.700000,-0.192600,0.005960,-0.000700,-32.315436,1800000.000000,7.000000
-1.550000,-0.175700,0.005930,-0.000600,-29.629005,1800000.000000,7.000000
-1.400000,-0.158800,0.005900,-0.000500,-26.915254,1800000.000000,7.000000
-1.250000,-0.141800,0.005870,-0.000500,-24.156729,1800000.000000,7.000000
-1.100000,-0.124900,0.005850,-0.000400,-21.350427,1800000.000000,7.000000
-0.950000,-0.107800,0.005830,-0.000300,-18.490566,1800000.000000,7.000000
-0.800000,-0.090800,0.005810,-0.000300,-15.628227,1800000.000000,7.000000
-0.650000,-0.073800,0.005790,-0.000200,-12.746114,1800000.000000,7.000000
-0.500000,-0.056800,0.005770,-0.000200,-9.844021,1800000.000000,7.000000
-0.350000,-0.039800,0.005760,-0.000100,-6.909722,1800000.000000,7.000000
-0.200000,-0.022700,0.005760,-0.000100,-3.940972,1800000.000000,7.000000
-0.050000,-0.005700,0.005760,-0.000000,-0.989583,1800000.000000,7.000000
0.250000,0.028400,0.005770,0.000100,4.922010,1800000.000000,7.000000
0.400000,0.045500,0.005770,0.000100,7.885615,1800000.000000,7.000000
0.550000,0.062500,0.005780,0.000200,10.813149,1800000.000000,7.000000
0.700000,0.079500,0.005790,0.000200,13.730570,1800000.000000,7.000000
0.850000,0.096500,0.005800,0.000300,16.637931,1800000.000000,7.000000
1.000000,0.113500,0.005830,0.000400,19.468268,1800000.000000,7.000000
1.150000,0.130500,0.005850,0.000400,22.307692,1800000.000000,7.000000
1.300000,0.147500,0.005890,0.000500,25.042445,1800000.000000,7.000000
1.600000,0.181400,0.005950,0.000600,30.487395,1800000.000000,7.000000
1.750000,0.198300,0.005980,0.000700,33.160535,1800000.000000,7.000000
1.900000,0.215100,0.006020,0.000800,35.730897,1800000.000000,7.000000
2.050000,0.232000,0.006070,0.000900,38.220758,1800000.000000,7.000000
2.200000,0.248800,0.006120,0.001000,40.653595,1800000.000000,7.000000
