alpha,cd
-5.000000,0.006840
-4.850000,0.006760
-4.700000,0.006710
-4.550000,0.006670
-4.400000,0.006590
-4.250000,0.006550
-4.100000,0.006480
-3.950000,0.006440
-3.800000,0.006360
-3.650000,0.006320
-3.500000,0.006270
-3.350000,0.006220
-3.200000,0.006180
-3.050000,0.006110
-2.900000,0.006060
-2.750000,0.006030
-2.600000,0.005970
-2.450000,0.005930
-2.300000,0.005890
-2.150000,0.005850
-2.000000,0.005800
-1.850000,0.005780
-1.700000,0.005740
-1.550000,0.005700
-1.400000,0.005680
-1.250000,0.005650
-1.100000,0.005640
-0.800000,0.005600
-0.650000,0.005570
-0.500000,0.005570
-0.350000,0.005560
-0.200000,0.005560
-0.050000,0.005550
0.100000,0.005540
0.250000,0.005550
0.400000,0.005560
0.550000,0.005580
0.700000,0.005590
0.850000,0.005600
1.000000,0.005610
1.150000,0.005640
1.300000,0.005660
1.450000,0.005690
1.600000,0.005710
1.750000,0.005750
1.900000,0.005780
2.050000,0.005820
2.200000,0.005860
2.350000,0.005900
2.500000,0.005940
2.650000,0.005990
2.800000,0.006030
2.950000,0.006090
3.100000,0.006120
3.250000,0.006180
3.400000,0.006230
3.700000,0.006340
3.850000,0.006380
4.000000,0.006460
4.150000,0.006500
4.300000,0.006570
4.450000,0.006610
4.600000,0.006690
4.750000,0.006730
4.900000,0.006800
5.050000,0.006850
5.200000,0.006920
5.350000,0.007000
5.500000,0.007040
5.650000,0.007110
5.800000,0.007200
5.950000,0.007260
6.100000,0.007340
6.400000,0.007490
6.550000,0.007580
6.700000,0.007680
6.850000,0.007770
7.000000,0.007850
7.150000,0.007960
7.300000,0.008070
7.450000,0.008160
7.600000,0.008260
7.750000,0.008370
7.900000,0.008510
8.050000,0.008630
8.200000,0.008740
8.350000,0.008860
8.500000,0.008990
8.650000,0.009150
8.800000,0.009300
8.950000,0.009430
9.250000,0.009730
9.400000,0.009890
9.550000,0.010070
9.700000,0.010260
9.850000,0.010430
10.000000,0.010590
10.150000,0.010760
10.300000,0.010940
10.450000,0.011130
10.600000,0.011310
10.750000,0.011490
10.900000,0.011690
11.050000,0.011900
11.200000,0.012070
11.350000,0.012260
11.500000,0.012450
11.650000,0.012650
11.800000,0.012850
11.950000,0.013070
12.100000,0.013300
12.250000,0.013540
12.400000,0.013800
12.550000,0.014070
12.700000,0.014350
12.850000,0.014640
13.000000,0.014880
13.150000,0.015130
13.300000,0.015400
13.450000,0.015680
13.600000,0.015960
13.750000,0.016260
13.900000,0.016570
14.050000,0.016890
14.200000,0.017230
14.350000,0.017580
14.500000,0.017950
14.650000,0.018340
14.800000,0.018730
14.950000,0.019160
15.100000,0.019620
15.250000,0.020120
15.400000,0.020680
15.550000,0.021240
15.700000,0.021780
15.850000,0.022370
16.000000,0.023000
16.150000,0.023690
16.300000,0.024420
16.450000,0.025240
16.600000,0.026120
16.750000,0.027080
16.900000,0.028130
17.050000,0.029270
17.200000,0.030510
17.350000,0.031880
17.500000,0.033370
17.650000,0.034990
17.800000,0.036790
17.950000,0.038710
18.100000,0.040850
18.250000,0.043170
18.400000,0.045670
18.550000,0.048390
18.700000,0.051490
18.850000,0.054680
19.000000,0.058300
19.150000,0.062230
19.300000,0.066380
19.450000,0.071000
19.600000,0.076020
19.750000,0.081280
19.900000,0.087210
20.050000,0.093680
20.200000,0.100160
20.350000,0.107820
20.500000,0.115430
20.650000,0.123780
20.800000,0.131880
20.950000,0.141820
21.100000,0.150180
21.250000,0.158610
21.400000,0.166750
21.550000,0.174360
21.700000,0.181860
21.850000,0.186570
22.000000,0.193050
22.150000,0.197550
22.300000,0.202890
22.450000,0.206730
22.600000,0.212070
22.750000,0.215570
22.900000,0.219120
23.050000,0.224030
