alpha,cl
-5.000000,-0.574200
-4.850000,-0.557200
-4.700000,-0.540100
-4.550000,-0.522900
-4.400000,-0.505800
-4.250000,-0.488600
-4.100000,-0.471600
-3.950000,-0.454300
-3.800000,-0.437300
-3.650000,-0.420000
-3.500000,-0.402900
-3.350000,-0.385700
-3.200000,-0.368500
-3.050000,-0.351400
-2.900000,-0.334100
-2.750000,-0.316900
-2.600000,-0.299700
-2.450000,-0.282500
-2.300000,-0.265200
-2.150000,-0.248000
-2.000000,-0.230800
-1.850000,-0.213400
-1.700000,-0.196100
-1.550000,-0.178900
-1.400000,-0.161700
-1.250000,-0.144300
-1.100000,-0.127000
-0.800000,-0.092500
-0.650000,-0.075100
-0.500000,-0.057700
-0.350000,-0.040400
-0.200000,-0.023100
-0.050000,-0.005800
0.100000,0.011600
0.250000,0.028900
0.400000,0.046300
0.550000,0.063500
0.700000,0.080900
0.850000,0.098300
1.000000,0.115600
1.150000,0.132800
1.300000,0.150100
1.450000,0.167500
1.600000,0.184800
1.750000,0.202000
1.900000,0.219200
2.050000,0.236500
2.200000,0.253800
2.350000,0.271000
2.500000,0.288200
2.650000,0.305500
2.800000,0.322700
2.950000,0.339800
3.100000,0.357100
3.250000,0.374300
3.400000,0.391400
3.700000,0.425700
3.850000,0.443000
4.000000,0.460100
4.150000,0.477400
4.300000,0.494400
4.450000,0.511600
4.600000,0.528600
4.750000,0.545900
4.900000,0.562900
5.050000,0.580000
5.200000,0.597000
5.350000,0.614000
5.500000,0.631200
5.650000,0.648100
5.800000,0.665000
5.950000,0.682000
6.100000,0.698800
6.400000,0.732600
6.550000,0.749500
6.700000,0.765900
6.850000,0.782800
7.000000,0.799300
7.150000,0.816000
7.300000,0.832100
7.450000,0.848700
7.600000,0.865000
7.750000,0.881200
7.900000,0.897500
8.050000,0.913800
8.200000,0.930400
8.350000,0.946900
8.500000,0.965000
8.650000,0.982900
8.800000,1.000600
8.950000,1.017800
9.250000,1.055700
9.400000,1.074900
9.550000,1.093900
9.700000,1.112800
9.850000,1.131600
10.000000,1.150500
10.150000,1.169300
10.300000,1.187900
10.450000,1.205100
10.600000,1.218900
10.750000,1.232800
10.900000,1.246800
11.050000,1.261000
11.200000,1.276000
11.350000,1.291000
11.500000,1.306100
11.650000,1.321200
11.800000,1.336300
11.950000,1.351300
12.100000,1.366100
12.250000,1.380800
12.400000,1.395400
12.550000,1.409700
12.700000,1.423800
12.850000,1.437900
13.000000,1.452400
13.150000,1.466700
13.300000,1.480800
13.450000,1.494600
13.600000,1.508300
13.750000,1.521600
13.900000,1.534700
14.050000,1.547400
14.200000,1.559800
14.350000,1.571800
14.500000,1.583200
14.650000,1.593700
14.800000,1.602400
14.950000,1.610000
15.100000,1.617300
15.250000,1.624100
15.400000,1.630400
15.550000,1.636900
15.700000,1.644100
15.850000,1.651000
16.000000,1.657300
16.150000,1.663400
16.300000,1.669100
16.450000,1.674100
16.600000,1.678900
16.750000,1.682900
16.900000,1.686500
17.050000,1.689700
17.200000,1.692200
17.350000,1.693900
17.500000,1.695000
17.650000,1.695500
17.800000,1.694700
17.950000,1.693400
18.100000,1.690700
18.250000,1.687100
18.400000,1.682300
18.550000,1.676100
18.700000,1.667400
18.850000,1.658400
19.000000,1.646400
19.150000,1.632400
19.300000,1.617400
19.450000,1.599400
19.600000,1.578700
19.750000,1.556800
19.900000,1.531100
20.050000,1.501800
20.200000,1.473300
20.350000,1.438000
20.500000,1.403600
20.650000,1.366300
20.800000,1.331300
20.950000,1.287700
21.100000,1.255000
21.250000,1.223200
21.400000,1.194600
21.550000,1.170400
21.700000,1.148100
21.850000,1.139100
22.000000,1.122800
22.150000,1.115400
22.300000,1.104900
22.450000,1.101000
22.600000,1.091500
22.750000,1.089500
22.900000,1.087300
23.050000,1.080600
