  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     5.000 e 6     Ncrit =   7.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5742   0.00684   0.00205  -0.0008   0.7996   0.0551
  -4.850  -0.5572   0.00676   0.00197  -0.0007   0.7876   0.0601
  -4.700  -0.5401   0.00671   0.00190  -0.0006   0.7741   0.0634
  -4.550  -0.5229   0.00667   0.00184  -0.0005   0.7609   0.0673
  -4.400  -0.5058   0.00659   0.00176  -0.0004   0.7486   0.0727
  -4.250  -0.4886   0.00655   0.00170  -0.0004   0.7358   0.0773
  -4.100  -0.4716   0.00648   0.00163  -0.0003   0.7229   0.0841
  -3.950  -0.4543   0.00644   0.00158  -0.0003   0.7099   0.0884
  -3.800  -0.4373   0.00636   0.00151  -0.0002   0.6968   0.0971
  -3.650  -0.4200   0.00632   0.00145  -0.0002   0.6837   0.1038
  -3.500  -0.4029   0.00627   0.00139  -0.0001   0.6705   0.1107
  -3.350  -0.3857   0.00622   0.00134  -0.0001   0.6569   0.1192
  -3.200  -0.3685   0.00618   0.00129  -0.0001   0.6435   0.1264
  -3.050  -0.3514   0.00611   0.00124  -0.0000   0.6312   0.1374
  -2.900  -0.3341   0.00606   0.00119  -0.0000   0.6189   0.1465
  -2.750  -0.3169   0.00603   0.00115   0.0000   0.6059   0.1547
  -2.600  -0.2997   0.00597   0.00111   0.0000   0.5932   0.1663
  -2.450  -0.2825   0.00593   0.00107   0.0001   0.5796   0.1773
  -2.300  -0.2652   0.00589   0.00103   0.0001   0.5676   0.1868
  -2.150  -0.2480   0.00585   0.00099   0.0001   0.5540   0.1995
  -2.000  -0.2308   0.00580   0.00096   0.0001   0.5421   0.2116
  -1.850  -0.2134   0.00578   0.00093   0.0001   0.5297   0.2217
  -1.700  -0.1961   0.00574   0.00091   0.0001   0.5189   0.2325
  -1.550  -0.1789   0.00570   0.00088   0.0001   0.5054   0.2467
  -1.400  -0.1617   0.00568   0.00086   0.0001   0.4921   0.2589
  -1.250  -0.1443   0.00565   0.00084   0.0001   0.4798   0.2707
  -1.100  -0.1270   0.00564   0.00082   0.0001   0.4665   0.2827
  -0.800  -0.0925   0.00560   0.00079   0.0001   0.4415   0.3088
  -0.650  -0.0751   0.00557   0.00078   0.0001   0.4300   0.3219
  -0.500  -0.0577   0.00557   0.00077   0.0000   0.4177   0.3331
  -0.350  -0.0404   0.00556   0.00076   0.0000   0.4052   0.3458
  -0.200  -0.0231   0.00556   0.00076   0.0000   0.3923   0.3582
  -0.050  -0.0058   0.00555   0.00076   0.0000   0.3788   0.3722
   0.100   0.0116   0.00554   0.00076  -0.0000   0.3676   0.3845
   0.250   0.0289   0.00555   0.00076  -0.0000   0.3550   0.3975
   0.400   0.0463   0.00556   0.00076  -0.0000   0.3422   0.4087
   0.550   0.0635   0.00558   0.00077  -0.0000   0.3280   0.4217
   0.700   0.0809   0.00559   0.00078  -0.0001   0.3156   0.4331
   0.850   0.0983   0.00560   0.00079  -0.0001   0.3051   0.4462
   1.000   0.1156   0.00561   0.00081  -0.0001   0.2930   0.4598
   1.150   0.1328   0.00564   0.00082  -0.0001   0.2786   0.4720
   1.300   0.1501   0.00566   0.00084  -0.0001   0.2673   0.4848
   1.450   0.1675   0.00569   0.00086  -0.0001   0.2547   0.4957
   1.600   0.1848   0.00571   0.00088  -0.0001   0.2433   0.5086
   1.750   0.2020   0.00575   0.00091  -0.0001   0.2302   0.5222
   1.900   0.2192   0.00578   0.00094  -0.0001   0.2182   0.5346
   2.050   0.2365   0.00582   0.00097  -0.0001   0.2068   0.5467
   2.200   0.2538   0.00586   0.00101  -0.0001   0.1960   0.5588
   2.350   0.2710   0.00590   0.00104  -0.0001   0.1838   0.5716
   2.500   0.2882   0.00594   0.00108  -0.0000   0.1733   0.5848
   2.650   0.3055   0.00599   0.00112  -0.0000   0.1626   0.5970
   2.800   0.3227   0.00603   0.00116  -0.0000   0.1530   0.6095
   2.950   0.3398   0.00609   0.00121   0.0000   0.1422   0.6226
   3.100   0.3571   0.00612   0.00125   0.0000   0.1341   0.6358
   3.250   0.3743   0.00618   0.00131   0.0001   0.1250   0.6488
   3.400   0.3914   0.00623   0.00136   0.0001   0.1167   0.6620
   3.700   0.4257   0.00634   0.00147   0.0002   0.1003   0.6881
   3.850   0.4430   0.00638   0.00153   0.0002   0.0943   0.7013
   4.000   0.4601   0.00646   0.00159   0.0003   0.0862   0.7134
   4.150   0.4774   0.00650   0.00165   0.0003   0.0824   0.7266
   4.300   0.4944   0.00657   0.00172   0.0004   0.0753   0.7398
   4.450   0.5116   0.00661   0.00178   0.0005   0.0712   0.7526
   4.600   0.5286   0.00669   0.00186   0.0005   0.0652   0.7654
   4.750   0.5459   0.00673   0.00192   0.0006   0.0625   0.7781
   4.900   0.5629   0.00680   0.00200   0.0007   0.0584   0.7907
   5.050   0.5800   0.00685   0.00207   0.0008   0.0545   0.8040
   5.200   0.5970   0.00692   0.00215   0.0009   0.0513   0.8163
   5.350   0.6140   0.00700   0.00224   0.0010   0.0474   0.8273
   5.500   0.6312   0.00704   0.00231   0.0011   0.0457   0.8395
   5.650   0.6481   0.00711   0.00240   0.0012   0.0432   0.8510
   5.800   0.6650   0.00720   0.00249   0.0013   0.0398   0.8614
   5.950   0.6820   0.00726   0.00257   0.0015   0.0384   0.8723
   6.100   0.6988   0.00734   0.00267   0.0016   0.0363   0.8824
   6.400   0.7326   0.00749   0.00285   0.0020   0.0331   0.9015
   6.550   0.7495   0.00758   0.00295   0.0021   0.0316   0.9097
   6.700   0.7659   0.00768   0.00306   0.0024   0.0298   0.9189
   6.850   0.7828   0.00777   0.00316   0.0025   0.0284   0.9261
   7.000   0.7993   0.00785   0.00326   0.0028   0.0274   0.9343
   7.150   0.8160   0.00796   0.00337   0.0030   0.0261   0.9406
   7.300   0.8321   0.00807   0.00349   0.0034   0.0247   0.9481
   7.450   0.8487   0.00816   0.00359   0.0036   0.0240   0.9542
   7.600   0.8650   0.00826   0.00370   0.0039   0.0233   0.9598
   7.750   0.8812   0.00837   0.00382   0.0042   0.0225   0.9656
   7.900   0.8975   0.00851   0.00395   0.0045   0.0212   0.9701
   8.050   0.9138   0.00863   0.00408   0.0048   0.0203   0.9748
   8.200   0.9304   0.00874   0.00419   0.0051   0.0199   0.9793
   8.350   0.9469   0.00886   0.00431   0.0053   0.0193   0.9828
   8.500   0.9650   0.00899   0.00444   0.0053   0.0187   0.9855
   8.650   0.9829   0.00915   0.00459   0.0052   0.0179   0.9881
   8.800   1.0006   0.00930   0.00474   0.0052   0.0170   0.9906
   8.950   1.0178   0.00943   0.00488   0.0053   0.0167   0.9930
   9.250   1.0557   0.00973   0.00517   0.0047   0.0160   0.9951
   9.400   1.0749   0.00989   0.00533   0.0043   0.0155   0.9959
   9.550   1.0939   0.01007   0.00551   0.0040   0.0149   0.9966
   9.700   1.1128   0.01026   0.00569   0.0037   0.0143   0.9973
   9.850   1.1316   0.01043   0.00587   0.0035   0.0138   0.9980
  10.000   1.1505   0.01059   0.00604   0.0032   0.0136   0.9986
  10.150   1.1693   0.01076   0.00621   0.0030   0.0133   0.9992
  10.300   1.1879   0.01094   0.00639   0.0027   0.0130   0.9997
  10.450   1.2051   0.01113   0.00658   0.0028   0.0127   1.0000
  10.600   1.2189   0.01131   0.00676   0.0036   0.0124   1.0000
  10.750   1.2328   0.01149   0.00695   0.0044   0.0120   1.0000
  10.900   1.2468   0.01169   0.00716   0.0052   0.0116   1.0000
  11.050   1.2610   0.01190   0.00738   0.0059   0.0112   1.0000
  11.200   1.2760   0.01207   0.00756   0.0065   0.0111   1.0000
  11.350   1.2910   0.01226   0.00775   0.0070   0.0110   1.0000
  11.500   1.3061   0.01245   0.00795   0.0075   0.0109   1.0000
  11.650   1.3212   0.01265   0.00816   0.0081   0.0107   1.0000
  11.800   1.3363   0.01285   0.00838   0.0086   0.0105   1.0000
  11.950   1.3513   0.01307   0.00861   0.0091   0.0103   1.0000
  12.100   1.3661   0.01330   0.00885   0.0097   0.0101   1.0000
  12.250   1.3808   0.01354   0.00910   0.0102   0.0099   1.0000
  12.400   1.3954   0.01380   0.00937   0.0108   0.0096   1.0000
  12.550   1.4097   0.01407   0.00965   0.0114   0.0093   1.0000
  12.700   1.4238   0.01435   0.00995   0.0121   0.0090   1.0000
  12.850   1.4379   0.01464   0.01025   0.0127   0.0088   1.0000
  13.000   1.4524   0.01488   0.01052   0.0133   0.0088   1.0000
  13.150   1.4667   0.01513   0.01079   0.0139   0.0087   1.0000
  13.300   1.4808   0.01540   0.01108   0.0146   0.0086   1.0000
  13.450   1.4946   0.01568   0.01137   0.0153   0.0085   1.0000
  13.600   1.5083   0.01596   0.01168   0.0160   0.0084   1.0000
  13.750   1.5216   0.01626   0.01199   0.0167   0.0083   1.0000
  13.900   1.5347   0.01657   0.01233   0.0175   0.0082   1.0000
  14.050   1.5474   0.01689   0.01267   0.0183   0.0081   1.0000
  14.200   1.5598   0.01723   0.01303   0.0191   0.0079   1.0000
  14.350   1.5718   0.01758   0.01341   0.0201   0.0078   1.0000
  14.500   1.5832   0.01795   0.01380   0.0210   0.0077   1.0000
  14.650   1.5937   0.01834   0.01421   0.0221   0.0075   1.0000
  14.800   1.6024   0.01873   0.01463   0.0235   0.0074   1.0000
  14.950   1.6100   0.01916   0.01509   0.0251   0.0073   1.0000
  15.100   1.6173   0.01962   0.01558   0.0266   0.0071   1.0000
  15.250   1.6241   0.02012   0.01612   0.0281   0.0070   1.0000
  15.400   1.6304   0.02068   0.01672   0.0295   0.0069   1.0000
  15.550   1.6369   0.02124   0.01732   0.0309   0.0068   1.0000
  15.700   1.6441   0.02178   0.01789   0.0320   0.0068   1.0000
  15.850   1.6510   0.02237   0.01851   0.0332   0.0068   1.0000
  16.000   1.6573   0.02300   0.01919   0.0343   0.0067   1.0000
  16.150   1.6634   0.02369   0.01991   0.0353   0.0067   1.0000
  16.300   1.6691   0.02442   0.02068   0.0363   0.0067   1.0000
  16.450   1.6741   0.02524   0.02154   0.0372   0.0066   1.0000
  16.600   1.6789   0.02612   0.02246   0.0380   0.0066   1.0000
  16.750   1.6829   0.02708   0.02347   0.0388   0.0065   1.0000
  16.900   1.6865   0.02813   0.02456   0.0394   0.0065   1.0000
  17.050   1.6897   0.02927   0.02575   0.0399   0.0065   1.0000
  17.200   1.6922   0.03051   0.02703   0.0403   0.0064   1.0000
  17.350   1.6939   0.03188   0.02845   0.0405   0.0064   1.0000
  17.500   1.6950   0.03337   0.02999   0.0406   0.0063   1.0000
  17.650   1.6955   0.03499   0.03166   0.0405   0.0063   1.0000
  17.800   1.6947   0.03679   0.03351   0.0403   0.0062   1.0000
  17.950   1.6934   0.03871   0.03548   0.0400   0.0062   1.0000
  18.100   1.6907   0.04085   0.03768   0.0394   0.0062   1.0000
  18.250   1.6871   0.04317   0.04006   0.0386   0.0061   1.0000
  18.400   1.6823   0.04567   0.04262   0.0377   0.0061   1.0000
  18.550   1.6761   0.04839   0.04539   0.0366   0.0060   1.0000
  18.700   1.6674   0.05149   0.04856   0.0353   0.0060   1.0000
  18.850   1.6584   0.05468   0.05182   0.0338   0.0060   1.0000
  19.000   1.6464   0.05830   0.05549   0.0321   0.0060   1.0000
  19.150   1.6324   0.06223   0.05950   0.0301   0.0060   1.0000
  19.300   1.6174   0.06638   0.06372   0.0280   0.0059   1.0000
  19.450   1.5994   0.07100   0.06841   0.0256   0.0060   1.0000
  19.600   1.5787   0.07602   0.07350   0.0229   0.0060   1.0000
  19.750   1.5568   0.08128   0.07884   0.0201   0.0060   1.0000
  19.900   1.5311   0.08721   0.08485   0.0169   0.0060   1.0000
  20.050   1.5018   0.09368   0.09140   0.0133   0.0060   1.0000
  20.200   1.4733   0.10016   0.09797   0.0097   0.0061   1.0000
  20.350   1.4380   0.10782   0.10572   0.0054   0.0061   1.0000
  20.500   1.4036   0.11543   0.11342   0.0010   0.0062   1.0000
  20.650   1.3663   0.12378   0.12185  -0.0040   0.0062   1.0000
  20.800   1.3313   0.13188   0.13005  -0.0089   0.0063   1.0000
  20.950   1.2877   0.14182   0.14009  -0.0152   0.0064   1.0000
  21.100   1.2550   0.15018   0.14853  -0.0206   0.0064   1.0000
  21.250   1.2232   0.15861   0.15704  -0.0262   0.0065   1.0000
  21.400   1.1946   0.16675   0.16525  -0.0316   0.0065   1.0000
  21.550   1.1704   0.17436   0.17292  -0.0368   0.0065   1.0000
  21.700   1.1481   0.18186   0.18048  -0.0420   0.0065   1.0000
  21.850   1.1391   0.18657   0.18522  -0.0452   0.0065   1.0000
  22.000   1.1228   0.19305   0.19175  -0.0497   0.0065   1.0000
  22.150   1.1154   0.19755   0.19628  -0.0529   0.0064   1.0000
  22.300   1.1049   0.20289   0.20166  -0.0566   0.0064   1.0000
  22.450   1.1010   0.20673   0.20552  -0.0593   0.0063   1.0000
  22.600   1.0915   0.21207   0.21090  -0.0631   0.0063   1.0000
  22.750   1.0895   0.21557   0.21441  -0.0656   0.0062   1.0000
  22.900   1.0873   0.21912   0.21798  -0.0681   0.0062   1.0000
  23.050   1.0806   0.22403   0.22292  -0.0716   0.0061   1.0000
