alpha,cd
-5.000000,0.007250
-4.850000,0.007170
-4.700000,0.007120
-4.550000,0.007050
-4.400000,0.006990
-4.250000,0.006920
-4.100000,0.006870
-3.950000,0.006800
-3.800000,0.006750
-3.650000,0.006680
-3.500000,0.006640
-3.350000,0.006570
-3.200000,0.006520
-3.050000,0.006480
-2.900000,0.006410
-2.750000,0.006370
-2.600000,0.006330
-2.450000,0.006270
-2.300000,0.006210
-2.150000,0.006180
-2.000000,0.006150
-1.850000,0.006100
-1.700000,0.006070
-1.550000,0.006030
-1.400000,0.006000
-1.250000,0.005980
-1.100000,0.005950
-0.950000,0.005920
-0.800000,0.005910
-0.650000,0.005900
-0.500000,0.005890
-0.350000,0.005870
-0.200000,0.005850
-0.050000,0.005860
0.100000,0.005870
0.250000,0.005870
0.400000,0.005870
0.550000,0.005880
0.700000,0.005900
1.000000,0.005930
1.150000,0.005950
1.300000,0.005980
1.450000,0.006020
1.600000,0.006050
1.750000,0.006080
1.900000,0.006120
2.050000,0.006150
2.200000,0.006200
2.350000,0.006240
2.500000,0.006290
2.650000,0.006340
2.800000,0.006390
2.950000,0.006430
3.100000,0.006480
3.250000,0.006550
3.400000,0.006590
3.550000,0.006650
3.700000,0.006710
3.850000,0.006760
4.000000,0.006830
4.150000,0.006890
4.300000,0.006950
4.450000,0.007000
4.600000,0.007070
4.750000,0.007140
4.900000,0.007200
5.050000,0.007270
5.200000,0.007330
5.350000,0.007410
5.500000,0.007480
5.650000,0.007550
5.800000,0.007640
5.950000,0.007710
6.100000,0.007800
6.250000,0.007890
6.400000,0.007970
6.550000,0.008060
6.700000,0.008160
6.850000,0.008270
7.000000,0.008360
7.150000,0.008470
7.300000,0.008590
7.450000,0.008710
7.600000,0.008820
7.750000,0.008940
7.900000,0.009070
8.050000,0.009220
8.200000,0.009360
8.350000,0.009490
8.500000,0.009640
8.650000,0.009800
8.800000,0.009960
9.100000,0.010290
9.250000,0.010450
9.400000,0.010630
9.550000,0.010810
9.700000,0.011000
9.850000,0.011210
10.000000,0.011410
10.150000,0.011580
10.300000,0.011750
10.450000,0.011930
10.600000,0.012110
10.750000,0.012310
10.900000,0.012520
11.050000,0.012740
11.200000,0.012970
11.350000,0.013200
11.500000,0.013410
11.650000,0.013630
11.800000,0.013850
11.950000,0.014090
12.100000,0.014330
12.250000,0.014590
12.400000,0.014860
12.550000,0.015140
12.700000,0.015430
12.850000,0.015740
13.000000,0.016070
13.150000,0.016420
13.300000,0.016710
13.450000,0.017010
13.600000,0.017330
13.750000,0.017660
13.900000,0.018010
14.050000,0.018370
14.200000,0.018750
14.350000,0.019130
14.500000,0.019530
14.650000,0.019960
14.800000,0.020420
14.950000,0.020920
15.100000,0.021450
15.250000,0.022030
15.400000,0.022670
15.550000,0.023360
15.700000,0.024110
15.850000,0.024950
16.000000,0.025870
16.150000,0.026890
16.300000,0.027920
16.450000,0.029020
16.600000,0.030200
16.750000,0.031500
16.900000,0.032910
17.050000,0.034460
17.200000,0.036160
17.350000,0.038020
17.500000,0.040070
17.650000,0.042290
17.800000,0.044730
17.950000,0.047400
18.100000,0.050340
18.250000,0.053570
18.400000,0.057040
18.550000,0.060780
18.700000,0.065000
18.850000,0.069560
19.000000,0.074490
19.150000,0.079750
19.300000,0.085700
19.450000,0.092160
19.600000,0.098970
19.750000,0.106220
19.900000,0.114310
20.050000,0.122260
20.200000,0.131570
20.350000,0.139880
20.500000,0.148300
20.650000,0.157260
20.800000,0.163910
20.950000,0.171110
21.100000,0.177870
21.250000,0.182500
21.400000,0.188390
21.550000,0.192440
21.700000,0.197700
21.850000,0.201370
22.000000,0.205310
22.150000,0.209770
22.300000,0.213100
22.450000,0.216510
22.600000,0.220940
22.750000,0.224120
22.900000,0.227330
23.050000,0.231770
