alpha,cl
-5.000000,-0.570900
-4.850000,-0.554100
-4.700000,-0.537000
-4.550000,-0.520100
-4.400000,-0.503100
-4.250000,-0.486100
-4.100000,-0.469000
-3.950000,-0.452100
-3.800000,-0.434900
-3.650000,-0.417900
-3.500000,-0.400800
-3.350000,-0.383800
-3.200000,-0.366700
-3.050000,-0.349600
-2.900000,-0.332500
-2.750000,-0.315300
-2.600000,-0.298200
-2.450000,-0.281100
-2.300000,-0.264000
-2.150000,-0.246700
-2.000000,-0.229600
-1.850000,-0.212500
-1.700000,-0.195300
-1.550000,-0.178100
-1.400000,-0.160800
-1.250000,-0.143700
-1.100000,-0.126500
-0.950000,-0.109200
-0.800000,-0.091900
-0.650000,-0.074700
-0.500000,-0.057500
-0.350000,-0.040200
-0.200000,-0.023000
-0.050000,-0.005700
0.100000,0.011500
0.250000,0.028800
0.400000,0.046000
0.550000,0.063300
0.700000,0.080500
1.000000,0.115000
1.150000,0.132300
1.300000,0.149500
1.450000,0.166600
1.600000,0.183800
1.750000,0.201000
1.900000,0.218300
2.050000,0.235500
2.200000,0.252500
2.350000,0.269700
2.500000,0.286800
2.650000,0.304000
2.800000,0.321000
2.950000,0.338200
3.100000,0.355300
3.250000,0.372300
3.400000,0.389600
3.550000,0.406600
3.700000,0.423600
3.850000,0.440700
4.000000,0.457700
4.150000,0.474800
4.300000,0.491700
4.450000,0.508800
4.600000,0.525800
4.750000,0.542800
4.900000,0.559700
5.050000,0.576600
5.200000,0.593600
5.350000,0.610500
5.500000,0.627300
5.650000,0.644200
5.800000,0.660900
5.950000,0.677600
6.100000,0.694400
6.250000,0.710900
6.400000,0.727600
6.550000,0.744200
6.700000,0.760600
6.850000,0.777000
7.000000,0.793400
7.150000,0.809600
7.300000,0.826000
7.450000,0.841900
7.600000,0.858400
7.750000,0.875000
7.900000,0.891800
8.050000,0.908500
8.200000,0.925800
8.350000,0.944500
8.500000,0.962900
8.650000,0.980800
8.800000,0.997900
9.100000,1.036200
9.250000,1.055500
9.400000,1.074700
9.550000,1.093600
9.700000,1.112400
9.850000,1.130900
10.000000,1.149500
10.150000,1.166600
10.300000,1.180500
10.450000,1.194500
10.600000,1.208600
10.750000,1.222800
10.900000,1.237200
11.050000,1.251600
11.200000,1.266100
11.350000,1.280700
11.500000,1.295700
11.650000,1.310500
11.800000,1.325300
11.950000,1.340000
12.100000,1.354500
12.250000,1.368900
12.400000,1.383100
12.550000,1.397100
12.700000,1.410900
12.850000,1.424400
13.000000,1.437600
13.150000,1.450500
13.300000,1.463900
13.450000,1.477000
13.600000,1.489800
13.750000,1.502300
13.900000,1.514400
14.050000,1.526000
14.200000,1.537000
14.350000,1.546400
14.500000,1.554800
14.650000,1.562700
14.800000,1.570400
14.950000,1.577700
15.100000,1.584700
15.250000,1.591300
15.400000,1.597400
15.550000,1.602900
15.700000,1.607900
15.850000,1.612300
16.000000,1.616000
16.150000,1.619000
16.300000,1.622500
16.450000,1.625800
16.600000,1.628900
16.750000,1.631000
16.900000,1.632600
17.050000,1.633600
17.200000,1.633700
17.350000,1.632700
17.500000,1.630800
17.650000,1.628000
17.800000,1.623900
17.950000,1.618200
18.100000,1.611000
18.250000,1.602000
18.400000,1.591600
18.550000,1.579200
18.700000,1.564000
18.850000,1.547000
19.000000,1.527300
19.150000,1.505900
19.300000,1.480700
19.450000,1.452100
19.600000,1.422200
19.750000,1.390200
19.900000,1.353600
20.050000,1.319300
20.200000,1.278400
20.350000,1.244700
20.500000,1.212400
20.650000,1.178800
20.800000,1.158100
20.950000,1.136100
21.100000,1.117400
21.250000,1.108900
21.400000,1.095500
21.550000,1.090100
21.700000,1.080000
21.850000,1.076700
22.000000,1.072600
22.150000,1.066800
22.300000,1.065400
22.450000,1.063900
22.600000,1.059100
22.750000,1.058700
22.900000,1.058300
23.050000,1.054200
