  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     3.600 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5709   0.00725   0.00222  -0.0013   0.8128   0.0571
  -4.850  -0.5541   0.00717   0.00213  -0.0012   0.8004   0.0612
  -4.700  -0.5370   0.00712   0.00206  -0.0011   0.7881   0.0641
  -4.550  -0.5201   0.00705   0.00198  -0.0010   0.7749   0.0697
  -4.400  -0.5031   0.00699   0.00190  -0.0009   0.7617   0.0744
  -4.250  -0.4861   0.00692   0.00183  -0.0008   0.7488   0.0805
  -4.100  -0.4690   0.00687   0.00176  -0.0007   0.7360   0.0855
  -3.950  -0.4521   0.00680   0.00169  -0.0007   0.7226   0.0929
  -3.800  -0.4349   0.00675   0.00163  -0.0006   0.7098   0.0984
  -3.650  -0.4179   0.00668   0.00157  -0.0005   0.6968   0.1067
  -3.500  -0.4008   0.00664   0.00151  -0.0005   0.6842   0.1138
  -3.350  -0.3838   0.00657   0.00145  -0.0004   0.6711   0.1231
  -3.200  -0.3667   0.00652   0.00139  -0.0004   0.6569   0.1322
  -3.050  -0.3496   0.00648   0.00134  -0.0003   0.6435   0.1403
  -2.900  -0.3325   0.00641   0.00129  -0.0003   0.6304   0.1508
  -2.750  -0.3153   0.00637   0.00124  -0.0002   0.6183   0.1597
  -2.600  -0.2982   0.00633   0.00120  -0.0002   0.6052   0.1700
  -2.450  -0.2811   0.00627   0.00115  -0.0002   0.5926   0.1824
  -2.300  -0.2640   0.00621   0.00111  -0.0001   0.5804   0.1944
  -2.150  -0.2467   0.00618   0.00108  -0.0001   0.5675   0.2044
  -2.000  -0.2296   0.00615   0.00104  -0.0001   0.5545   0.2163
  -1.850  -0.2125   0.00610   0.00101  -0.0001   0.5410   0.2293
  -1.700  -0.1953   0.00607   0.00098  -0.0001   0.5284   0.2415
  -1.550  -0.1781   0.00603   0.00095  -0.0000   0.5163   0.2536
  -1.400  -0.1608   0.00600   0.00093  -0.0000   0.5047   0.2657
  -1.250  -0.1437   0.00598   0.00090  -0.0000   0.4908   0.2790
  -1.100  -0.1265   0.00595   0.00088  -0.0000   0.4787   0.2918
  -0.950  -0.1092   0.00592   0.00087  -0.0000   0.4662   0.3053
  -0.800  -0.0919   0.00591   0.00085  -0.0000   0.4536   0.3167
  -0.650  -0.0747   0.00590   0.00084  -0.0000   0.4406   0.3297
  -0.500  -0.0575   0.00589   0.00083   0.0000   0.4274   0.3436
  -0.350  -0.0402   0.00587   0.00082  -0.0000   0.4163   0.3561
  -0.200  -0.0230   0.00585   0.00082   0.0000   0.4031   0.3703
  -0.050  -0.0057   0.00586   0.00082  -0.0000   0.3909   0.3817
   0.100   0.0115   0.00587   0.00082  -0.0000   0.3768   0.3942
   0.250   0.0288   0.00587   0.00082  -0.0000   0.3640   0.4070
   0.400   0.0460   0.00587   0.00083  -0.0000   0.3517   0.4192
   0.550   0.0633   0.00588   0.00083  -0.0000   0.3399   0.4318
   0.700   0.0805   0.00590   0.00085  -0.0000   0.3256   0.4448
   1.000   0.1150   0.00593   0.00087   0.0000   0.3004   0.4703
   1.150   0.1323   0.00595   0.00089   0.0000   0.2881   0.4825
   1.300   0.1495   0.00598   0.00091   0.0000   0.2753   0.4955
   1.450   0.1666   0.00602   0.00093   0.0000   0.2617   0.5082
   1.600   0.1838   0.00605   0.00096   0.0000   0.2482   0.5203
   1.750   0.2010   0.00608   0.00099   0.0001   0.2365   0.5334
   1.900   0.2183   0.00612   0.00102   0.0001   0.2249   0.5446
   2.050   0.2355   0.00615   0.00105   0.0001   0.2137   0.5580
   2.200   0.2525   0.00620   0.00109   0.0001   0.2007   0.5710
   2.350   0.2697   0.00624   0.00113   0.0001   0.1898   0.5846
   2.500   0.2868   0.00629   0.00117   0.0002   0.1778   0.5965
   2.650   0.3040   0.00634   0.00121   0.0002   0.1678   0.6089
   2.800   0.3210   0.00639   0.00126   0.0003   0.1560   0.6228
   2.950   0.3382   0.00643   0.00130   0.0003   0.1475   0.6361
   3.100   0.3553   0.00648   0.00135   0.0003   0.1384   0.6491
   3.250   0.3723   0.00655   0.00142   0.0004   0.1269   0.6616
   3.400   0.3896   0.00659   0.00146   0.0004   0.1207   0.6747
   3.550   0.4066   0.00665   0.00152   0.0005   0.1115   0.6877
   3.700   0.4236   0.00671   0.00159   0.0006   0.1034   0.7013
   3.850   0.4407   0.00676   0.00165   0.0006   0.0971   0.7139
   4.000   0.4577   0.00683   0.00172   0.0007   0.0901   0.7268
   4.150   0.4748   0.00689   0.00178   0.0007   0.0839   0.7399
   4.300   0.4917   0.00695   0.00186   0.0008   0.0781   0.7537
   4.450   0.5088   0.00700   0.00192   0.0009   0.0734   0.7670
   4.600   0.5258   0.00707   0.00201   0.0010   0.0683   0.7795
   4.750   0.5428   0.00714   0.00208   0.0011   0.0634   0.7922
   4.900   0.5597   0.00720   0.00216   0.0012   0.0600   0.8050
   5.050   0.5766   0.00727   0.00225   0.0014   0.0555   0.8172
   5.200   0.5936   0.00733   0.00232   0.0015   0.0529   0.8287
   5.350   0.6105   0.00741   0.00242   0.0016   0.0495   0.8408
   5.500   0.6273   0.00748   0.00251   0.0018   0.0464   0.8522
   5.650   0.6442   0.00755   0.00259   0.0019   0.0443   0.8629
   5.800   0.6609   0.00764   0.00269   0.0021   0.0414   0.8738
   5.950   0.6776   0.00771   0.00279   0.0023   0.0394   0.8844
   6.100   0.6944   0.00780   0.00289   0.0024   0.0373   0.8936
   6.250   0.7109   0.00789   0.00300   0.0027   0.0350   0.9037
   6.400   0.7276   0.00797   0.00310   0.0029   0.0336   0.9121
   6.550   0.7442   0.00806   0.00320   0.0031   0.0323   0.9209
   6.700   0.7606   0.00816   0.00331   0.0034   0.0308   0.9286
   6.850   0.7770   0.00827   0.00343   0.0036   0.0290   0.9366
   7.000   0.7934   0.00836   0.00354   0.0039   0.0282   0.9432
   7.150   0.8096   0.00847   0.00365   0.0042   0.0270   0.9504
   7.300   0.8260   0.00859   0.00377   0.0045   0.0256   0.9561
   7.450   0.8419   0.00871   0.00390   0.0049   0.0243   0.9623
   7.600   0.8584   0.00882   0.00402   0.0051   0.0238   0.9677
   7.750   0.8750   0.00894   0.00414   0.0054   0.0230   0.9721
   7.900   0.8918   0.00907   0.00427   0.0056   0.0222   0.9766
   8.050   0.9085   0.00922   0.00441   0.0057   0.0212   0.9808
   8.200   0.9258   0.00936   0.00455   0.0058   0.0202   0.9838
   8.350   0.9445   0.00949   0.00469   0.0056   0.0197   0.9861
   8.500   0.9629   0.00964   0.00484   0.0054   0.0191   0.9885
   8.650   0.9808   0.00980   0.00499   0.0053   0.0184   0.9909
   8.800   0.9979   0.00996   0.00515   0.0054   0.0177   0.9933
   9.100   1.0362   0.01029   0.00548   0.0047   0.0166   0.9953
   9.250   1.0555   0.01045   0.00565   0.0043   0.0162   0.9960
   9.400   1.0747   0.01063   0.00583   0.0040   0.0158   0.9968
   9.550   1.0936   0.01081   0.00601   0.0037   0.0153   0.9975
   9.700   1.1124   0.01100   0.00620   0.0034   0.0148   0.9983
   9.850   1.1309   0.01121   0.00641   0.0031   0.0142   0.9990
  10.000   1.1495   0.01141   0.00662   0.0029   0.0138   0.9997
  10.150   1.1666   0.01158   0.00680   0.0030   0.0135   1.0000
  10.300   1.1805   0.01175   0.00698   0.0038   0.0133   1.0000
  10.450   1.1945   0.01193   0.00716   0.0045   0.0130   1.0000
  10.600   1.2086   0.01211   0.00735   0.0053   0.0127   1.0000
  10.750   1.2228   0.01231   0.00756   0.0060   0.0124   1.0000
  10.900   1.2372   0.01252   0.00777   0.0066   0.0121   1.0000
  11.050   1.2516   0.01274   0.00800   0.0072   0.0118   1.0000
  11.200   1.2661   0.01297   0.00825   0.0079   0.0114   1.0000
  11.350   1.2807   0.01320   0.00849   0.0084   0.0111   1.0000
  11.500   1.2957   0.01341   0.00871   0.0090   0.0110   1.0000
  11.650   1.3105   0.01363   0.00895   0.0095   0.0109   1.0000
  11.800   1.3253   0.01385   0.00919   0.0101   0.0108   1.0000
  11.950   1.3400   0.01409   0.00944   0.0106   0.0106   1.0000
  12.100   1.3545   0.01433   0.00970   0.0112   0.0104   1.0000
  12.250   1.3689   0.01459   0.00997   0.0118   0.0102   1.0000
  12.400   1.3831   0.01486   0.01026   0.0124   0.0100   1.0000
  12.550   1.3971   0.01514   0.01055   0.0131   0.0098   1.0000
  12.700   1.4109   0.01543   0.01086   0.0137   0.0096   1.0000
  12.850   1.4244   0.01574   0.01119   0.0144   0.0093   1.0000
  13.000   1.4376   0.01607   0.01154   0.0152   0.0091   1.0000
  13.150   1.4505   0.01642   0.01192   0.0159   0.0088   1.0000
  13.300   1.4639   0.01671   0.01223   0.0167   0.0088   1.0000
  13.450   1.4770   0.01701   0.01256   0.0174   0.0087   1.0000
  13.600   1.4898   0.01733   0.01291   0.0182   0.0086   1.0000
  13.750   1.5023   0.01766   0.01327   0.0190   0.0085   1.0000
  13.900   1.5144   0.01801   0.01364   0.0199   0.0084   1.0000
  14.050   1.5260   0.01837   0.01403   0.0208   0.0083   1.0000
  14.200   1.5370   0.01875   0.01443   0.0218   0.0082   1.0000
  14.350   1.5464   0.01913   0.01484   0.0231   0.0081   1.0000
  14.500   1.5548   0.01953   0.01528   0.0245   0.0080   1.0000
  14.650   1.5627   0.01996   0.01574   0.0259   0.0079   1.0000
  14.800   1.5704   0.02042   0.01623   0.0273   0.0078   1.0000
  14.950   1.5777   0.02092   0.01676   0.0287   0.0077   1.0000
  15.100   1.5847   0.02145   0.01733   0.0300   0.0076   1.0000
  15.250   1.5913   0.02203   0.01794   0.0312   0.0075   1.0000
  15.400   1.5974   0.02267   0.01862   0.0324   0.0074   1.0000
  15.550   1.6029   0.02336   0.01935   0.0336   0.0073   1.0000
  15.700   1.6079   0.02411   0.02015   0.0347   0.0071   1.0000
  15.850   1.6123   0.02495   0.02103   0.0357   0.0070   1.0000
  16.000   1.6160   0.02587   0.02200   0.0367   0.0069   1.0000
  16.150   1.6190   0.02689   0.02308   0.0375   0.0068   1.0000
  16.300   1.6225   0.02792   0.02415   0.0382   0.0068   1.0000
  16.450   1.6258   0.02902   0.02530   0.0388   0.0068   1.0000
  16.600   1.6289   0.03020   0.02653   0.0392   0.0067   1.0000
  16.750   1.6310   0.03150   0.02788   0.0395   0.0067   1.0000
  16.900   1.6326   0.03291   0.02935   0.0396   0.0067   1.0000
  17.050   1.6336   0.03446   0.03095   0.0396   0.0067   1.0000
  17.200   1.6337   0.03616   0.03271   0.0395   0.0066   1.0000
  17.350   1.6327   0.03802   0.03463   0.0391   0.0066   1.0000
  17.500   1.6308   0.04007   0.03674   0.0386   0.0066   1.0000
  17.650   1.6280   0.04229   0.03902   0.0379   0.0065   1.0000
  17.800   1.6239   0.04473   0.04152   0.0370   0.0065   1.0000
  17.950   1.6182   0.04740   0.04426   0.0360   0.0065   1.0000
  18.100   1.6110   0.05034   0.04726   0.0347   0.0065   1.0000
  18.250   1.6020   0.05357   0.05056   0.0332   0.0065   1.0000
  18.400   1.5916   0.05704   0.05410   0.0315   0.0064   1.0000
  18.550   1.5792   0.06078   0.05791   0.0296   0.0064   1.0000
  18.700   1.5640   0.06500   0.06221   0.0275   0.0064   1.0000
  18.850   1.5470   0.06956   0.06684   0.0250   0.0064   1.0000
  19.000   1.5273   0.07449   0.07186   0.0224   0.0064   1.0000
  19.150   1.5059   0.07975   0.07719   0.0196   0.0064   1.0000
  19.300   1.4807   0.08570   0.08323   0.0164   0.0065   1.0000
  19.450   1.4521   0.09216   0.08978   0.0129   0.0065   1.0000
  19.600   1.4222   0.09897   0.09667   0.0091   0.0065   1.0000
  19.750   1.3902   0.10622   0.10401   0.0050   0.0066   1.0000
  19.900   1.3536   0.11431   0.11219   0.0004   0.0066   1.0000
  20.050   1.3193   0.12226   0.12022  -0.0042   0.0066   1.0000
  20.200   1.2784   0.13157   0.12963  -0.0098   0.0067   1.0000
  20.350   1.2447   0.13988   0.13802  -0.0149   0.0067   1.0000
  20.500   1.2124   0.14830   0.14652  -0.0202   0.0067   1.0000
  20.650   1.1788   0.15726   0.15557  -0.0260   0.0068   1.0000
  20.800   1.1581   0.16391   0.16227  -0.0303   0.0068   1.0000
  20.950   1.1361   0.17111   0.16953  -0.0350   0.0068   1.0000
  21.100   1.1174   0.17787   0.17634  -0.0395   0.0068   1.0000
  21.250   1.1089   0.18250   0.18101  -0.0426   0.0068   1.0000
  21.400   1.0955   0.18839   0.18694  -0.0466   0.0068   1.0000
  21.550   1.0901   0.19244   0.19103  -0.0494   0.0067   1.0000
  21.700   1.0800   0.19770   0.19633  -0.0529   0.0067   1.0000
  21.850   1.0767   0.20137   0.20002  -0.0555   0.0067   1.0000
  22.000   1.0726   0.20531   0.20398  -0.0582   0.0067   1.0000
  22.150   1.0668   0.20977   0.20847  -0.0613   0.0066   1.0000
  22.300   1.0654   0.21310   0.21182  -0.0636   0.0066   1.0000
  22.450   1.0639   0.21651   0.21525  -0.0660   0.0065   1.0000
  22.600   1.0591   0.22094   0.21971  -0.0690   0.0065   1.0000
  22.750   1.0587   0.22412   0.22290  -0.0713   0.0064   1.0000
  22.900   1.0583   0.22733   0.22613  -0.0736   0.0063   1.0000
  23.050   1.0542   0.23177   0.23060  -0.0766   0.0062   1.0000
