alpha,cd
-5.000000,0.007780
-4.850000,0.007680
-4.700000,0.007590
-4.550000,0.007490
-4.400000,0.007410
-4.250000,0.007310
-4.100000,0.007250
-3.950000,0.007150
-3.800000,0.007070
-3.650000,0.007010
-3.500000,0.006920
-3.350000,0.006850
-3.200000,0.006790
-3.050000,0.006720
-2.900000,0.006650
-2.750000,0.006580
-2.600000,0.006520
-2.450000,0.006470
-2.300000,0.006430
-2.150000,0.006380
-2.000000,0.006330
-1.850000,0.006280
-1.700000,0.006240
-1.550000,0.006200
-1.400000,0.006170
-1.250000,0.006140
-1.100000,0.006110
-0.950000,0.006090
-0.800000,0.006070
-0.650000,0.006060
-0.500000,0.006040
-0.350000,0.006030
-0.200000,0.006020
-0.050000,0.006030
0.100000,0.006030
0.250000,0.006030
0.400000,0.006030
0.550000,0.006040
0.700000,0.006050
0.850000,0.006070
1.000000,0.006100
1.150000,0.006120
1.450000,0.006180
1.600000,0.006210
1.750000,0.006250
1.900000,0.006290
2.050000,0.006330
2.200000,0.006390
2.350000,0.006440
2.500000,0.006490
2.650000,0.006550
2.800000,0.006600
2.950000,0.006670
3.100000,0.006730
3.250000,0.006810
3.550000,0.006950
3.700000,0.007020
3.850000,0.007100
4.000000,0.007180
4.150000,0.007270
4.300000,0.007340
4.450000,0.007430
4.600000,0.007540
4.750000,0.007610
4.900000,0.007720
5.050000,0.007800
5.200000,0.007920
5.350000,0.008010
5.500000,0.008110
5.650000,0.008230
5.800000,0.008330
5.950000,0.008460
6.100000,0.008580
6.250000,0.008690
6.400000,0.008830
6.550000,0.008960
6.700000,0.009090
6.850000,0.009250
7.000000,0.009380
7.150000,0.009520
7.300000,0.009680
7.450000,0.009850
7.600000,0.009990
7.750000,0.010150
7.900000,0.010330
8.050000,0.010520
8.200000,0.010680
8.350000,0.010850
8.500000,0.011040
8.650000,0.011250
8.800000,0.011450
8.950000,0.011630
9.100000,0.011830
9.250000,0.012010
9.400000,0.012200
9.550000,0.012400
9.700000,0.012630
9.850000,0.012810
10.000000,0.012990
10.150000,0.013190
10.300000,0.013400
10.450000,0.013630
10.600000,0.013870
10.750000,0.014130
10.900000,0.014420
11.050000,0.014660
11.200000,0.014900
11.350000,0.015150
11.500000,0.015420
11.650000,0.015700
11.800000,0.015990
11.950000,0.016290
12.100000,0.016610
12.250000,0.016950
12.400000,0.017320
12.550000,0.017730
12.700000,0.018080
12.850000,0.018430
13.000000,0.018790
13.150000,0.019170
13.300000,0.019560
13.450000,0.019970
13.600000,0.020380
13.750000,0.020810
13.900000,0.021280
14.050000,0.021790
14.200000,0.022330
14.350000,0.022930
14.500000,0.023580
14.650000,0.024300
14.800000,0.025100
14.950000,0.026020
15.100000,0.027070
15.250000,0.028040
15.400000,0.029070
15.550000,0.030230
15.700000,0.031470
15.850000,0.032850
16.000000,0.034360
16.150000,0.036050
16.300000,0.037870
16.450000,0.039930
16.600000,0.042170
16.750000,0.044640
16.900000,0.047350
17.050000,0.050320
17.200000,0.053560
17.350000,0.057190
17.500000,0.061100
17.650000,0.065360
17.800000,0.069980
17.950000,0.075030
18.100000,0.080560
18.250000,0.086460
18.400000,0.092850
18.550000,0.099620
18.700000,0.106530
18.850000,0.113930
19.000000,0.121180
19.150000,0.128230
19.300000,0.135140
19.450000,0.141870
19.600000,0.148320
19.750000,0.154230
19.900000,0.159270
20.050000,0.164880
20.200000,0.169330
20.350000,0.174500
20.500000,0.178670
20.650000,0.183150
20.800000,0.187520
20.950000,0.191310
21.100000,0.195930
21.250000,0.199710
21.400000,0.203530
21.550000,0.208150
21.700000,0.211930
21.850000,0.216640
22.000000,0.220730
22.150000,0.225460
22.300000,0.229660
22.450000,0.233470
22.600000,0.238130
22.750000,0.241730
