alpha,cl
-5.000000,-0.561000
-4.850000,-0.544600
-4.700000,-0.528100
-4.550000,-0.511600
-4.400000,-0.495200
-4.250000,-0.478600
-4.100000,-0.461800
-3.950000,-0.445400
-3.800000,-0.428800
-3.650000,-0.412000
-3.500000,-0.395400
-3.350000,-0.378700
-3.200000,-0.362000
-3.050000,-0.345200
-2.900000,-0.328400
-2.750000,-0.311600
-2.600000,-0.294800
-2.450000,-0.278000
-2.300000,-0.261100
-2.150000,-0.244100
-2.000000,-0.227200
-1.850000,-0.210300
-1.700000,-0.193300
-1.550000,-0.176400
-1.400000,-0.159400
-1.250000,-0.142300
-1.100000,-0.125200
-0.950000,-0.108100
-0.800000,-0.091100
-0.650000,-0.074100
-0.500000,-0.057000
-0.350000,-0.039900
-0.200000,-0.022800
-0.050000,-0.005600
0.100000,0.011400
0.250000,0.028500
0.400000,0.045600
0.550000,0.062700
0.700000,0.079800
0.850000,0.096900
1.000000,0.113900
1.150000,0.130900
1.450000,0.165000
1.600000,0.182100
1.750000,0.199100
1.900000,0.216000
2.050000,0.232900
2.200000,0.249800
2.350000,0.266700
2.500000,0.283600
2.650000,0.300500
2.800000,0.317300
2.950000,0.334100
3.100000,0.350800
3.250000,0.367500
3.550000,0.401000
3.700000,0.417700
3.850000,0.434300
4.000000,0.451000
4.150000,0.467500
4.300000,0.484100
4.450000,0.500700
4.600000,0.517100
4.750000,0.533700
4.900000,0.550200
5.050000,0.566500
5.200000,0.582900
5.350000,0.599200
5.500000,0.615600
5.650000,0.631700
5.800000,0.648200
5.950000,0.664200
6.100000,0.680600
6.250000,0.697300
6.400000,0.713800
6.550000,0.730500
6.700000,0.748500
6.850000,0.766300
7.000000,0.783400
7.150000,0.802100
7.300000,0.821400
7.450000,0.840300
7.600000,0.859100
7.750000,0.877500
7.900000,0.895700
8.050000,0.915700
8.200000,0.935700
8.350000,0.955500
8.500000,0.975100
8.650000,0.994300
8.800000,1.013500
8.950000,1.032800
9.100000,1.052000
9.250000,1.066000
9.400000,1.079300
9.550000,1.092500
9.700000,1.105800
9.850000,1.119600
10.000000,1.133500
10.150000,1.147500
10.300000,1.161600
10.450000,1.175700
10.600000,1.189800
10.750000,1.203800
10.900000,1.217500
11.050000,1.231800
11.200000,1.246200
11.350000,1.260400
11.500000,1.274500
11.650000,1.288400
11.800000,1.302200
11.950000,1.315700
12.100000,1.329000
12.250000,1.341900
12.400000,1.354400
12.550000,1.366300
12.700000,1.378700
12.850000,1.391100
13.000000,1.403100
13.150000,1.414700
13.300000,1.425800
13.450000,1.436100
13.600000,1.444800
13.750000,1.452900
13.900000,1.460600
14.050000,1.468000
14.200000,1.475000
14.350000,1.481500
14.500000,1.487400
14.650000,1.492700
14.800000,1.497200
14.950000,1.500600
15.100000,1.503000
15.250000,1.506900
15.400000,1.510600
15.550000,1.513500
15.700000,1.516200
15.850000,1.517900
16.000000,1.518900
16.150000,1.519100
16.300000,1.518800
16.450000,1.516800
16.600000,1.514100
16.750000,1.510200
16.900000,1.504900
17.050000,1.498100
17.200000,1.489800
17.350000,1.479200
17.500000,1.466900
17.650000,1.452400
17.800000,1.435900
17.950000,1.416700
18.100000,1.394700
18.250000,1.371000
18.400000,1.344400
18.550000,1.316100
18.700000,1.287800
18.850000,1.257100
19.000000,1.228300
19.150000,1.201900
19.300000,1.176800
19.450000,1.153900
19.600000,1.133500
19.750000,1.116800
19.900000,1.104500
20.050000,1.090200
20.200000,1.081900
20.350000,1.070900
20.500000,1.064700
20.650000,1.057500
20.800000,1.051100
20.950000,1.047300
21.100000,1.040300
21.250000,1.036900
21.400000,1.033600
21.550000,1.027700
21.700000,1.025100
21.850000,1.019600
22.000000,1.016600
22.150000,1.011900
22.300000,1.009100
22.450000,1.007800
22.600000,1.004200
22.750000,1.003900
