  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     2.000 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5610   0.00778   0.00255  -0.0035   0.8989   0.0735
  -4.850  -0.5446   0.00768   0.00245  -0.0032   0.8896   0.0791
  -4.700  -0.5281   0.00759   0.00236  -0.0030   0.8792   0.0848
  -4.550  -0.5116   0.00749   0.00226  -0.0028   0.8690   0.0913
  -4.400  -0.4952   0.00741   0.00217  -0.0026   0.8578   0.0982
  -4.250  -0.4786   0.00731   0.00208  -0.0024   0.8463   0.1064
  -4.100  -0.4618   0.00725   0.00200  -0.0022   0.8350   0.1128
  -3.950  -0.4454   0.00715   0.00191  -0.0020   0.8228   0.1232
  -3.800  -0.4288   0.00707   0.00183  -0.0019   0.8100   0.1323
  -3.650  -0.4120   0.00701   0.00177  -0.0017   0.7975   0.1411
  -3.500  -0.3954   0.00692   0.00169  -0.0016   0.7847   0.1528
  -3.350  -0.3787   0.00685   0.00162  -0.0014   0.7714   0.1636
  -3.200  -0.3620   0.00679   0.00156  -0.0013   0.7581   0.1738
  -3.050  -0.3452   0.00672   0.00149  -0.0012   0.7445   0.1860
  -2.900  -0.3284   0.00665   0.00143  -0.0011   0.7317   0.1989
  -2.750  -0.3116   0.00658   0.00137  -0.0010   0.7180   0.2128
  -2.600  -0.2948   0.00652   0.00132  -0.0009   0.7040   0.2251
  -2.450  -0.2780   0.00647   0.00128  -0.0008   0.6899   0.2382
  -2.300  -0.2611   0.00643   0.00123  -0.0007   0.6756   0.2509
  -2.150  -0.2441   0.00638   0.00119  -0.0007   0.6621   0.2646
  -2.000  -0.2272   0.00633   0.00115  -0.0006   0.6485   0.2792
  -1.850  -0.2103   0.00628   0.00111  -0.0005   0.6353   0.2935
  -1.700  -0.1933   0.00624   0.00108  -0.0005   0.6215   0.3077
  -1.550  -0.1764   0.00620   0.00105  -0.0004   0.6076   0.3219
  -1.400  -0.1594   0.00617   0.00102  -0.0003   0.5932   0.3358
  -1.250  -0.1423   0.00614   0.00100  -0.0003   0.5796   0.3495
  -1.100  -0.1252   0.00611   0.00098  -0.0003   0.5662   0.3636
  -0.950  -0.1081   0.00609   0.00096  -0.0002   0.5533   0.3774
  -0.800  -0.0911   0.00607   0.00094  -0.0002   0.5397   0.3919
  -0.650  -0.0741   0.00606   0.00093  -0.0001   0.5255   0.4063
  -0.500  -0.0570   0.00604   0.00092  -0.0001   0.5119   0.4203
  -0.350  -0.0399   0.00603   0.00091  -0.0001   0.4975   0.4339
  -0.200  -0.0228   0.00602   0.00091  -0.0000   0.4844   0.4470
  -0.050  -0.0056   0.00603   0.00091  -0.0000   0.4702   0.4606
   0.100   0.0114   0.00603   0.00091   0.0000   0.4571   0.4749
   0.250   0.0285   0.00603   0.00091   0.0001   0.4429   0.4893
   0.400   0.0456   0.00603   0.00091   0.0001   0.4293   0.5031
   0.550   0.0627   0.00604   0.00092   0.0001   0.4150   0.5168
   0.700   0.0798   0.00605   0.00093   0.0001   0.4018   0.5300
   0.850   0.0969   0.00607   0.00095   0.0002   0.3876   0.5440
   1.000   0.1139   0.00610   0.00096   0.0002   0.3736   0.5576
   1.150   0.1309   0.00612   0.00098   0.0003   0.3592   0.5714
   1.450   0.1650   0.00618   0.00103   0.0004   0.3305   0.5982
   1.600   0.1821   0.00621   0.00106   0.0004   0.3175   0.6120
   1.750   0.1991   0.00625   0.00109   0.0005   0.3026   0.6255
   1.900   0.2160   0.00629   0.00112   0.0005   0.2893   0.6396
   2.050   0.2329   0.00633   0.00116   0.0006   0.2748   0.6536
   2.200   0.2498   0.00639   0.00120   0.0007   0.2605   0.6669
   2.350   0.2667   0.00644   0.00124   0.0008   0.2469   0.6808
   2.500   0.2836   0.00649   0.00129   0.0008   0.2340   0.6947
   2.650   0.3005   0.00655   0.00134   0.0009   0.2202   0.7086
   2.800   0.3173   0.00660   0.00139   0.0010   0.2083   0.7223
   2.950   0.3341   0.00667   0.00145   0.0011   0.1951   0.7356
   3.100   0.3508   0.00673   0.00151   0.0012   0.1829   0.7490
   3.250   0.3675   0.00681   0.00158   0.0014   0.1701   0.7622
   3.550   0.4010   0.00695   0.00171   0.0016   0.1488   0.7889
   3.700   0.4177   0.00702   0.00179   0.0018   0.1385   0.8018
   3.850   0.4343   0.00710   0.00186   0.0019   0.1288   0.8146
   4.000   0.4510   0.00718   0.00194   0.0021   0.1204   0.8267
   4.150   0.4675   0.00727   0.00203   0.0023   0.1108   0.8390
   4.300   0.4841   0.00734   0.00211   0.0025   0.1036   0.8504
   4.450   0.5007   0.00743   0.00220   0.0026   0.0962   0.8612
   4.600   0.5171   0.00754   0.00230   0.0029   0.0882   0.8726
   4.750   0.5337   0.00761   0.00239   0.0031   0.0832   0.8828
   4.900   0.5502   0.00772   0.00249   0.0033   0.0770   0.8924
   5.050   0.5665   0.00780   0.00258   0.0035   0.0721   0.9021
   5.200   0.5829   0.00792   0.00269   0.0038   0.0668   0.9107
   5.350   0.5992   0.00801   0.00279   0.0041   0.0629   0.9196
   5.500   0.6156   0.00811   0.00290   0.0043   0.0593   0.9273
   5.650   0.6317   0.00823   0.00301   0.0046   0.0550   0.9353
   5.800   0.6482   0.00833   0.00312   0.0049   0.0522   0.9420
   5.950   0.6642   0.00846   0.00324   0.0052   0.0487   0.9489
   6.100   0.6806   0.00858   0.00335   0.0055   0.0463   0.9551
   6.250   0.6973   0.00869   0.00347   0.0057   0.0440   0.9604
   6.400   0.7138   0.00883   0.00359   0.0059   0.0413   0.9660
   6.550   0.7305   0.00896   0.00372   0.0061   0.0391   0.9705
   6.700   0.7485   0.00909   0.00385   0.0060   0.0372   0.9741
   6.850   0.7663   0.00925   0.00398   0.0059   0.0351   0.9779
   7.000   0.7834   0.00938   0.00412   0.0060   0.0336   0.9816
   7.150   0.8021   0.00952   0.00425   0.0058   0.0323   0.9841
   7.300   0.8214   0.00968   0.00440   0.0053   0.0307   0.9860
   7.450   0.8403   0.00985   0.00457   0.0050   0.0289   0.9880
   7.600   0.8591   0.00999   0.00471   0.0047   0.0280   0.9901
   7.750   0.8775   0.01015   0.00487   0.0045   0.0268   0.9921
   7.900   0.8957   0.01033   0.00504   0.0043   0.0256   0.9938
