alpha,cd
-5.000000,0.006960
-4.850000,0.006890
-4.700000,0.006850
-4.550000,0.006810
-4.400000,0.006740
-4.250000,0.006700
-4.100000,0.006630
-3.950000,0.006590
-3.800000,0.006530
-3.650000,0.006490
-3.500000,0.006440
-3.350000,0.006410
-3.200000,0.006340
-3.050000,0.006310
-2.900000,0.006260
-2.750000,0.006220
-2.600000,0.006170
-2.450000,0.006130
-2.300000,0.006110
-2.150000,0.006050
-2.000000,0.006010
-1.850000,0.006000
-1.700000,0.005950
-1.550000,0.005920
-1.400000,0.005910
-1.250000,0.005880
-1.100000,0.005850
-0.950000,0.005820
-0.800000,0.005820
-0.650000,0.005810
-0.500000,0.005790
-0.350000,0.005780
-0.200000,0.005790
-0.050000,0.005780
0.100000,0.005770
0.250000,0.005780
0.400000,0.005790
0.550000,0.005800
0.700000,0.005800
0.850000,0.005830
1.000000,0.005840
1.150000,0.005850
1.300000,0.005880
1.450000,0.005920
1.600000,0.005940
1.750000,0.005950
1.900000,0.006000
2.050000,0.006040
2.350000,0.006110
2.500000,0.006150
2.650000,0.006190
2.800000,0.006240
2.950000,0.006270
3.100000,0.006320
3.250000,0.006360
3.400000,0.006410
3.550000,0.006460
3.700000,0.006500
3.850000,0.006560
4.000000,0.006600
4.150000,0.006650
4.300000,0.006710
4.450000,0.006760
4.600000,0.006820
4.750000,0.006860
4.900000,0.006920
5.050000,0.006980
5.200000,0.007020
5.350000,0.007100
5.500000,0.007150
5.650000,0.007200
5.800000,0.007290
5.950000,0.007340
6.100000,0.007400
6.250000,0.007470
6.400000,0.007550
6.550000,0.007610
6.700000,0.007680
6.850000,0.007780
7.000000,0.007860
7.150000,0.007930
7.300000,0.008020
7.450000,0.008120
7.600000,0.008230
7.750000,0.008310
7.900000,0.008420
8.050000,0.008520
8.200000,0.008640
8.350000,0.008760
8.500000,0.008880
8.650000,0.008990
8.800000,0.009110
8.950000,0.009240
9.100000,0.009390
9.250000,0.009540
9.400000,0.009700
9.550000,0.009840
9.700000,0.009990
9.850000,0.010150
10.000000,0.010320
10.150000,0.010510
10.300000,0.010700
10.450000,0.010900
10.600000,0.011080
10.750000,0.011260
10.900000,0.011430
11.050000,0.011600
11.200000,0.011780
11.350000,0.011970
11.500000,0.012160
11.650000,0.012380
11.800000,0.012600
11.950000,0.012830
12.100000,0.013060
12.250000,0.013300
12.400000,0.013520
12.550000,0.013740
12.700000,0.013970
12.850000,0.014200
13.000000,0.014450
13.150000,0.014710
13.300000,0.014980
13.450000,0.015260
13.600000,0.015560
13.750000,0.015870
13.900000,0.016190
14.050000,0.016520
14.200000,0.016870
14.350000,0.017230
14.500000,0.017600
14.650000,0.017940
14.800000,0.018290
14.950000,0.018640
15.100000,0.019020
15.250000,0.019420
15.400000,0.019860
15.550000,0.020330
15.700000,0.020820
15.850000,0.021360
16.000000,0.021940
16.150000,0.022570
16.300000,0.023250
16.450000,0.023990
16.600000,0.024790
16.750000,0.025670
16.900000,0.026610
17.050000,0.027660
17.200000,0.028820
17.350000,0.030060
17.500000,0.031420
17.650000,0.032930
17.800000,0.034570
17.950000,0.036360
18.100000,0.038340
18.250000,0.040500
18.400000,0.042920
18.550000,0.045490
18.700000,0.048330
18.850000,0.051410
19.000000,0.054730
19.150000,0.058360
19.300000,0.062390
19.450000,0.066480
19.600000,0.071120
19.750000,0.076200
19.900000,0.081360
20.050000,0.087130
20.200000,0.092970
20.350000,0.099620
20.500000,0.106280
20.650000,0.113690
20.800000,0.120880
20.950000,0.129370
21.100000,0.137430
21.250000,0.145410
21.400000,0.153590
21.550000,0.161800
21.700000,0.169820
21.850000,0.177610
22.000000,0.185200
22.150000,0.192340
22.300000,0.196950
22.450000,0.203310
22.600000,0.207590
22.750000,0.213490
22.900000,0.217360
23.050000,0.223110
