alpha,cl
-5.000000,-0.576200
-4.850000,-0.559200
-4.700000,-0.541900
-4.550000,-0.524600
-4.400000,-0.507500
-4.250000,-0.490100
-4.100000,-0.473100
-3.950000,-0.455700
-3.800000,-0.438600
-3.650000,-0.421300
-3.500000,-0.404100
-3.350000,-0.386700
-3.200000,-0.369500
-3.050000,-0.352100
-2.900000,-0.335000
-2.750000,-0.317600
-2.600000,-0.300300
-2.450000,-0.283100
-2.300000,-0.265800
-2.150000,-0.248600
-2.000000,-0.231200
-1.850000,-0.213800
-1.700000,-0.196500
-1.550000,-0.179200
-1.400000,-0.161800
-1.250000,-0.144500
-1.100000,-0.127300
-0.950000,-0.109900
-0.800000,-0.092600
-0.650000,-0.075200
-0.500000,-0.057800
-0.350000,-0.040500
-0.200000,-0.023100
-0.050000,-0.005800
0.100000,0.011600
0.250000,0.028900
0.400000,0.046300
0.550000,0.063600
0.700000,0.081000
0.850000,0.098400
1.000000,0.115700
1.150000,0.133000
1.300000,0.150400
1.450000,0.167700
1.600000,0.185000
1.750000,0.202400
1.900000,0.219700
2.050000,0.236900
2.350000,0.271600
2.500000,0.288900
2.650000,0.306200
2.800000,0.323400
2.950000,0.340800
3.100000,0.358000
3.250000,0.375300
3.400000,0.392600
3.550000,0.409800
3.700000,0.427100
3.850000,0.444200
4.000000,0.461600
4.150000,0.478900
4.300000,0.496000
4.450000,0.513200
4.600000,0.530400
4.750000,0.547800
4.900000,0.564900
5.050000,0.582000
5.200000,0.599200
5.350000,0.616300
5.500000,0.633500
5.650000,0.650700
5.800000,0.667600
5.950000,0.684800
6.100000,0.701900
6.250000,0.718900
6.400000,0.735800
6.550000,0.752900
6.700000,0.769800
6.850000,0.786600
7.000000,0.803400
7.150000,0.820300
7.300000,0.837100
7.450000,0.853600
7.600000,0.870300
7.750000,0.886700
7.900000,0.903500
8.050000,0.919600
8.200000,0.935900
8.350000,0.951900
8.500000,0.968100
8.650000,0.984600
8.800000,1.000800
8.950000,1.017200
9.100000,1.034100
9.250000,1.051800
9.400000,1.069500
9.550000,1.086900
9.700000,1.104500
9.850000,1.123600
10.000000,1.142500
10.150000,1.161100
10.300000,1.179600
10.450000,1.198000
10.600000,1.216300
10.750000,1.234700
10.900000,1.250100
11.050000,1.264600
11.200000,1.279400
11.350000,1.294200
11.500000,1.309200
11.650000,1.324100
11.800000,1.339100
11.950000,1.353900
12.100000,1.368700
12.250000,1.383500
12.400000,1.398600
12.550000,1.413600
12.700000,1.428400
12.850000,1.443100
13.000000,1.457600
13.150000,1.471900
13.300000,1.486000
13.450000,1.499900
13.600000,1.513600
13.750000,1.526900
13.900000,1.539900
14.050000,1.552700
14.200000,1.565100
14.350000,1.577100
14.500000,1.588600
14.650000,1.600300
14.800000,1.611100
14.950000,1.620300
15.100000,1.628700
15.250000,1.637100
15.400000,1.645000
15.550000,1.652800
15.700000,1.660300
15.850000,1.667400
16.000000,1.674100
16.150000,1.680400
16.300000,1.686400
16.450000,1.691800
16.600000,1.696900
16.750000,1.701600
16.900000,1.705500
17.050000,1.709000
17.200000,1.711800
17.350000,1.714000
17.500000,1.715600
17.650000,1.716300
17.800000,1.716400
17.950000,1.715500
18.100000,1.713400
18.250000,1.710400
18.400000,1.705800
18.550000,1.700200
18.700000,1.692900
18.850000,1.684300
19.000000,1.674100
19.150000,1.661900
19.300000,1.647100
19.450000,1.632400
19.600000,1.614100
19.750000,1.592800
19.900000,1.571500
20.050000,1.546700
20.200000,1.521300
20.350000,1.491600
20.500000,1.462400
20.650000,1.428800
20.800000,1.397800
20.950000,1.360100
21.100000,1.326000
21.250000,1.294100
21.400000,1.262700
21.550000,1.232100
21.700000,1.204400
21.850000,1.179500
22.000000,1.157000
22.150000,1.137500
22.300000,1.129300
22.450000,1.114500
22.600000,1.108700
22.750000,1.097300
22.900000,1.093800
23.050000,1.084000
