alpha,cl,cd,cm,ld,re,ncrit
-5.000000,-0.576200,0.006960,-0.000400,-82.787356,5600000.000000,6.000000
-4.850000,-0.559200,0.006890,-0.000300,-81.161103,5600000.000000,6.000000
-4.700000,-0.541900,0.006850,-0.000200,-79.109489,5600000.000000,6.000000
-4.550000,-0.524600,0.006810,-0.000200,-77.033774,5600000.000000,6.000000
-4.400000,-0.507500,0.006740,-0.000100,-75.296736,5600000.000000,6.000000
-4.250000,-0.490100,0.006700,-0.000100,-73.149254,5600000.000000,6.000000
-4.100000,-0.473100,0.006630,-0.000100,-71.357466,5600000.000000,6.000000
-3.950000,-0.455700,0.006590,-0.000000,-69.150228,5600000.000000,6.000000
-3.800000,-0.438600,0.006530,0.000000,-67.166922,5600000.000000,6.000000
-3.650000,-0.421300,0.006490,0.000000,-64.915254,5600000.000000,6.000000
-3.500000,-0.404100,0.006440,0.000100,-62.748447,5600000.000000,6.000000
-3.350000,-0.386700,0.006410,0.000100,-60.327613,5600000.000000,6.000000
-3.200000,-0.369500,0.006340,0.000100,-58.280757,5600000.000000,6.000000
-3.050000,-0.352100,0.006310,0.000100,-55.800317,5600000.000000,6.000000
-2.900000,-0.335000,0.006260,0.000100,-53.514377,5600000.000000,6.000000
-2.750000,-0.317600,0.006220,0.000100,-51.061093,5600000.000000,6.000000
-2.600000,-0.300300,0.006170,0.000100,-48.670989,5600000.000000,6.000000
-2.450000,-0.283100,0.006130,0.000200,-46.182708,5600000.000000,6.000000
-2.300000,-0.265800,0.006110,0.000200,-43.502455,5600000.000000,6.000000
-2.150000,-0.248600,0.006050,0.000200,-41.090909,5600000.000000,6.000000
-2.000000,-0.231200,0.006010,0.000200,-38.469218,5600000.000000,6.000000
-1.850000,-0.213800,0.006000,0.000100,-35.633333,5600000.000000,6.000000
-1.700000,-0.196500,0.005950,0.000100,-33.025210,5600000.000000,6.000000
-1.550000,-0.179200,0.005920,0.000100,-30.270270,5600000.000000,6.000000
-1.400000,-0.161800,0.005910,0.000100,-27.377327,5600000.000000,6.000000
-1.250000,-0.144500,0.005880,0.000100,-24.574830,5600000.000000,6.000000
-1.100000,-0.127300,0.005850,0.000100,-21.760684,5600000.000000,6.000000
-0.950000,-0.109900,0.005820,0.000100,-18.883162,5600000.000000,6.000000
-0.800000,-0.092600,0.005820,0.000100,-15.910653,5600000.000000,6.000000
-0.650000,-0.075200,0.005810,0.000100,-12.943201,5600000.000000,6.000000
-0.500000,-0.057800,0.005790,0.000100,-9.982729,5600000.000000,6.000000
-0.350000,-0.040500,0.005780,0.000000,-7.006920,5600000.000000,6.000000
-0.200000,-0.023100,0.005790,0.000000,-3.989637,5600000.000000,6.000000
-0.050000,-0.005800,0.005780,0.000000,-1.003460,5600000.000000,6.000000
0.100000,0.011600,0.005770,-0.000000,2.010399,5600000.000000,6.000000
0.250000,0.028900,0.005780,-0.000000,5.000000,5600000.000000,6.000000
0.400000,0.046300,0.005790,-0.000100,7.996546,5600000.000000,6.000000
0.550000,0.063600,0.005800,-0.000100,10.965517,5600000.000000,6.000000
0.700000,0.081000,0.005800,-0.000100,13.965517,5600000.000000,6.000000
0.850000,0.098400,0.005830,-0.000100,16.878216,5600000.000000,6.000000
1.000000,0.115700,0.005840,-0.000100,19.811644,5600000.000000,6.000000
1.150000,0.133000,0.005850,-0.000100,22.735043,5600000.000000,6.000000
1.300000,0.150400,0.005880,-0.000100,25.578231,5600000.000000,6.000000
