  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     5.600 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5762   0.00696   0.00203  -0.0004   0.7324   0.0473
  -4.850  -0.5592   0.00689   0.00195  -0.0003   0.7202   0.0519
  -4.700  -0.5419   0.00685   0.00189  -0.0002   0.7066   0.0544
  -4.550  -0.5246   0.00681   0.00183  -0.0002   0.6933   0.0574
  -4.400  -0.5075   0.00674   0.00176  -0.0001   0.6815   0.0617
  -4.250  -0.4901   0.00670   0.00170  -0.0001   0.6693   0.0645
  -4.100  -0.4731   0.00663   0.00163  -0.0001   0.6566   0.0712
  -3.950  -0.4557   0.00659   0.00158  -0.0000   0.6443   0.0746
  -3.800  -0.4386   0.00653   0.00151   0.0000   0.6311   0.0818
  -3.650  -0.4213   0.00649   0.00146   0.0000   0.6186   0.0862
  -3.500  -0.4041   0.00644   0.00141   0.0001   0.6061   0.0933
  -3.350  -0.3867   0.00641   0.00136   0.0001   0.5935   0.0982
  -3.200  -0.3695   0.00634   0.00131   0.0001   0.5819   0.1076
  -3.050  -0.3521   0.00631   0.00126   0.0001   0.5700   0.1126
  -2.900  -0.3350   0.00626   0.00121   0.0001   0.5580   0.1225
  -2.750  -0.3176   0.00622   0.00118   0.0001   0.5453   0.1303
  -2.600  -0.3003   0.00617   0.00113   0.0001   0.5352   0.1384
  -2.450  -0.2831   0.00613   0.00109   0.0002   0.5217   0.1492
  -2.300  -0.2658   0.00611   0.00106   0.0002   0.5086   0.1561
  -2.150  -0.2486   0.00605   0.00102   0.0002   0.4975   0.1686
  -2.000  -0.2312   0.00601   0.00099   0.0002   0.4872   0.1786
  -1.850  -0.2138   0.00600   0.00097   0.0001   0.4750   0.1859
  -1.700  -0.1965   0.00595   0.00094   0.0001   0.4640   0.1986
  -1.550  -0.1792   0.00592   0.00091   0.0001   0.4524   0.2110
  -1.400  -0.1618   0.00591   0.00089   0.0001   0.4402   0.2201
