alpha,cd
-5.000000,0.007310
-4.850000,0.007260
-4.700000,0.007200
-4.550000,0.007150
-4.400000,0.007090
-4.250000,0.007040
-4.100000,0.007000
-3.950000,0.006930
-3.800000,0.006880
-3.650000,0.006830
-3.500000,0.006800
-3.350000,0.006730
-3.200000,0.006700
-3.050000,0.006640
-2.900000,0.006600
-2.750000,0.006560
-2.600000,0.006510
-2.450000,0.006490
-2.300000,0.006420
-2.150000,0.006390
-2.000000,0.006360
-1.850000,0.006320
-1.700000,0.006280
-1.550000,0.006260
-1.400000,0.006230
-1.250000,0.006200
-1.100000,0.006190
-0.950000,0.006170
-0.800000,0.006140
-0.650000,0.006120
-0.500000,0.006120
-0.350000,0.006110
-0.200000,0.006090
-0.050000,0.006100
0.100000,0.006100
0.250000,0.006100
0.400000,0.006100
0.550000,0.006120
0.700000,0.006150
0.850000,0.006140
1.000000,0.006150
1.150000,0.006200
1.300000,0.006210
1.450000,0.006230
1.600000,0.006270
1.750000,0.006310
2.050000,0.006370
2.200000,0.006420
2.350000,0.006440
2.500000,0.006480
2.650000,0.006540
2.800000,0.006570
2.950000,0.006620
3.100000,0.006650
3.250000,0.006710
3.400000,0.006740
3.550000,0.006800
3.700000,0.006850
3.850000,0.006910
4.000000,0.006950
4.150000,0.007010
4.300000,0.007050
4.450000,0.007120
4.600000,0.007170
4.750000,0.007210
4.900000,0.007280
5.050000,0.007330
5.200000,0.007390
5.350000,0.007460
5.500000,0.007510
5.650000,0.007570
5.800000,0.007650
5.950000,0.007700
6.100000,0.007780
6.250000,0.007860
6.400000,0.007920
6.550000,0.007980
6.700000,0.008070
6.850000,0.008160
7.000000,0.008240
7.150000,0.008320
7.300000,0.008410
7.450000,0.008520
7.600000,0.008610
7.750000,0.008710
7.900000,0.008810
8.050000,0.008920
8.200000,0.009050
8.350000,0.009180
8.500000,0.009290
8.650000,0.009410
8.800000,0.009540
8.950000,0.009680
9.100000,0.009830
9.250000,0.010000
9.400000,0.010160
9.550000,0.010310
9.700000,0.010460
10.000000,0.010820
10.150000,0.011020
10.300000,0.011220
10.450000,0.011430
10.600000,0.011610
10.750000,0.011800
10.900000,0.011970
11.050000,0.012160
11.200000,0.012350
11.350000,0.012560
11.500000,0.012770
11.650000,0.012990
11.800000,0.013230
11.950000,0.013470
12.100000,0.013720
12.250000,0.013960
12.400000,0.014190
12.550000,0.014430
12.700000,0.014680
12.850000,0.014940
13.000000,0.015210
13.150000,0.015490
13.300000,0.015780
13.450000,0.016080
13.600000,0.016400
13.750000,0.016730
13.900000,0.017070
14.050000,0.017420
14.200000,0.017790
14.350000,0.018180
14.500000,0.018570
14.650000,0.018930
14.800000,0.019310
14.950000,0.019730
15.100000,0.020170
15.250000,0.020640
15.400000,0.021140
15.550000,0.021690
15.700000,0.022280
15.850000,0.022910
16.000000,0.023590
16.150000,0.024340
16.300000,0.025140
16.450000,0.026030
16.600000,0.026990
16.750000,0.028030
16.900000,0.029180
17.050000,0.030420
17.200000,0.031800
17.350000,0.033300
17.500000,0.034930
17.650000,0.036720
17.800000,0.038700
17.950000,0.040830
18.100000,0.043190
18.250000,0.045760
18.400000,0.048560
18.550000,0.051630
18.700000,0.054970
18.850000,0.058530
19.000000,0.062510
19.150000,0.066750
19.300000,0.071370
19.450000,0.076350
19.600000,0.081740
19.750000,0.087520
19.900000,0.093820
20.050000,0.100280
20.200000,0.107460
20.350000,0.114900
20.500000,0.122880
20.650000,0.130630
20.800000,0.139890
20.950000,0.148250
21.100000,0.156480
21.250000,0.164470
21.400000,0.172290
21.550000,0.179610
21.700000,0.184830
21.850000,0.191450
22.000000,0.197450
22.150000,0.201920
22.300000,0.207160
22.450000,0.211500
22.600000,0.215230
22.750000,0.220480
22.900000,0.224050
23.050000,0.229030
