alpha,cl
-5.000000,-0.574700
-4.850000,-0.557500
-4.700000,-0.540500
-4.550000,-0.523200
-4.400000,-0.506100
-4.250000,-0.488900
-4.100000,-0.471700
-3.950000,-0.454500
-3.800000,-0.437300
-3.650000,-0.420200
-3.500000,-0.402800
-3.350000,-0.385700
-3.200000,-0.368400
-3.050000,-0.351300
-2.900000,-0.334000
-2.750000,-0.316700
-2.600000,-0.299600
-2.450000,-0.282300
-2.300000,-0.265100
-2.150000,-0.247800
-2.000000,-0.230500
-1.850000,-0.213300
-1.700000,-0.195900
-1.550000,-0.178700
-1.400000,-0.161400
-1.250000,-0.144100
-1.100000,-0.126800
-0.950000,-0.109600
-0.800000,-0.092300
-0.650000,-0.075000
-0.500000,-0.057700
-0.350000,-0.040400
-0.200000,-0.023100
-0.050000,-0.005800
0.100000,0.011600
0.250000,0.028800
0.400000,0.046200
0.550000,0.063500
0.700000,0.080700
0.850000,0.098100
1.000000,0.115400
1.150000,0.132700
1.300000,0.150000
1.450000,0.167200
1.600000,0.184500
1.750000,0.201700
2.050000,0.236300
2.200000,0.253500
2.350000,0.270800
2.500000,0.288100
2.650000,0.305300
2.800000,0.322600
2.950000,0.339700
3.100000,0.357100
3.250000,0.374200
3.400000,0.391500
3.550000,0.408600
3.700000,0.426000
3.850000,0.443100
4.000000,0.460300
4.150000,0.477400
4.300000,0.494800
4.450000,0.511800
4.600000,0.529000
4.750000,0.546200
4.900000,0.563300
5.050000,0.580500
5.200000,0.597500
5.350000,0.614600
5.500000,0.631800
5.650000,0.648800
5.800000,0.665700
5.950000,0.682800
6.100000,0.699800
6.250000,0.716700
6.400000,0.733700
6.550000,0.750600
6.700000,0.767500
6.850000,0.784100
7.000000,0.800900
7.150000,0.817700
7.300000,0.834200
7.450000,0.850800
7.600000,0.867200
7.750000,0.883800
7.900000,0.900100
8.050000,0.916400
8.200000,0.932300
8.350000,0.948500
8.500000,0.964500
8.650000,0.980800
8.800000,0.997100
8.950000,1.013600
9.100000,1.030100
9.250000,1.048100
9.400000,1.066100
9.550000,1.083900
9.700000,1.101100
10.000000,1.138600
10.150000,1.157100
10.300000,1.175500
10.450000,1.193800
10.600000,1.212000
10.750000,1.228900
10.900000,1.243300
11.050000,1.258000
11.200000,1.272800
11.350000,1.287700
11.500000,1.302500
11.650000,1.317300
11.800000,1.332100
11.950000,1.346700
12.100000,1.361300
12.250000,1.376000
12.400000,1.390700
12.550000,1.405300
12.700000,1.419800
12.850000,1.434100
13.000000,1.448200
13.150000,1.462100
13.300000,1.475800
13.450000,1.489200
13.600000,1.502300
13.750000,1.515100
13.900000,1.527600
14.050000,1.539700
14.200000,1.551400
14.350000,1.562600
14.500000,1.573000
14.650000,1.582200
14.800000,1.590700
14.950000,1.598900
15.100000,1.606900
15.250000,1.614700
15.400000,1.622100
15.550000,1.629200
15.700000,1.635900
15.850000,1.642200
16.000000,1.648200
16.150000,1.653700
16.300000,1.658700
16.450000,1.663300
16.600000,1.667300
16.750000,1.670800
16.900000,1.673800
17.050000,1.676200
17.200000,1.677700
17.350000,1.678700
17.500000,1.679000
17.650000,1.678300
17.800000,1.676400
17.950000,1.673800
18.100000,1.669900
18.250000,1.664600
18.400000,1.657800
18.550000,1.649500
18.700000,1.639500
18.850000,1.628000
19.000000,1.613900
19.150000,1.598400
19.300000,1.580500
19.450000,1.560300
19.600000,1.537900
19.750000,1.513200
19.900000,1.485400
20.050000,1.457400
20.200000,1.425300
20.350000,1.392200
20.500000,1.357300
20.650000,1.324600
20.800000,1.284700
20.950000,1.251800
21.100000,1.221100
21.250000,1.192900
21.400000,1.167400
21.550000,1.145700
21.700000,1.134400
21.850000,1.117600
22.000000,1.103900
22.150000,1.097200
22.300000,1.087800
22.450000,1.082400
22.600000,1.079500
22.750000,1.071600
22.900000,1.069700
23.050000,1.063500
