  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     4.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5747   0.00731   0.00214  -0.0006   0.7193   0.0466
  -4.850  -0.5575   0.00726   0.00207  -0.0005   0.7064   0.0494
  -4.700  -0.5405   0.00720   0.00200  -0.0005   0.6931   0.0526
  -4.550  -0.5232   0.00715   0.00193  -0.0004   0.6810   0.0548
  -4.400  -0.5061   0.00709   0.00186  -0.0004   0.6683   0.0595
  -4.250  -0.4889   0.00704   0.00179  -0.0003   0.6553   0.0634
  -4.100  -0.4717   0.00700   0.00173  -0.0003   0.6429   0.0674
  -3.950  -0.4545   0.00693   0.00167  -0.0002   0.6317   0.0726
  -3.800  -0.4373   0.00688   0.00161  -0.0002   0.6196   0.0779
  -3.650  -0.4202   0.00683   0.00155  -0.0001   0.6068   0.0835
  -3.500  -0.4028   0.00680   0.00150  -0.0001   0.5942   0.0879
  -3.350  -0.3857   0.00673   0.00144  -0.0001   0.5821   0.0957
  -3.200  -0.3684   0.00670   0.00139  -0.0001   0.5696   0.1015
  -3.050  -0.3513   0.00664   0.00134  -0.0000   0.5578   0.1100
  -2.900  -0.3340   0.00660   0.00130  -0.0000   0.5458   0.1171
  -2.750  -0.3167   0.00656   0.00125  -0.0000   0.5351   0.1240
  -2.600  -0.2996   0.00651   0.00121   0.0000   0.5235   0.1337
  -2.450  -0.2823   0.00649   0.00117   0.0000   0.5104   0.1405
  -2.300  -0.2651   0.00642   0.00113   0.0000   0.5000   0.1521
  -2.150  -0.2478   0.00639   0.00109   0.0001   0.4873   0.1613
  -2.000  -0.2305   0.00636   0.00106   0.0001   0.4761   0.1702
  -1.850  -0.2133   0.00632   0.00103   0.0001   0.4648   0.1812
  -1.700  -0.1959   0.00628   0.00100   0.0001   0.4544   0.1915
  -1.550  -0.1787   0.00626   0.00098   0.0001   0.4419   0.2018
  -1.400  -0.1614   0.00623   0.00095   0.0001   0.4303   0.2136
  -1.250  -0.1441   0.00620   0.00093   0.0001   0.4189   0.2246
  -1.100  -0.1268   0.00619   0.00091   0.0001   0.4064   0.2351
  -0.950  -0.1096   0.00617   0.00090   0.0001   0.3943   0.2476
  -0.800  -0.0923   0.00614   0.00088   0.0000   0.3835   0.2592
  -0.650  -0.0750   0.00612   0.00087   0.0000   0.3728   0.2713
  -0.500  -0.0577   0.00612   0.00086   0.0000   0.3602   0.2823
  -0.350  -0.0404   0.00611   0.00085   0.0000   0.3483   0.2942
  -0.200  -0.0231   0.00609   0.00085   0.0000   0.3382   0.3066
  -0.050  -0.0058   0.00610   0.00085   0.0000   0.3253   0.3179
   0.100   0.0116   0.00610   0.00085  -0.0000   0.3136   0.3289
   0.250   0.0288   0.00610   0.00085  -0.0000   0.3014   0.3425
   0.400   0.0462   0.00610   0.00085  -0.0000   0.2907   0.3526
   0.550   0.0635   0.00612   0.00086  -0.0000   0.2783   0.3640
   0.700   0.0807   0.00615   0.00088  -0.0000   0.2649   0.3748
   0.850   0.0981   0.00614   0.00088  -0.0001   0.2554   0.3883
   1.000   0.1154   0.00615   0.00090  -0.0001   0.2449   0.4012
   1.150   0.1327   0.00620   0.00092  -0.0001   0.2315   0.4103
   1.300   0.1500   0.00621   0.00094  -0.0001   0.2219   0.4232
   1.450   0.1672   0.00623   0.00096  -0.0001   0.2098   0.4341
   1.600   0.1845   0.00627   0.00098  -0.0001   0.1992   0.4455
   1.750   0.2017   0.00631   0.00101  -0.0001   0.1863   0.4570
   2.050   0.2363   0.00637   0.00107  -0.0001   0.1680   0.4798
   2.200   0.2535   0.00642   0.00111  -0.0001   0.1567   0.4914
   2.350   0.2708   0.00644   0.00114  -0.0000   0.1488   0.5036
   2.500   0.2881   0.00648   0.00118  -0.0000   0.1391   0.5149
   2.650   0.3053   0.00654   0.00123  -0.0000   0.1296   0.5262
   2.800   0.3226   0.00657   0.00126  -0.0000   0.1224   0.5388
   2.950   0.3397   0.00662   0.00131   0.0000   0.1136   0.5503
   3.100   0.3571   0.00665   0.00136   0.0000   0.1076   0.5616
   3.250   0.3742   0.00671   0.00141   0.0001   0.0988   0.5743
   3.400   0.3915   0.00674   0.00146   0.0001   0.0943   0.5873
   3.550   0.4086   0.00680   0.00152   0.0001   0.0861   0.5992
   3.700   0.4260   0.00685   0.00157   0.0001   0.0819   0.6102
   3.850   0.4431   0.00691   0.00163   0.0002   0.0748   0.6227
   4.000   0.4603   0.00695   0.00169   0.0002   0.0710   0.6348
   4.150   0.4774   0.00701   0.00176   0.0003   0.0655   0.6471
   4.300   0.4948   0.00705   0.00181   0.0003   0.0627   0.6595
   4.450   0.5118   0.00712   0.00188   0.0004   0.0579   0.6721
   4.600   0.5290   0.00717   0.00195   0.0004   0.0543   0.6851
   4.750   0.5462   0.00721   0.00202   0.0005   0.0517   0.6976
   4.900   0.5633   0.00728   0.00210   0.0006   0.0481   0.7103
   5.050   0.5805   0.00733   0.00217   0.0006   0.0459   0.7234
   5.200   0.5975   0.00739   0.00225   0.0007   0.0428   0.7365
   5.350   0.6146   0.00746   0.00233   0.0008   0.0400   0.7484
   5.500   0.6318   0.00751   0.00241   0.0009   0.0387   0.7610
   5.650   0.6488   0.00757   0.00249   0.0009   0.0368   0.7743
   5.800   0.6657   0.00765   0.00259   0.0011   0.0340   0.7869
   5.950   0.6828   0.00770   0.00267   0.0012   0.0329   0.7992
   6.100   0.6998   0.00778   0.00276   0.0013   0.0313   0.8110
   6.250   0.7167   0.00786   0.00286   0.0014   0.0295   0.8235
   6.400   0.7337   0.00792   0.00295   0.0016   0.0284   0.8354
   6.550   0.7506   0.00798   0.00305   0.0017   0.0275   0.8472
   6.700   0.7675   0.00807   0.00315   0.0018   0.0264   0.8585
   6.850   0.7841   0.00816   0.00326   0.0020   0.0248   0.8702
   7.000   0.8009   0.00824   0.00337   0.0022   0.0239   0.8804
   7.150   0.8177   0.00832   0.00347   0.0024   0.0231   0.8906
   7.300   0.8342   0.00841   0.00359   0.0027   0.0222   0.9012
   7.450   0.8508   0.00852   0.00371   0.0029   0.0212   0.9099
   7.600   0.8672   0.00861   0.00383   0.0031   0.0203   0.9195
   7.750   0.8838   0.00871   0.00395   0.0034   0.0199   0.9273
   7.900   0.9001   0.00881   0.00407   0.0037   0.0192   0.9360
   8.050   0.9164   0.00892   0.00419   0.0040   0.0185   0.9430
   8.200   0.9323   0.00905   0.00434   0.0044   0.0176   0.9509
   8.350   0.9485   0.00918   0.00447   0.0047   0.0169   0.9570
   8.500   0.9645   0.00929   0.00460   0.0051   0.0166   0.9637
   8.650   0.9808   0.00941   0.00473   0.0054   0.0162   0.9691
   8.800   0.9971   0.00954   0.00487   0.0057   0.0158   0.9739
   8.950   1.0136   0.00968   0.00501   0.0059   0.0153   0.9788
   9.100   1.0301   0.00983   0.00517   0.0062   0.0148   0.9827
   9.250   1.0481   0.01000   0.00534   0.0061   0.0142   0.9856
   9.400   1.0661   0.01016   0.00550   0.0060   0.0138   0.9884
   9.550   1.0839   0.01031   0.00565   0.0060   0.0136   0.9911
   9.700   1.1011   0.01046   0.00581   0.0061   0.0134   0.9934
  10.000   1.1386   0.01082   0.00617   0.0056   0.0125   0.9957
  10.150   1.1571   0.01102   0.00637   0.0053   0.0121   0.9968
  10.300   1.1755   0.01122   0.00657   0.0052   0.0117   0.9978
  10.450   1.1938   0.01143   0.00678   0.0050   0.0113   0.9988
  10.600   1.2120   0.01161   0.00698   0.0048   0.0111   0.9996
  10.750   1.2289   0.01180   0.00717   0.0050   0.0110   1.0000
  10.900   1.2433   0.01197   0.00736   0.0057   0.0108   1.0000
  11.050   1.2580   0.01216   0.00755   0.0063   0.0106   1.0000
  11.200   1.2728   0.01235   0.00775   0.0069   0.0104   1.0000
  11.350   1.2877   0.01256   0.00797   0.0074   0.0102   1.0000
  11.500   1.3025   0.01277   0.00819   0.0080   0.0100   1.0000
  11.650   1.3173   0.01299   0.00842   0.0086   0.0097   1.0000
  11.800   1.3321   0.01323   0.00866   0.0091   0.0095   1.0000
  11.950   1.3467   0.01347   0.00892   0.0097   0.0092   1.0000
  12.100   1.3613   0.01372   0.00918   0.0103   0.0090   1.0000
  12.250   1.3760   0.01396   0.00944   0.0108   0.0088   1.0000
  12.400   1.3907   0.01419   0.00969   0.0114   0.0088   1.0000
  12.550   1.4053   0.01443   0.00994   0.0120   0.0087   1.0000
  12.700   1.4198   0.01468   0.01021   0.0126   0.0086   1.0000
  12.850   1.4341   0.01494   0.01048   0.0132   0.0084   1.0000
  13.000   1.4482   0.01521   0.01077   0.0138   0.0083   1.0000
