alpha,cl,cd,cm,ld,re,ncrit
-5.000000,-0.567000,0.007780,-0.002000,-72.879177,2500000.000000,5.000000
-4.850000,-0.550200,0.007700,-0.001900,-71.454545,2500000.000000,5.000000
-4.700000,-0.533400,0.007630,-0.001700,-69.908257,2500000.000000,5.000000
-4.550000,-0.516600,0.007550,-0.001600,-68.423841,2500000.000000,5.000000
-4.400000,-0.499700,0.007500,-0.001500,-66.626667,2500000.000000,5.000000
-4.250000,-0.483000,0.007410,-0.001300,-65.182186,2500000.000000,5.000000
-4.100000,-0.466000,0.007360,-0.001300,-63.315217,2500000.000000,5.000000
-3.950000,-0.449200,0.007290,-0.001100,-61.618656,2500000.000000,5.000000
-3.800000,-0.432200,0.007240,-0.001100,-59.696133,2500000.000000,5.000000
-3.650000,-0.415400,0.007170,-0.001000,-57.935844,2500000.000000,5.000000
-3.500000,-0.398400,0.007100,-0.000900,-56.112676,2500000.000000,5.000000
-3.350000,-0.381400,0.007050,-0.000800,-54.099291,2500000.000000,5.000000
-3.200000,-0.364500,0.006980,-0.000700,-52.220630,2500000.000000,5.000000
-3.050000,-0.347400,0.006940,-0.000700,-50.057637,2500000.000000,5.000000
-2.900000,-0.330500,0.006880,-0.000600,-48.037791,2500000.000000,5.000000
-2.750000,-0.313600,0.006810,-0.000500,-46.049927,2500000.000000,5.000000
-2.600000,-0.296600,0.006760,-0.000500,-43.875740,2500000.000000,5.000000
-2.450000,-0.279400,0.006720,-0.000400,-41.577381,2500000.000000,5.000000
-2.300000,-0.262500,0.006670,-0.000400,-39.355322,2500000.000000,5.000000
-2.150000,-0.245500,0.006620,-0.000300,-37.084592,2500000.000000,5.000000
-2.000000,-0.228400,0.006570,-0.000300,-34.764079,2500000.000000,5.000000
-1.850000,-0.211300,0.006530,-0.000300,-32.358346,2500000.000000,5.000000
-1.700000,-0.194200,0.006500,-0.000200,-29.876923,2500000.000000,5.000000
-1.550000,-0.177200,0.006460,-0.000200,-27.430341,2500000.000000,5.000000
-1.400000,-0.160100,0.006420,-0.000200,-24.937695,2500000.000000,5.000000
-1.250000,-0.142900,0.006390,-0.000100,-22.363067,2500000.000000,5.000000
-1.100000,-0.125800,0.006360,-0.000100,-19.779874,2500000.000000,5.000000
-0.950000,-0.108600,0.006350,-0.000100,-17.102362,2500000.000000,5.000000
-0.800000,-0.091500,0.006320,-0.000100,-14.477848,2500000.000000,5.000000
-0.650000,-0.074300,0.006300,-0.000100,-11.793651,2500000.000000,5.000000
-0.500000,-0.057200,0.006290,-0.000100,-9.093800,2500000.000000,5.000000
-0.350000,-0.040000,0.006290,-0.000000,-6.359300,2500000.000000,5.000000
-0.050000,-0.005700,0.006270,-0.000000,-0.909091,2500000.000000,5.000000
0.100000,0.011500,0.006270,0.000000,1.834131,2500000.000000,5.000000
0.250000,0.028700,0.006280,0.000000,4.570064,2500000.000000,5.000000
0.400000,0.045700,0.006290,0.000000,7.265501,2500000.000000,5.000000
0.550000,0.063000,0.006300,0.000000,10.000000,2500000.000000,5.000000
0.700000,0.080100,0.006310,0.000100,12.694136,2500000.000000,5.000000
0.850000,0.097300,0.006320,0.000100,15.395570,2500000.000000,5.000000
1.000000,0.114400,0.006350,0.000100,18.015748,2500000.000000,5.000000
1.150000,0.131500,0.006380,0.000100,20.611285,2500000.000000,5.000000
1.300000,0.148600,0.006410,0.000200,23.182527,2500000.000000,5.000000
1.450000,0.165800,0.006430,0.000200,25.785381,2500000.000000,5.000000
1.600000,0.182900,0.006470,0.000200,28.268934,2500000.000000,5.000000
1.750000,0.200000,0.006510,0.000200,30.721966,2500000.000000,5.000000
1.900000,0.217000,0.006550,0.000300,33.129771,2500000.000000,5.000000
2.050000,0.234100,0.006590,0.000300,35.523520,2500000.000000,5.000000
2.200000,0.251200,0.006630,0.000400,37.888386,2500000.000000,5.000000
2.350000,0.268200,0.006680,0.000400,40.149701,2500000.000000,5.000000
2.500000,0.285200,0.006740,0.000400,42.314540,2500000.000000,5.000000
2.650000,0.302200,0.006790,0.000500,44.506627,2500000.000000,5.000000
2.800000,0.319200,0.006830,0.000600,46.734993,2500000.000000,5.000000
2.950000,0.336200,0.006880,0.000600,48.866279,2500000.000000,5.000000
3.100000,0.353200,0.006960,0.000700,50.747126,2500000.000000,5.000000
3.250000,0.370200,0.007000,0.000700,52.885714,2500000.000000,5.000000
3.400000,0.387200,0.007060,0.000800,54.844193,2500000.000000,5.000000
3.550000,0.404000,0.007140,0.000900,56.582633,2500000.000000,5.000000
3.700000,0.421100,0.007180,0.001000,58.649025,2500000.000000,5.000000
3.850000,0.437900,0.007260,0.001100,60.316804,2500000.000000,5.000000
4.000000,0.454900,0.007310,0.001200,62.229822,2500000.000000,5.000000
4.150000,0.471700,0.007380,0.001300,63.915989,2500000.000000,5.000000
4.300000,0.488600,0.007440,0.001400,65.672043,2500000.000000,5.000000
4.450000,0.505400,0.007520,0.001500,67.207447,2500000.000000,5.000000
4.600000,0.522300,0.007570,0.001600,68.996037,2500000.000000,5.000000
4.750000,0.539000,0.007660,0.001800,70.365535,2500000.000000,5.000000
4.900000,0.555800,0.007720,0.001900,71.994819,2500000.000000,5.000000
5.050000,0.572500,0.007800,0.002100,73.397436,2500000.000000,5.000000
5.200000,0.589400,0.007870,0.002200,74.891995,2500000.000000,5.000000
5.350000,0.606000,0.007940,0.002400,76.322418,2500000.000000,5.000000
5.500000,0.622500,0.008040,0.002600,77.425373,2500000.000000,5.000000
5.650000,0.639300,0.008110,0.002800,78.828607,2500000.000000,5.000000
5.800000,0.655800,0.008200,0.003000,79.975610,2500000.000000,5.000000
5.950000,0.672300,0.008290,0.003200,81.097708,2500000.000000,5.000000
6.100000,0.688800,0.008370,0.003500,82.293907,2500000.000000,5.000000
6.250000,0.705100,0.008480,0.003700,83.148585,2500000.000000,5.000000
6.400000,0.721500,0.008590,0.004000,83.993015,2500000.000000,5.000000
6.550000,0.737700,0.008680,0.004300,84.988479,2500000.000000,5.000000
6.700000,0.754100,0.008780,0.004600,85.888383,2500000.000000,5.000000
6.850000,0.770100,0.008910,0.004900,86.430976,2500000.000000,5.000000
7.000000,0.786300,0.009020,0.005200,87.172949,2500000.000000,5.000000
7.150000,0.802800,0.009130,0.005500,87.929901,2500000.000000,5.000000
7.300000,0.819100,0.009260,0.005800,88.455724,2500000.000000,5.000000
7.450000,0.835500,0.009400,0.006000,88.882979,2500000.000000,5.000000
7.600000,0.852700,0.009540,0.006100,89.381551,2500000.000000,5.000000
7.750000,0.870200,0.009670,0.006100,89.989659,2500000.000000,5.000000
7.900000,0.887400,0.009820,0.006200,90.366599,2500000.000000,5.000000
8.050000,0.905300,0.009970,0.006100,90.802407,2500000.000000,5.000000
8.200000,0.924100,0.010150,0.005800,91.044335,2500000.000000,5.000000
8.350000,0.942700,0.010310,0.005600,91.435500,2500000.000000,5.000000
8.500000,0.960900,0.010460,0.005400,91.864245,2500000.000000,5.000000
8.650000,0.978500,0.010630,0.005400,92.050800,2500000.000000,5.000000
8.800000,0.997200,0.010810,0.005100,92.247919,2500000.000000,5.000000
8.950000,1.016400,0.011010,0.004700,92.316076,2500000.000000,5.000000
9.100000,1.035600,0.011200,0.004300,92.464286,2500000.000000,5.000000
9.250000,1.054800,0.011370,0.004000,92.770449,2500000.000000,5.000000
9.400000,1.073700,0.011560,0.003700,92.880623,2500000.000000,5.000000
9.550000,1.092400,0.011760,0.003400,92.891156,2500000.000000,5.000000
9.700000,1.111000,0.011960,0.003100,92.892977,2500000.000000,5.000000
9.850000,1.127000,0.012170,0.003400,92.604766,2500000.000000,5.000000
10.000000,1.140600,0.012370,0.004200,92.206952,2500000.000000,5.000000
