  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     2.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5670   0.00778   0.00243  -0.0020   0.8247   0.0583
  -4.850  -0.5502   0.00770   0.00234  -0.0019   0.8124   0.0622
  -4.700  -0.5334   0.00763   0.00226  -0.0017   0.7998   0.0667
  -4.550  -0.5166   0.00755   0.00217  -0.0016   0.7873   0.0719
  -4.400  -0.4997   0.00750   0.00209  -0.0015   0.7742   0.0760
  -4.250  -0.4830   0.00741   0.00200  -0.0013   0.7610   0.0831
  -4.100  -0.4660   0.00736   0.00194  -0.0013   0.7479   0.0878
  -3.950  -0.4492   0.00729   0.00186  -0.0011   0.7346   0.0950
  -3.800  -0.4322   0.00724   0.00179  -0.0011   0.7216   0.1011
  -3.650  -0.4154   0.00717   0.00171  -0.0010   0.7078   0.1097
  -3.500  -0.3984   0.00710   0.00165  -0.0009   0.6949   0.1174
  -3.350  -0.3814   0.00705   0.00159  -0.0008   0.6818   0.1258
  -3.200  -0.3645   0.00698   0.00153  -0.0007   0.6695   0.1353
  -3.050  -0.3474   0.00694   0.00147  -0.0007   0.6561   0.1438
  -2.900  -0.3305   0.00688   0.00141  -0.0006   0.6428   0.1543
  -2.750  -0.3136   0.00681   0.00136  -0.0005   0.6291   0.1660
  -2.600  -0.2966   0.00676   0.00131  -0.0005   0.6156   0.1765
  -2.450  -0.2794   0.00672   0.00127  -0.0004   0.6032   0.1864
  -2.300  -0.2625   0.00667   0.00122  -0.0004   0.5902   0.1994
  -2.150  -0.2455   0.00662   0.00118  -0.0003   0.5770   0.2108
  -2.000  -0.2284   0.00657   0.00114  -0.0003   0.5647   0.2226
  -1.850  -0.2113   0.00653   0.00111  -0.0003   0.5518   0.2352
  -1.700  -0.1942   0.00650   0.00108  -0.0002   0.5392   0.2475
  -1.550  -0.1772   0.00646   0.00105  -0.0002   0.5258   0.2611
  -1.400  -0.1601   0.00642   0.00102  -0.0002   0.5135   0.2744
  -1.250  -0.1429   0.00639   0.00099  -0.0001   0.5010   0.2869
  -1.100  -0.1258   0.00636   0.00097  -0.0001   0.4894   0.3003
  -0.950  -0.1086   0.00635   0.00096  -0.0001   0.4762   0.3121
  -0.800  -0.0915   0.00632   0.00094  -0.0001   0.4634   0.3263
  -0.650  -0.0743   0.00630   0.00093  -0.0001   0.4507   0.3393
  -0.500  -0.0572   0.00629   0.00092  -0.0001   0.4375   0.3520
  -0.350  -0.0400   0.00629   0.00091  -0.0000   0.4248   0.3644
  -0.050  -0.0057   0.00627   0.00090  -0.0000   0.3991   0.3907
   0.100   0.0115   0.00627   0.00090   0.0000   0.3867   0.4037
   0.250   0.0287   0.00628   0.00091   0.0000   0.3747   0.4156
   0.400   0.0457   0.00629   0.00091   0.0000   0.3603   0.4296
   0.550   0.0630   0.00630   0.00092   0.0000   0.3479   0.4417
   0.700   0.0801   0.00631   0.00093   0.0001   0.3348   0.4550
   0.850   0.0973   0.00632   0.00094   0.0001   0.3224   0.4674
   1.000   0.1144   0.00635   0.00096   0.0001   0.3086   0.4797
   1.150   0.1315   0.00638   0.00098   0.0001   0.2954   0.4924
   1.300   0.1486   0.00641   0.00100   0.0002   0.2817   0.5051
   1.450   0.1658   0.00643   0.00103   0.0002   0.2698   0.5186
   1.600   0.1829   0.00647   0.00105   0.0002   0.2568   0.5303
   1.750   0.2000   0.00651   0.00109   0.0002   0.2442   0.5429
   1.900   0.2170   0.00655   0.00112   0.0003   0.2308   0.5558
   2.050   0.2341   0.00659   0.00115   0.0003   0.2191   0.5693
   2.200   0.2512   0.00663   0.00119   0.0004   0.2070   0.5816
   2.350   0.2682   0.00668   0.00123   0.0004   0.1958   0.5942
   2.500   0.2852   0.00674   0.00128   0.0004   0.1834   0.6073
   2.650   0.3022   0.00679   0.00133   0.0005   0.1717   0.6212
   2.800   0.3192   0.00683   0.00138   0.0006   0.1619   0.6341
   2.950   0.3362   0.00688   0.00143   0.0006   0.1519   0.6471
   3.100   0.3532   0.00696   0.00149   0.0007   0.1401   0.6593
   3.250   0.3702   0.00700   0.00155   0.0007   0.1322   0.6729
   3.400   0.3872   0.00706   0.00161   0.0008   0.1233   0.6860
   3.550   0.4040   0.00714   0.00168   0.0009   0.1134   0.6990
   3.700   0.4211   0.00718   0.00174   0.0010   0.1073   0.7120
   3.850   0.4379   0.00726   0.00181   0.0011   0.0987   0.7259
   4.000   0.4549   0.00731   0.00188   0.0012   0.0928   0.7392
   4.150   0.4717   0.00738   0.00196   0.0013   0.0859   0.7527
   4.300   0.4886   0.00744   0.00203   0.0014   0.0806   0.7657
   4.450   0.5054   0.00752   0.00212   0.0015   0.0742   0.7782
   4.600   0.5223   0.00757   0.00219   0.0016   0.0704   0.7913
