alpha,cd
-5.000000,0.007030
-4.850000,0.006980
-4.700000,0.006920
-4.550000,0.006880
-4.400000,0.006840
-4.250000,0.006780
-4.100000,0.006740
-3.950000,0.006690
-3.800000,0.006660
-3.650000,0.006600
-3.500000,0.006560
-3.350000,0.006540
-3.200000,0.006470
-3.050000,0.006450
-2.750000,0.006370
-2.600000,0.006320
-2.450000,0.006310
-2.300000,0.006260
-2.150000,0.006230
-2.000000,0.006190
-1.850000,0.006170
-1.700000,0.006150
-1.550000,0.006110
-1.400000,0.006090
-1.250000,0.006070
-0.950000,0.006040
-0.800000,0.006020
-0.500000,0.006000
-0.350000,0.005990
-0.050000,0.005980
0.100000,0.005990
0.250000,0.005980
0.400000,0.005980
0.550000,0.006000
0.700000,0.005990
0.850000,0.006020
1.000000,0.006050
1.150000,0.006060
1.300000,0.006070
1.450000,0.006100
1.600000,0.006120
1.750000,0.006140
1.900000,0.006190
2.200000,0.006250
2.500000,0.006310
2.650000,0.006340
2.800000,0.006380
2.950000,0.006420
3.100000,0.006460
3.250000,0.006490
3.400000,0.006540
3.550000,0.006570
3.700000,0.006630
3.850000,0.006660
4.000000,0.006710
4.150000,0.006750
4.300000,0.006800
4.450000,0.006860
4.600000,0.006890
4.750000,0.006940
4.900000,0.007010
5.050000,0.007040
5.200000,0.007090
5.350000,0.007160
5.500000,0.007200
5.650000,0.007260
5.800000,0.007330
5.950000,0.007380
6.100000,0.007430
6.250000,0.007490
6.400000,0.007570
6.550000,0.007630
6.700000,0.007690
6.850000,0.007770
7.000000,0.007840
7.150000,0.007910
7.300000,0.007980
7.450000,0.008060
7.600000,0.008150
7.750000,0.008240
7.900000,0.008320
8.050000,0.008400
8.200000,0.008490
8.350000,0.008580
8.500000,0.008700
8.650000,0.008810
8.800000,0.008910
8.950000,0.009010
9.100000,0.009110
9.250000,0.009230
9.400000,0.009360
9.550000,0.009500
9.700000,0.009650
9.850000,0.009790
10.000000,0.009930
10.150000,0.010070
10.300000,0.010220
10.450000,0.010380
10.600000,0.010550
10.750000,0.010730
10.900000,0.010930
11.050000,0.011130
11.200000,0.011330
11.350000,0.011530
11.500000,0.011710
11.650000,0.011890
11.800000,0.012070
11.950000,0.012270
12.100000,0.012460
12.250000,0.012670
12.400000,0.012890
12.550000,0.013130
12.700000,0.013370
12.850000,0.013620
13.000000,0.013880
13.150000,0.014140
13.300000,0.014400
13.450000,0.014660
13.600000,0.014920
13.750000,0.015180
13.900000,0.015450
14.050000,0.015730
14.200000,0.016020
14.350000,0.016320
14.500000,0.016630
14.650000,0.016960
14.800000,0.017290
14.950000,0.017640
15.100000,0.018000
15.250000,0.018370
15.400000,0.018760
15.550000,0.019190
15.700000,0.019650
15.850000,0.020140
16.000000,0.020670
16.150000,0.021240
16.300000,0.021870
16.450000,0.022540
16.600000,0.023250
16.750000,0.024040
16.900000,0.024890
17.050000,0.025770
17.200000,0.026720
17.350000,0.027730
17.500000,0.028850
17.650000,0.030050
17.800000,0.031390
17.950000,0.032810
18.100000,0.034390
18.250000,0.036100
18.400000,0.037980
18.550000,0.040010
18.700000,0.042250
18.850000,0.044660
19.000000,0.047290
19.150000,0.050170
19.300000,0.053310
19.450000,0.056650
19.600000,0.060390
19.750000,0.064350
19.900000,0.068760
20.050000,0.073490
20.200000,0.078510
20.350000,0.084240
20.500000,0.090000
20.650000,0.096630
20.800000,0.103680
20.950000,0.110910
21.100000,0.119200
21.250000,0.127180
21.400000,0.135200
21.550000,0.145420
21.700000,0.154060
21.850000,0.162650
22.000000,0.171350
22.150000,0.179750
22.300000,0.187680
22.600000,0.200110
22.750000,0.206540
22.900000,0.212860
23.050000,0.216570
