alpha,cl
-5.000000,-0.579200
-4.850000,-0.561900
-4.700000,-0.544700
-4.550000,-0.527200
-4.400000,-0.509900
-4.250000,-0.492600
-4.100000,-0.475200
-3.950000,-0.458000
-3.800000,-0.440600
-3.650000,-0.423200
-3.500000,-0.405900
-3.350000,-0.388400
-3.200000,-0.371100
-3.050000,-0.353600
-2.750000,-0.319000
-2.600000,-0.301600
-2.450000,-0.284100
-2.300000,-0.266800
-2.150000,-0.249400
-2.000000,-0.232000
-1.850000,-0.214600
-1.700000,-0.197200
-1.550000,-0.179900
-1.400000,-0.162400
-1.250000,-0.145000
-0.950000,-0.110100
-0.800000,-0.092900
-0.500000,-0.057900
-0.350000,-0.040600
-0.050000,-0.005700
0.100000,0.011600
0.250000,0.029000
0.400000,0.046500
0.550000,0.063800
0.700000,0.081300
0.850000,0.098700
1.000000,0.116100
1.150000,0.133400
1.300000,0.150900
1.450000,0.168200
1.600000,0.185600
1.750000,0.203100
1.900000,0.220400
2.200000,0.255200
2.500000,0.290000
2.650000,0.307500
2.800000,0.324800
2.950000,0.342200
3.100000,0.359500
3.250000,0.377000
3.400000,0.394200
3.550000,0.411700
3.700000,0.428900
3.850000,0.446400
4.000000,0.463700
4.150000,0.481100
4.300000,0.498400
4.450000,0.515700
4.600000,0.533100
4.750000,0.550400
4.900000,0.567700
5.050000,0.585000
5.200000,0.602300
5.350000,0.619500
5.500000,0.636800
5.650000,0.654000
5.800000,0.671200
5.950000,0.688500
6.100000,0.705800
6.250000,0.722900
6.400000,0.740000
6.550000,0.757200
6.700000,0.774400
6.850000,0.791400
7.000000,0.808400
7.150000,0.825500
7.300000,0.842600
7.450000,0.859500
7.600000,0.876400
7.750000,0.893200
7.900000,0.910100
8.050000,0.927000
8.200000,0.943800
8.350000,0.960400
8.500000,0.977000
8.650000,0.993400
8.800000,1.009900
8.950000,1.026400
9.100000,1.042700
9.250000,1.058900
9.400000,1.074900
9.550000,1.090600
9.700000,1.106700
9.850000,1.122300
10.000000,1.138700
10.150000,1.155800
10.300000,1.173200
10.450000,1.190500
10.600000,1.207600
10.750000,1.226300
10.900000,1.244700
11.050000,1.262800
11.200000,1.280700
11.350000,1.298500
11.500000,1.314300
11.650000,1.329500
11.800000,1.344900
11.950000,1.360200
12.100000,1.375500
12.250000,1.390700
12.400000,1.405700
12.550000,1.420600
12.700000,1.435400
12.850000,1.450100
13.000000,1.464600
13.150000,1.479000
13.300000,1.493400
13.450000,1.507700
13.600000,1.522000
13.750000,1.536100
13.900000,1.550000
14.050000,1.563700
14.200000,1.577100
14.350000,1.590300
14.500000,1.603200
14.650000,1.615600
14.800000,1.627800
14.950000,1.639200
15.100000,1.649700
15.250000,1.658300
15.400000,1.666300
15.550000,1.674100
15.700000,1.681500
15.850000,1.688800
16.000000,1.695700
16.150000,1.702200
16.300000,1.708100
16.450000,1.713800
16.600000,1.719300
16.750000,1.724200
16.900000,1.728700
17.050000,1.733300
17.200000,1.737500
17.350000,1.741600
17.500000,1.745000
17.650000,1.747800
17.800000,1.749700
17.950000,1.751300
18.100000,1.752000
18.250000,1.751900
18.400000,1.750600
18.550000,1.748600
18.700000,1.745300
18.850000,1.740900
19.000000,1.734900
19.150000,1.727400
19.300000,1.718400
19.450000,1.707900
19.600000,1.694800
19.750000,1.680500
19.900000,1.663400
20.050000,1.643900
20.200000,1.622900
20.350000,1.597700
20.500000,1.572200
20.650000,1.541600
20.800000,1.509100
20.950000,1.475600
21.100000,1.436900
21.250000,1.401400
21.400000,1.366400
21.550000,1.321000
21.700000,1.286500
21.850000,1.253500
22.000000,1.222100
22.150000,1.194200
22.300000,1.170100
22.600000,1.139400
22.750000,1.124500
22.900000,1.110900
23.050000,1.107900
