  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     7.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5792   0.00703   0.00198   0.0001   0.6363   0.0394
  -4.850  -0.5619   0.00698   0.00191   0.0001   0.6238   0.0419
  -4.700  -0.5447   0.00692   0.00185   0.0002   0.6127   0.0450
  -4.550  -0.5272   0.00688   0.00179   0.0002   0.6014   0.0467
  -4.400  -0.5099   0.00684   0.00173   0.0002   0.5901   0.0495
  -4.250  -0.4926   0.00678   0.00167   0.0002   0.5793   0.0528
  -4.100  -0.4752   0.00674   0.00162   0.0003   0.5676   0.0552
  -3.950  -0.4580   0.00669   0.00155   0.0003   0.5556   0.0608
  -3.800  -0.4406   0.00666   0.00151   0.0003   0.5427   0.0637
  -3.650  -0.4232   0.00660   0.00145   0.0003   0.5332   0.0692
  -3.500  -0.4059   0.00656   0.00140   0.0003   0.5224   0.0734
  -3.350  -0.3884   0.00654   0.00136   0.0003   0.5105   0.0768
  -3.200  -0.3711   0.00647   0.00131   0.0003   0.5015   0.0837
  -3.050  -0.3536   0.00645   0.00127   0.0003   0.4903   0.0875
  -2.750  -0.3190   0.00637   0.00119   0.0003   0.4678   0.1022
  -2.600  -0.3016   0.00632   0.00115   0.0003   0.4571   0.1093
  -2.450  -0.2841   0.00631   0.00112   0.0003   0.4460   0.1141
  -2.300  -0.2668   0.00626   0.00108   0.0003   0.4352   0.1235
  -2.150  -0.2494   0.00623   0.00105   0.0003   0.4257   0.1312
  -2.000  -0.2320   0.00619   0.00102   0.0003   0.4151   0.1392
  -1.850  -0.2146   0.00617   0.00099   0.0003   0.4051   0.1477
  -1.700  -0.1972   0.00615   0.00097   0.0002   0.3928   0.1550
  -1.550  -0.1799   0.00611   0.00094   0.0002   0.3821   0.1667
  -1.400  -0.1624   0.00609   0.00093   0.0002   0.3724   0.1747
  -1.250  -0.1450   0.00607   0.00091   0.0002   0.3609   0.1847
  -0.950  -0.1101   0.00604   0.00087   0.0001   0.3404   0.2035
  -0.800  -0.0929   0.00602   0.00086   0.0001   0.3278   0.2157
  -0.500  -0.0579   0.00600   0.00084   0.0001   0.3078   0.2342
  -0.350  -0.0406   0.00599   0.00083   0.0001   0.2955   0.2470
  -0.050  -0.0057   0.00598   0.00083  -0.0000   0.2761   0.2684
   0.100   0.0116   0.00599   0.00083  -0.0000   0.2632   0.2782
   0.250   0.0290   0.00598   0.00083  -0.0000   0.2540   0.2902
   0.400   0.0465   0.00598   0.00083  -0.0001   0.2448   0.3012
   0.550   0.0638   0.00600   0.00084  -0.0001   0.2316   0.3109
   0.700   0.0813   0.00599   0.00085  -0.0001   0.2247   0.3234
   0.850   0.0987   0.00602   0.00086  -0.0001   0.2127   0.3323
   1.000   0.1161   0.00605   0.00088  -0.0002   0.2003   0.3421
   1.150   0.1334   0.00606   0.00089  -0.0002   0.1913   0.3544
   1.300   0.1509   0.00607   0.00091  -0.0002   0.1824   0.3649
   1.450   0.1682   0.00610   0.00093  -0.0002   0.1710   0.3756
   1.600   0.1856   0.00612   0.00095  -0.0002   0.1631   0.3871
   1.750   0.2031   0.00614   0.00098  -0.0003   0.1544   0.3973
   1.900   0.2204   0.00619   0.00101  -0.0003   0.1437   0.4078
   2.200   0.2552   0.00625   0.00107  -0.0003   0.1263   0.4276
   2.500   0.2900   0.00631   0.00113  -0.0003   0.1121   0.4507
   2.650   0.3075   0.00634   0.00116  -0.0003   0.1074   0.4595
   2.800   0.3248   0.00638   0.00120  -0.0003   0.0986   0.4713
   2.950   0.3422   0.00642   0.00124  -0.0003   0.0935   0.4811
   3.100   0.3595   0.00646   0.00129  -0.0003   0.0859   0.4937
   3.250   0.3770   0.00649   0.00132  -0.0003   0.0824   0.5048
   3.400   0.3942   0.00654   0.00138  -0.0003   0.0749   0.5146
   3.550   0.4117   0.00657   0.00142  -0.0003   0.0723   0.5253
   3.700   0.4289   0.00663   0.00147  -0.0003   0.0657   0.5374
   3.850   0.4464   0.00666   0.00152  -0.0003   0.0628   0.5488
   4.000   0.4637   0.00671   0.00158  -0.0003   0.0592   0.5599
   4.150   0.4811   0.00675   0.00163  -0.0003   0.0551   0.5712
   4.300   0.4984   0.00680   0.00169  -0.0003   0.0521   0.5822
   4.450   0.5157   0.00686   0.00175  -0.0002   0.0482   0.5927
   4.600   0.5331   0.00689   0.00180  -0.0002   0.0463   0.6047
   4.750   0.5504   0.00694   0.00187  -0.0002   0.0438   0.6162
   4.900   0.5677   0.00701   0.00194  -0.0001   0.0401   0.6269
   5.050   0.5850   0.00704   0.00200  -0.0001   0.0389   0.6396
   5.200   0.6023   0.00709   0.00207  -0.0001   0.0370   0.6525
   5.350   0.6195   0.00716   0.00214   0.0000   0.0343   0.6637
   5.500   0.6368   0.00720   0.00221   0.0000   0.0330   0.6763
   5.650   0.6540   0.00726   0.00229   0.0001   0.0314   0.6884
   5.800   0.6712   0.00733   0.00237   0.0002   0.0293   0.7002
   5.950   0.6885   0.00738   0.00244   0.0002   0.0284   0.7117
   6.100   0.7058   0.00743   0.00252   0.0003   0.0275   0.7243
   6.250   0.7229   0.00749   0.00261   0.0004   0.0263   0.7373
   6.400   0.7400   0.00757   0.00270   0.0005   0.0245   0.7494
   6.550   0.7572   0.00763   0.00278   0.0006   0.0239   0.7614
   6.700   0.7744   0.00769   0.00287   0.0006   0.0230   0.7740
   6.850   0.7914   0.00777   0.00297   0.0008   0.0219   0.7866
