alpha,cl,cd,cm,ld,re,ncrit
-5.000000,-0.570900,0.007250,-0.001300,-78.744828,3600000.000000,6.000000
-4.850000,-0.554100,0.007170,-0.001200,-77.280335,3600000.000000,6.000000
-4.700000,-0.537000,0.007120,-0.001100,-75.421348,3600000.000000,6.000000
-4.550000,-0.520100,0.007050,-0.001000,-73.773050,3600000.000000,6.000000
-4.400000,-0.503100,0.006990,-0.000900,-71.974249,3600000.000000,6.000000
-4.250000,-0.486100,0.006920,-0.000800,-70.245665,3600000.000000,6.000000
-4.100000,-0.469000,0.006870,-0.000700,-68.267831,3600000.000000,6.000000
-3.950000,-0.452100,0.006800,-0.000700,-66.485294,3600000.000000,6.000000
-3.800000,-0.434900,0.006750,-0.000600,-64.429630,3600000.000000,6.000000
-3.650000,-0.417900,0.006680,-0.000500,-62.559880,3600000.000000,6.000000
-3.500000,-0.400800,0.006640,-0.000500,-60.361446,3600000.000000,6.000000
-3.350000,-0.383800,0.006570,-0.000400,-58.417047,3600000.000000,6.000000
-3.200000,-0.366700,0.006520,-0.000400,-56.242331,3600000.000000,6.000000
-3.050000,-0.349600,0.006480,-0.000300,-53.950617,3600000.000000,6.000000
-2.900000,-0.332500,0.006410,-0.000300,-51.872075,3600000.000000,6.000000
-2.750000,-0.315300,0.006370,-0.000200,-49.497645,3600000.000000,6.000000
-2.600000,-0.298200,0.006330,-0.000200,-47.109005,3600000.000000,6.000000
-2.450000,-0.281100,0.006270,-0.000200,-44.832536,3600000.000000,6.000000
-2.300000,-0.264000,0.006210,-0.000100,-42.512077,3600000.000000,6.000000
-2.150000,-0.246700,0.006180,-0.000100,-39.919094,3600000.000000,6.000000
-2.000000,-0.229600,0.006150,-0.000100,-37.333333,3600000.000000,6.000000
-1.850000,-0.212500,0.006100,-0.000100,-34.836066,3600000.000000,6.000000
-1.700000,-0.195300,0.006070,-0.000100,-32.174629,3600000.000000,6.000000
-1.550000,-0.178100,0.006030,-0.000000,-29.535655,3600000.000000,6.000000
-1.400000,-0.160800,0.006000,-0.000000,-26.800000,3600000.000000,6.000000
-1.250000,-0.143700,0.005980,-0.000000,-24.030100,3600000.000000,6.000000
-1.100000,-0.126500,0.005950,-0.000000,-21.260504,3600000.000000,6.000000
-0.950000,-0.109200,0.005920,-0.000000,-18.445946,3600000.000000,6.000000
-0.800000,-0.091900,0.005910,-0.000000,-15.549915,3600000.000000,6.000000
-0.650000,-0.074700,0.005900,-0.000000,-12.661017,3600000.000000,6.000000
-0.500000,-0.057500,0.005890,0.000000,-9.762309,3600000.000000,6.000000
-0.350000,-0.040200,0.005870,-0.000000,-6.848382,3600000.000000,6.000000
-0.200000,-0.023000,0.005850,0.000000,-3.931624,3600000.000000,6.000000
-0.050000,-0.005700,0.005860,-0.000000,-0.972696,3600000.000000,6.000000
0.100000,0.011500,0.005870,-0.000000,1.959114,3600000.000000,6.000000
0.250000,0.028800,0.005870,-0.000000,4.906303,3600000.000000,6.000000
0.400000,0.046000,0.005870,-0.000000,7.836457,3600000.000000,6.000000
0.550000,0.063300,0.005880,-0.000000,10.765306,3600000.000000,6.000000
0.700000,0.080500,0.005900,-0.000000,13.644068,3600000.000000,6.000000
1.000000,0.115000,0.005930,0.000000,19.392917,3600000.000000,6.000000
1.150000,0.132300,0.005950,0.000000,22.235294,3600000.000000,6.000000
1.300000,0.149500,0.005980,0.000000,25.000000,3600000.000000,6.000000
1.450000,0.166600,0.006020,0.000000,27.674419,3600000.000000,6.000000
1.600000,0.183800,0.006050,0.000000,30.380165,3600000.000000,6.000000
1.750000,0.201000,0.006080,0.000100,33.059211,3600000.000000,6.000000
1.900000,0.218300,0.006120,0.000100,35.669935,3600000.000000,6.000000
2.050000,0.235500,0.006150,0.000100,38.292683,3600000.000000,6.000000
2.200000,0.252500,0.006200,0.000100,40.725806,3600000.000000,6.000000
2.350000,0.269700,0.006240,0.000100,43.221154,3600000.000000,6.000000
2.500000,0.286800,0.006290,0.000200,45.596184,3600000.000000,6.000000
2.650000,0.304000,0.006340,0.000200,47.949527,3600000.000000,6.000000
2.800000,0.321000,0.006390,0.000300,50.234742,3600000.000000,6.000000
2.950000,0.338200,0.006430,0.000300,52.597201,3600000.000000,6.000000
3.100000,0.355300,0.006480,0.000300,54.830247,3600000.000000,6.000000
3.250000,0.372300,0.006550,0.000400,56.839695,3600000.000000,6.000000
3.400000,0.389600,0.006590,0.000400,59.119879,3600000.000000,6.000000
3.550000,0.406600,0.006650,0.000500,61.142857,3600000.000000,6.000000
3.700000,0.423600,0.006710,0.000600,63.129657,3600000.000000,6.000000
3.850000,0.440700,0.006760,0.000600,65.192308,3600000.000000,6.000000
4.000000,0.457700,0.006830,0.000700,67.013177,3600000.000000,6.000000
4.150000,0.474800,0.006890,0.000700,68.911466,3600000.000000,6.000000
4.300000,0.491700,0.006950,0.000800,70.748201,3600000.000000,6.000000
4.450000,0.508800,0.007000,0.000900,72.685714,3600000.000000,6.000000
4.600000,0.525800,0.007070,0.001000,74.370580,3600000.000000,6.000000
4.750000,0.542800,0.007140,0.001100,76.022409,3600000.000000,6.000000
4.900000,0.559700,0.007200,0.001200,77.736111,3600000.000000,6.000000
5.050000,0.576600,0.007270,0.001400,79.312242,3600000.000000,6.000000
5.200000,0.593600,0.007330,0.001500,80.982265,3600000.000000,6.000000
5.350000,0.610500,0.007410,0.001600,82.388664,3600000.000000,6.000000
5.500000,0.627300,0.007480,0.001800,83.863636,3600000.000000,6.000000
5.650000,0.644200,0.007550,0.001900,85.324503,3600000.000000,6.000000
5.800000,0.660900,0.007640,0.002100,86.505236,3600000.000000,6.000000
5.950000,0.677600,0.007710,0.002300,87.885863,3600000.000000,6.000000
6.100000,0.694400,0.007800,0.002400,89.025641,3600000.000000,6.000000
6.250000,0.710900,0.007890,0.002700,90.101394,3600000.000000,6.000000
6.400000,0.727600,0.007970,0.002900,91.292346,3600000.000000,6.000000
6.550000,0.744200,0.008060,0.003100,92.332506,3600000.000000,6.000000
6.700000,0.760600,0.008160,0.003400,93.210784,3600000.000000,6.000000
6.850000,0.777000,0.008270,0.003600,93.954051,3600000.000000,6.000000
7.000000,0.793400,0.008360,0.003900,94.904306,3600000.000000,6.000000
7.150000,0.809600,0.008470,0.004200,95.584416,3600000.000000,6.000000
7.300000,0.826000,0.008590,0.004500,96.158324,3600000.000000,6.000000
7.450000,0.841900,0.008710,0.004900,96.659013,3600000.000000,6.000000
7.600000,0.858400,0.008820,0.005100,97.324263,3600000.000000,6.000000
7.750000,0.875000,0.008940,0.005400,97.874720,3600000.000000,6.000000
7.900000,0.891800,0.009070,0.005600,98.324146,3600000.000000,6.000000
8.050000,0.908500,0.009220,0.005700,98.535792,3600000.000000,6.000000
8.200000,0.925800,0.009360,0.005800,98.910256,3600000.000000,6.000000
8.350000,0.944500,0.009490,0.005600,99.525817,3600000.000000,6.000000
8.500000,0.962900,0.009640,0.005400,99.885892,3600000.000000,6.000000
8.650000,0.980800,0.009800,0.005300,100.081633,3600000.000000,6.000000
8.800000,0.997900,0.009960,0.005400,100.190763,3600000.000000,6.000000
9.100000,1.036200,0.010290,0.004700,100.699708,3600000.000000,6.000000
9.250000,1.055500,0.010450,0.004300,101.004785,3600000.000000,6.000000
9.400000,1.074700,0.010630,0.004000,101.100659,3600000.000000,6.000000
9.550000,1.093600,0.010810,0.003700,101.165587,3600000.000000,6.000000
9.700000,1.112400,0.011000,0.003400,101.127273,3600000.000000,6.000000
