alpha,cl,cd,cm,ld,re,ncrit
-5.000000,-0.579200,0.007030,0.000100,-82.389758,7000000.000000,5.000000
-4.850000,-0.561900,0.006980,0.000100,-80.501433,7000000.000000,5.000000
-4.700000,-0.544700,0.006920,0.000200,-78.713873,7000000.000000,5.000000
-4.550000,-0.527200,0.006880,0.000200,-76.627907,7000000.000000,5.000000
-4.400000,-0.509900,0.006840,0.000200,-74.546784,7000000.000000,5.000000
-4.250000,-0.492600,0.006780,0.000200,-72.654867,7000000.000000,5.000000
-4.100000,-0.475200,0.006740,0.000300,-70.504451,7000000.000000,5.000000
-3.950000,-0.458000,0.006690,0.000300,-68.460389,7000000.000000,5.000000
-3.800000,-0.440600,0.006660,0.000300,-66.156156,7000000.000000,5.000000
-3.650000,-0.423200,0.006600,0.000300,-64.121212,7000000.000000,5.000000
-3.500000,-0.405900,0.006560,0.000300,-61.875000,7000000.000000,5.000000
-3.350000,-0.388400,0.006540,0.000300,-59.388379,7000000.000000,5.000000
-3.200000,-0.371100,0.006470,0.000300,-57.357032,7000000.000000,5.000000
-3.050000,-0.353600,0.006450,0.000300,-54.821705,7000000.000000,5.000000
-2.750000,-0.319000,0.006370,0.000300,-50.078493,7000000.000000,5.000000
-2.600000,-0.301600,0.006320,0.000300,-47.721519,7000000.000000,5.000000
-2.450000,-0.284100,0.006310,0.000300,-45.023772,7000000.000000,5.000000
-2.300000,-0.266800,0.006260,0.000300,-42.619808,7000000.000000,5.000000
-2.150000,-0.249400,0.006230,0.000300,-40.032103,7000000.000000,5.000000
-2.000000,-0.232000,0.006190,0.000300,-37.479806,7000000.000000,5.000000
-1.850000,-0.214600,0.006170,0.000300,-34.781199,7000000.000000,5.000000
-1.700000,-0.197200,0.006150,0.000200,-32.065041,7000000.000000,5.000000
-1.550000,-0.179900,0.006110,0.000200,-29.443535,7000000.000000,5.000000
-1.400000,-0.162400,0.006090,0.000200,-26.666667,7000000.000000,5.000000
-1.250000,-0.145000,0.006070,0.000200,-23.887974,7000000.000000,5.000000
-0.950000,-0.110100,0.006040,0.000100,-18.228477,7000000.000000,5.000000
