alpha,cl_corrected
-5.000000,-0.785326
-4.850000,-0.761865
-4.700000,-0.738542
-4.550000,-0.715081
-4.400000,-0.691894
-4.250000,-0.668296
-4.100000,-0.644972
-3.950000,-0.621374
-3.800000,-0.598187
-3.650000,-0.574452
-3.500000,-0.551128
-3.350000,-0.527530
-3.200000,-0.504069
-3.050000,-0.480745
-2.900000,-0.456872
-2.750000,-0.433411
-2.600000,-0.409950
-2.450000,-0.386215
-2.300000,-0.362754
-2.150000,-0.339156
-2.000000,-0.315695
-1.850000,-0.291959
-1.700000,-0.268361
-1.550000,-0.244763
-1.400000,-0.221027
-1.250000,-0.197429
-1.100000,-0.173694
-0.950000,-0.150096
-0.800000,-0.126360
-0.650000,-0.102762
-0.500000,-0.079027
-0.350000,-0.055291
-0.200000,-0.031693
-0.050000,-0.007958
0.100000,0.015778
0.250000,0.039513
0.400000,0.063249
0.550000,0.086984
0.700000,0.110582
0.850000,0.134318
1.000000,0.158053
1.150000,0.181651
1.300000,0.205250
1.450000,0.228985
1.600000,0.252720
1.750000,0.276319
1.900000,0.299917
2.050000,0.323515
2.200000,0.347113
2.350000,0.370711
2.500000,0.394172
2.650000,0.417771
2.800000,0.441369
2.950000,0.464830
3.100000,0.488428
3.250000,0.512026
3.400000,0.535350
3.550000,0.558948
3.700000,0.582409
3.850000,0.606007
4.000000,0.629331
4.150000,0.652792
4.300000,0.676253
4.450000,0.699714
4.600000,0.723038
4.750000,0.746499
4.900000,0.769686
5.050000,0.793147
5.200000,0.816470
5.350000,0.839657
5.500000,0.862981
5.650000,0.886030
5.800000,0.909217
5.950000,0.932404
6.100000,0.955316
6.250000,0.978365
6.400000,1.001277
6.550000,1.024327
6.700000,1.046827
7.000000,1.092240
7.150000,1.114878
7.300000,1.136830
7.450000,1.159468
7.600000,1.181831
7.750000,1.203920
7.900000,1.226283
8.050000,1.248921
8.200000,1.272108
8.350000,1.294883
8.500000,1.320128
8.650000,1.345098
8.800000,1.369656
8.950000,1.393529
9.100000,1.418636
9.250000,1.445116
9.400000,1.471458
9.550000,1.497526
9.700000,1.523319
9.850000,1.548838
10.000000,1.574631
10.150000,1.600150
10.300000,1.624297
10.450000,1.643368
10.600000,1.662576
10.750000,1.681784
10.900000,1.701403
11.050000,1.721160
11.200000,1.741465
11.350000,1.762045
11.500000,1.782488
11.650000,1.802930
11.800000,1.823373
11.950000,1.843541
12.100000,1.863572
12.250000,1.883466
12.400000,1.903085
12.550000,1.922431
12.700000,1.941501
12.850000,1.960023
13.000000,1.978956
13.150000,1.998027
13.300000,2.016686
13.450000,2.034934
13.600000,2.052907
13.750000,2.070331
13.900000,2.087344
14.050000,2.103807
14.200000,2.119723
14.350000,2.134677
14.500000,2.147162
14.650000,2.158275
14.800000,2.168977
14.950000,2.178992
15.100000,2.188734
15.250000,2.197926
15.400000,2.206158
15.550000,2.213841
15.700000,2.220426
15.850000,2.228521
16.000000,2.236067
16.150000,2.243064
16.300000,2.249787
16.450000,2.255001
16.600000,2.259940
16.750000,2.264056
16.900000,2.267211
17.050000,2.269406
17.200000,2.270916
17.350000,2.271053
17.500000,2.269955
17.650000,2.267623
17.800000,2.263919
17.950000,2.258705
18.100000,2.251159
18.250000,2.241418
18.400000,2.230168
18.550000,2.216585
18.700000,2.199023
18.850000,2.180090
19.000000,2.157727
19.150000,2.131659
19.300000,2.102161
19.450000,2.070331
19.600000,2.033287
19.750000,1.992676
19.900000,1.951791
20.050000,1.902948
20.200000,1.852871
20.350000,1.803616
20.500000,1.756283
20.650000,1.701266
20.800000,1.658460
20.950000,1.619221
21.100000,1.584921
21.250000,1.560363
21.400000,1.542390
21.550000,1.520849
21.700000,1.512343
21.850000,1.496291
22.000000,1.490529
22.150000,1.485041
22.300000,1.475162
22.450000,1.472830
22.600000,1.469400
22.750000,1.462540
22.900000,1.462266
23.050000,1.460894
