alpha,ld_corrected
-5.000000,-109.529473
-4.850000,-107.154053
-4.700000,-104.906464
-4.550000,-102.154357
-4.400000,-99.984666
-4.250000,-97.136001
-4.100000,-94.848806
-3.950000,-91.919182
-3.800000,-89.415107
-3.650000,-86.383708
-3.500000,-83.758032
-3.350000,-80.662026
-3.200000,-77.788371
-3.050000,-74.882373
-2.900000,-71.498002
-2.750000,-68.469388
-2.600000,-65.278697
-2.450000,-61.794370
-2.300000,-58.603200
-2.150000,-55.147252
-2.000000,-51.668510
-1.850000,-47.940754
-1.700000,-44.430627
-1.550000,-40.793797
-1.400000,-37.023011
-1.250000,-33.125700
-1.100000,-29.290686
-0.950000,-25.439926
-0.800000,-21.489823
-0.650000,-17.476522
-0.500000,-13.485759
-0.350000,-9.451478
-0.200000,-5.436182
-0.050000,-1.362591
0.100000,2.701690
0.250000,6.754406
0.400000,10.811740
0.550000,14.843700
0.700000,18.774582
0.850000,22.765710
1.000000,26.788660
1.150000,30.632597
1.300000,34.437837
1.450000,38.164152
1.600000,42.049969
1.750000,45.672483
1.900000,49.247410
2.050000,52.775682
2.200000,56.349535
2.350000,59.792152
2.500000,62.966829
2.650000,66.207695
2.800000,69.616523
2.950000,72.629651
3.100000,75.842853
3.250000,78.773258
3.400000,81.608229
3.550000,84.817631
3.700000,87.448828
3.850000,90.314069
4.000000,92.821712
4.150000,95.577191
4.300000,98.149959
4.450000,100.823376
4.600000,103.143800
4.750000,105.736408
4.900000,107.950302
5.050000,110.466108
5.200000,112.461496
5.350000,114.550760
5.500000,116.776844
5.650000,118.770816
5.800000,120.585796
5.950000,122.684672
6.100000,124.066976
6.250000,125.753873
6.400000,127.551253
6.550000,129.008407
6.700000,130.202408
7.000000,132.875935
7.150000,133.678418
7.300000,134.536074
7.450000,135.610250
7.600000,136.627867
7.750000,137.277089
7.900000,137.784661
8.050000,138.155011
8.200000,138.876409
8.350000,139.384598
8.500000,139.992313
8.650000,140.260449
8.800000,140.333637
8.950000,140.760495
9.100000,141.298436
9.250000,141.539244
9.400000,141.758946
9.550000,141.676977
9.700000,141.572401
9.850000,141.446395
10.000000,141.603544
10.150000,141.481026
10.300000,141.366179
10.450000,140.819884
10.600000,140.301762
10.750000,139.567114
10.900000,138.776767
11.050000,137.913446
11.200000,137.339529
11.350000,136.804741
11.500000,136.275818
11.650000,135.660672
11.800000,134.864864
11.950000,134.075723
12.100000,133.207450
12.250000,132.173057
12.400000,131.156823
12.550000,129.981781
12.700000,128.746763
12.850000,127.274223
13.000000,126.128520
13.150000,125.189669
13.300000,124.180182
13.450000,123.031053
13.600000,121.834223
13.750000,120.508203
13.900000,119.208657
14.050000,117.794370
14.200000,116.276605
14.350000,114.705921
14.500000,113.068051
14.650000,111.251309
14.800000,109.378563
14.950000,107.233879
15.100000,105.076022
15.250000,102.802894
15.400000,100.279900
15.550000,97.655092
15.700000,94.849487
15.850000,92.431407
16.000000,89.946386
16.150000,87.312740
16.300000,84.673957
16.450000,81.821502
16.600000,78.991253
16.750000,76.026048
16.900000,72.994568
17.050000,69.935485
17.200000,66.850623
17.350000,63.704148
17.500000,60.564442
17.650000,57.451809
17.800000,54.355787
17.950000,51.287579
18.100000,48.246014
18.250000,45.244609
18.400000,42.374456
18.550000,39.581873
18.700000,36.791425
18.850000,34.197490
19.000000,31.666079
19.150000,29.216815
19.300000,26.881855
19.450000,24.720369
19.600000,22.609666
19.750000,20.632391
19.900000,18.872472
20.050000,17.106691
20.200000,15.515581
20.350000,14.120538
20.500000,12.916693
20.650000,11.685322
20.800000,10.772718
20.950000,9.994575
21.100000,9.340649
21.250000,8.857645
21.400000,8.485859
21.550000,8.084894
21.700000,7.863681
21.850000,7.559697
22.000000,7.386533
22.150000,7.220502
22.300000,7.007897
22.450000,6.885600
22.600000,6.753998
22.750000,6.587128
22.900000,6.494340
23.050000,6.392288
