alpha,cl_corrected
-5.000000,-0.772292
-4.850000,-0.749517
-4.700000,-0.727017
-4.550000,-0.704105
-4.400000,-0.681467
-4.250000,-0.658417
-4.100000,-0.635642
-3.950000,-0.612867
-3.800000,-0.589818
-3.650000,-0.566906
-3.500000,-0.543994
-3.350000,-0.520807
-3.200000,-0.497895
-3.050000,-0.474845
-2.900000,-0.451659
-2.750000,-0.428472
-2.600000,-0.405285
-2.450000,-0.382236
-2.300000,-0.359049
-2.150000,-0.335726
-2.000000,-0.312402
-1.850000,-0.289078
-1.700000,-0.265754
-1.550000,-0.242430
-1.400000,-0.218969
-1.250000,-0.195646
-1.100000,-0.172185
-0.950000,-0.148724
-0.800000,-0.125263
-0.650000,-0.101664
-0.500000,-0.078341
-0.350000,-0.054880
-0.200000,-0.031281
-0.050000,-0.007820
0.100000,0.015641
0.250000,0.039239
0.400000,0.062700
0.550000,0.086161
0.700000,0.109622
0.850000,0.133083
1.000000,0.156544
1.150000,0.180005
1.300000,0.203466
1.450000,0.226790
1.600000,0.250251
1.750000,0.273575
1.900000,0.296898
2.050000,0.320085
2.200000,0.343409
2.350000,0.366733
2.500000,0.390056
2.650000,0.413243
2.800000,0.436292
3.100000,0.482528
3.250000,0.505578
3.400000,0.528764
3.550000,0.551539
3.700000,0.574589
3.850000,0.597501
4.000000,0.620413
4.150000,0.643463
4.300000,0.666101
4.450000,0.689013
4.600000,0.711925
4.750000,0.734563
4.900000,0.757201
5.050000,0.779976
5.200000,0.802339
5.350000,0.825251
5.500000,0.847340
5.650000,0.870115
5.800000,0.892204
5.950000,0.914705
6.100000,0.936931
6.250000,0.959294
6.400000,0.981795
6.550000,1.004570
6.700000,1.027071
6.850000,1.051218
7.000000,1.075776
7.150000,1.099375
7.300000,1.123933
7.450000,1.150413
7.600000,1.176617
7.750000,1.201999
7.900000,1.226695
8.050000,1.251802
8.200000,1.279242
8.350000,1.306545
8.500000,1.333299
8.650000,1.359915
8.800000,1.386669
8.950000,1.413011
9.100000,1.439216
9.250000,1.465284
9.400000,1.484903
9.550000,1.503014
9.700000,1.521947
9.850000,1.540880
10.000000,1.559814
10.150000,1.578885
10.300000,1.597955
10.450000,1.617163
10.600000,1.636371
10.750000,1.655442
10.900000,1.675473
11.050000,1.695366
11.200000,1.715123
11.350000,1.734742
11.500000,1.754225
11.650000,1.773433
11.800000,1.792366
11.950000,1.811025
12.100000,1.829273
12.250000,1.846971
12.400000,1.864533
12.550000,1.882780
12.700000,1.900479
12.850000,1.917903
13.000000,1.934778
13.150000,1.951242
13.300000,1.967020
13.450000,1.982249
13.600000,1.996244
13.750000,2.008043
13.900000,2.018744
14.050000,2.028897
14.200000,2.038364
14.350000,2.047144
14.500000,2.054690
14.650000,2.061001
14.800000,2.068822
14.950000,2.076916
15.100000,2.083914
15.250000,2.090636
15.400000,2.096399
15.550000,2.101201
15.700000,2.105728
15.850000,2.109158
16.000000,2.111765
16.150000,2.113137
16.300000,2.114097
16.450000,2.113137
16.600000,2.111079
16.750000,2.107649
16.900000,2.102847
17.050000,2.095987
17.200000,2.087344
17.350000,2.075956
17.500000,2.062785
17.650000,2.046733
17.800000,2.027662
17.950000,2.005436
18.100000,1.979505
18.250000,1.950694
18.400000,1.919138
18.550000,1.884015
18.700000,1.844776
18.850000,1.804714
19.000000,1.762731
19.150000,1.721160
19.300000,1.679177
19.450000,1.641310
19.600000,1.606873
19.750000,1.576827
19.900000,1.552817
20.050000,1.531551
20.200000,1.510011
20.350000,1.497526
20.500000,1.480787
20.650000,1.471732
20.800000,1.459110
20.950000,1.452113
21.100000,1.446213
21.250000,1.436335
21.400000,1.432082
21.550000,1.426045
21.700000,1.420283
21.850000,1.417539
22.000000,1.411639
22.150000,1.408758
22.300000,1.407386
22.450000,1.402584
22.600000,1.401624
22.750000,1.401486
22.900000,1.390236
23.050000,1.330966
