alpha,ld_corrected
-5.000000,-100.690017
-4.850000,-98.620713
-4.700000,-97.064994
-4.550000,-94.892802
-4.400000,-93.096554
-4.250000,-90.816189
-4.100000,-88.776865
-3.950000,-86.441092
-3.800000,-84.019649
-3.650000,-81.686704
-3.500000,-79.183917
-3.350000,-76.476785
-3.200000,-73.871616
-3.050000,-71.298090
-2.900000,-68.433132
-2.750000,-65.415582
-2.600000,-62.447682
-2.450000,-59.353423
-2.300000,-56.277341
-2.150000,-53.037224
-2.000000,-49.666427
-1.850000,-46.252482
-1.700000,-42.794558
-1.550000,-39.291799
-1.400000,-35.662768
-1.250000,-32.073047
-1.100000,-28.319832
-0.950000,-24.541844
-0.800000,-20.738836
-0.650000,-16.859761
-0.500000,-13.035034
-0.350000,-9.146591
-0.200000,-5.222261
-0.050000,-1.305565
0.100000,2.606778
0.250000,6.539813
0.400000,10.449980
0.550000,14.336254
0.700000,18.209617
0.850000,22.033593
1.000000,25.789771
1.150000,29.557457
1.300000,33.246066
1.450000,36.936438
1.600000,40.559276
1.750000,43.983046
1.900000,47.427852
2.050000,50.726618
2.200000,53.995089
2.350000,57.301965
2.500000,60.567761
2.650000,63.478186
2.800000,66.406758
3.100000,72.126819
3.250000,74.900419
3.400000,77.417926
3.550000,79.817576
3.700000,82.555871
3.850000,84.993040
4.000000,87.014485
4.150000,89.494116
4.300000,91.497322
4.450000,93.743227
4.600000,95.688834
4.750000,97.681215
4.900000,99.500730
5.050000,101.164146
5.200000,102.863972
5.350000,104.594574
5.500000,105.917526
5.650000,107.554416
5.800000,108.805395
5.950000,109.940487
6.100000,111.406786
6.250000,112.329565
6.400000,113.240496
6.550000,114.415730
6.700000,115.142458
6.850000,116.028447
7.000000,117.186963
7.150000,117.958641
7.300000,118.558347
7.450000,119.461320
7.600000,120.431678
7.750000,121.047259
7.900000,121.334825
8.050000,121.889238
8.200000,122.650263
8.350000,123.258945
8.500000,123.453574
8.650000,123.628653
8.800000,124.142252
8.950000,124.494374
9.100000,124.607457
9.250000,124.598972
9.400000,124.155798
9.550000,123.603092
9.700000,123.434472
9.850000,123.270439
10.000000,122.916779
10.150000,122.489106
10.300000,121.981314
10.450000,121.317559
10.600000,120.587391
10.750000,119.526465
10.900000,119.165902
11.050000,118.723138
11.200000,118.121422
11.350000,117.450405
11.500000,116.714885
11.650000,115.834916
11.800000,114.895257
11.950000,113.900947
12.100000,112.709335
12.250000,111.397537
12.400000,110.131873
12.550000,109.209981
12.700000,108.227718
12.850000,107.205309
13.000000,106.073379
13.150000,104.905500
13.300000,103.581894
13.450000,102.283243
13.600000,100.871325
13.750000,99.408051
13.900000,97.760007
14.050000,96.019728
14.200000,94.107275
14.350000,92.006486
14.500000,89.685301
14.650000,87.145936
14.800000,84.996784
14.950000,82.877752
15.100000,80.615613
15.250000,78.300987
15.400000,75.846552
15.550000,73.263622
15.700000,70.685741
15.850000,67.971582
16.000000,65.218190
16.150000,62.371221
16.300000,59.568818
16.450000,56.622105
16.600000,53.730694
16.750000,50.811211
16.900000,47.933600
17.050000,45.065300
17.200000,42.271032
17.350000,39.489368
17.500000,36.822295
17.650000,34.232024
17.800000,31.726836
17.950000,29.302102
18.100000,26.957718
18.250000,24.773857
18.400000,22.719756
18.550000,20.781104
18.700000,18.940205
18.850000,17.291501
19.000000,15.786594
19.150000,14.455025
19.300000,13.245854
19.450000,12.243101
19.600000,11.388187
19.750000,10.669373
19.900000,10.096995
20.050000,9.604007
20.200000,9.133314
20.350000,8.811048
20.500000,8.443308
20.650000,8.193132
20.800000,7.905456
20.950000,7.697391
21.100000,7.511626
21.250000,7.283646
21.400000,7.129041
21.550000,6.956317
21.700000,6.790737
21.850000,6.662618
22.000000,6.503152
22.150000,6.379089
22.300000,6.274010
22.450000,6.133392
22.600000,6.036537
22.750000,5.950100
22.900000,5.747865
23.050000,5.030867
