alpha,cl,cd,cm,ld,re,ncrit,cl_corrected,cd_original,cd_corrected,ld_corrected,mach_corrected
-5.000000,-0.562900,0.007670,-0.003000,-73.389831,2200000.000000,6.000000,-0.772292,0.007670,0.007670,-100.690017,0.700000
-4.850000,-0.546300,0.007600,-0.002800,-71.881579,2200000.000000,6.000000,-0.749517,0.007600,0.007600,-98.620713,0.700000
-4.700000,-0.529900,0.007490,-0.002600,-70.747664,2200000.000000,6.000000,-0.727017,0.007490,0.007490,-97.064994,0.700000
-4.550000,-0.513200,0.007420,-0.002400,-69.164420,2200000.000000,6.000000,-0.704105,0.007420,0.007420,-94.892802,0.700000
-4.400000,-0.496700,0.007320,-0.002200,-67.855191,2200000.000000,6.000000,-0.681467,0.007320,0.007320,-93.096554,0.700000
-4.250000,-0.479900,0.007250,-0.002100,-66.193103,2200000.000000,6.000000,-0.658417,0.007250,0.007250,-90.816189,0.700000
-4.100000,-0.463300,0.007160,-0.001900,-64.706704,2200000.000000,6.000000,-0.635642,0.007160,0.007160,-88.776865,0.700000
-3.950000,-0.446700,0.007090,-0.001700,-63.004231,2200000.000000,6.000000,-0.612867,0.007090,0.007090,-86.441092,0.700000
-3.800000,-0.429900,0.007020,-0.001600,-61.239316,2200000.000000,6.000000,-0.589818,0.007020,0.007020,-84.019649,0.700000
-3.650000,-0.413200,0.006940,-0.001500,-59.538905,2200000.000000,6.000000,-0.566906,0.006940,0.006940,-81.686704,0.700000
-3.500000,-0.396500,0.006870,-0.001300,-57.714702,2200000.000000,6.000000,-0.543994,0.006870,0.006870,-79.183917,0.700000
-3.350000,-0.379600,0.006810,-0.001200,-55.741557,2200000.000000,6.000000,-0.520807,0.006810,0.006810,-76.476785,0.700000
-3.200000,-0.362900,0.006740,-0.001100,-53.842730,2200000.000000,6.000000,-0.497895,0.006740,0.006740,-73.871616,0.700000
-3.050000,-0.346100,0.006660,-0.001000,-51.966967,2200000.000000,6.000000,-0.474845,0.006660,0.006660,-71.298090,0.700000
-2.900000,-0.329200,0.006600,-0.000900,-49.878788,2200000.000000,6.000000,-0.451659,0.006600,0.006600,-68.433132,0.700000
-2.750000,-0.312300,0.006550,-0.000800,-47.679389,2200000.000000,6.000000,-0.428472,0.006550,0.006550,-65.415582,0.700000
-2.600000,-0.295400,0.006490,-0.000800,-45.516179,2200000.000000,6.000000,-0.405285,0.006490,0.006490,-62.447682,0.700000
-2.450000,-0.278600,0.006440,-0.000700,-43.260870,2200000.000000,6.000000,-0.382236,0.006440,0.006440,-59.353423,0.700000
