alpha,cl_corrected
-5.000000,-0.792186
-4.850000,-0.768451
-4.700000,-0.744853
-4.550000,-0.721117
-4.400000,-0.697382
-4.250000,-0.673784
-4.100000,-0.650048
-3.950000,-0.626450
-3.800000,-0.602577
-3.650000,-0.579116
-3.500000,-0.555107
-3.350000,-0.531508
-3.200000,-0.507636
-3.050000,-0.484038
-2.900000,-0.460165
-2.750000,-0.436567
-2.600000,-0.412694
-2.450000,-0.388959
-2.300000,-0.365361
-2.150000,-0.341488
-2.000000,-0.317615
-1.850000,-0.293880
-1.700000,-0.270007
-1.550000,-0.246135
-1.400000,-0.222537
-1.250000,-0.198527
-1.100000,-0.174791
-0.950000,-0.151056
-0.800000,-0.127321
-0.650000,-0.103311
-0.500000,-0.079438
-0.350000,-0.055703
-0.200000,-0.031693
-0.050000,-0.007820
0.100000,0.015915
0.250000,0.039650
0.400000,0.063660
0.550000,0.087533
0.700000,0.111268
0.850000,0.135141
1.150000,0.182749
1.300000,0.206484
1.450000,0.230494
1.600000,0.254230
1.750000,0.277965
1.900000,0.301838
2.050000,0.325710
2.200000,0.349308
2.350000,0.373318
2.500000,0.397054
2.650000,0.420652
2.800000,0.444524
2.950000,0.468123
3.100000,0.491995
3.250000,0.515731
3.400000,0.539466
3.550000,0.563201
3.700000,0.586937
3.850000,0.610535
4.000000,0.634408
4.150000,0.658006
4.300000,0.681741
4.450000,0.705339
4.600000,0.729212
4.750000,0.752947
4.900000,0.776271
5.050000,0.800007
5.200000,0.823605
5.350000,0.847203
5.500000,0.870801
5.650000,0.894262
5.800000,0.917860
6.100000,0.964920
6.250000,0.988243
6.400000,1.011842
6.550000,1.035303
6.700000,1.058352
6.850000,1.081539
7.000000,1.105000
7.150000,1.128049
7.300000,1.151236
7.450000,1.174011
7.600000,1.197060
7.750000,1.220110
7.900000,1.242747
8.050000,1.265385
8.200000,1.287749
8.350000,1.310112
8.500000,1.332887
8.650000,1.354702
8.800000,1.377202
8.950000,1.399154
9.100000,1.421243
9.250000,1.443744
9.400000,1.467891
9.550000,1.492312
9.700000,1.516185
9.850000,1.539371
10.000000,1.565302
10.150000,1.590958
10.300000,1.616477
10.450000,1.641996
10.600000,1.667378
10.750000,1.692622
10.900000,1.717730
11.050000,1.739133
11.200000,1.759164
11.350000,1.779332
11.500000,1.799775
11.650000,1.820355
11.800000,1.840797
11.950000,1.861377
12.100000,1.882094
12.250000,1.902948
12.400000,1.923803
12.550000,1.944382
12.700000,1.964825
12.850000,1.985130
13.000000,2.005161
13.150000,2.024918
13.300000,2.044400
13.450000,2.063608
13.600000,2.082404
13.750000,2.100926
13.900000,2.119037
14.050000,2.136872
14.200000,2.154159
14.350000,2.171858
14.500000,2.189145
14.650000,2.205883
14.800000,2.221936
14.950000,2.236616
15.100000,2.248827
15.250000,2.260489
15.400000,2.271602
15.550000,2.282440
15.700000,2.293005
15.850000,2.303157
16.000000,2.312761
16.150000,2.321816
16.300000,2.330186
16.450000,2.338006
16.600000,2.345277
16.750000,2.352000
16.900000,2.358037
17.050000,2.362976
17.200000,2.367092
17.350000,2.370522
17.500000,2.373266
17.650000,2.374501
17.800000,2.375324
17.950000,2.374364
18.100000,2.372168
18.250000,2.368601
18.400000,2.363251
18.550000,2.356939
18.700000,2.348159
18.850000,2.340064
19.000000,2.328402
19.150000,2.315368
19.300000,2.298767
19.450000,2.279696
19.600000,2.258431
19.750000,2.233186
19.900000,2.204374
20.050000,2.173367
20.200000,2.135775
20.350000,2.093929
20.500000,2.054141
20.650000,2.009415
20.800000,1.967569
20.950000,1.923940
21.100000,1.873588
21.250000,1.829821
21.400000,1.786466
21.550000,1.743112
21.700000,1.701952
21.850000,1.663399
22.000000,1.627865
22.150000,1.596309
22.300000,1.568320
22.450000,1.555972
22.600000,1.534844
22.750000,1.516185
22.900000,1.509874
23.050000,1.494507
