alpha,ld_corrected
-5.000000,-114.976236
-4.850000,-112.346617
-4.700000,-109.860274
-4.550000,-106.832185
-4.400000,-104.242428
-4.250000,-101.473440
-4.100000,-98.492157
-3.950000,-95.787467
-3.800000,-92.561817
-3.650000,-90.064762
-3.500000,-86.600097
-3.350000,-83.570506
-3.200000,-80.322122
-3.050000,-77.322301
-2.900000,-73.744392
-2.750000,-70.641877
-2.600000,-67.214038
-2.450000,-63.659377
-2.300000,-60.191200
-2.150000,-56.631506
-2.000000,-53.024270
-1.850000,-49.308721
-1.700000,-45.455787
-1.550000,-41.717758
-1.400000,-37.846354
-1.250000,-33.936199
-1.100000,-29.981365
-0.950000,-25.999304
-0.800000,-21.989732
-0.650000,-17.842962
-0.500000,-13.767443
-0.350000,-9.670615
-0.200000,-5.502246
-0.050000,-1.357697
0.100000,2.763033
0.250000,6.883763
0.400000,11.052131
0.550000,15.144097
0.700000,19.217320
0.850000,23.300153
1.150000,31.292619
1.300000,35.236228
1.450000,39.133124
1.600000,43.016836
1.750000,46.795439
1.900000,50.559047
2.050000,54.194694
2.200000,57.736912
2.350000,61.502161
2.500000,64.984210
2.650000,68.287618
2.800000,71.813301
2.950000,74.899606
3.100000,78.343175
3.250000,81.602934
3.400000,84.688532
3.550000,87.726068
3.700000,90.857083
3.850000,93.784173
4.000000,96.856117
4.150000,99.547015
4.300000,102.517470
4.450000,104.961217
4.600000,107.871595
4.750000,110.727557
4.900000,112.994352
5.050000,115.775195
5.200000,118.164248
5.350000,120.512519
5.500000,122.994522
5.650000,125.246810
5.800000,127.303804
6.100000,131.639787
6.250000,133.546412
6.400000,135.635610
6.550000,137.673226
6.700000,139.256851
6.850000,140.642221
7.000000,142.396866
7.150000,144.067573
7.300000,145.358043
7.450000,146.385376
7.600000,147.602975
7.750000,148.975523
7.900000,149.909210
8.050000,150.641091
8.200000,151.144199
8.350000,151.985150
8.500000,152.854014
8.650000,153.420342
8.800000,153.877345
8.950000,154.091857
9.100000,154.147839
9.250000,154.081504
9.400000,154.514809
9.550000,154.804159
9.700000,155.029110
9.850000,154.866328
10.000000,154.674099
10.150000,154.461949
10.300000,154.096956
10.450000,154.033401
10.600000,153.959173
10.750000,153.735008
10.900000,153.505793
11.050000,153.092681
11.200000,152.440545
11.350000,151.690718
11.500000,150.861253
11.650000,149.946835
11.800000,148.931813
11.950000,147.963199
12.100000,147.038599
12.250000,146.380639
12.400000,145.632288
12.550000,144.886912
12.700000,143.943223
12.850000,142.917957
13.000000,141.908100
13.150000,140.717032
13.300000,139.454320
13.450000,138.126384
13.600000,136.730428
13.750000,135.194741
13.900000,133.693156
14.050000,132.068750
14.200000,130.397060
14.350000,129.046826
14.500000,127.721420
14.650000,126.266938
14.800000,124.757758
14.950000,123.229529
15.100000,121.492526
15.250000,119.665884
15.400000,117.699568
15.550000,115.683749
15.700000,113.515083
15.850000,111.263642
16.000000,108.835827
16.150000,106.310277
16.300000,103.655942
16.450000,100.906600
16.600000,98.046716
16.750000,95.068723
16.900000,92.003002
17.050000,88.800305
17.200000,85.485449
17.350000,82.081788
17.500000,78.715291
17.650000,75.190019
17.800000,71.740381
17.950000,68.150505
18.100000,64.636742
18.250000,61.125194
18.400000,57.598111
18.550000,54.244864
18.700000,50.903070
18.850000,47.952129
19.000000,44.889184
19.150000,42.013575
19.300000,39.161278
19.450000,36.411059
19.600000,33.808841
19.750000,31.263978
19.900000,28.834195
20.050000,26.575780
20.200000,24.300544
20.350000,22.157980
20.500000,20.336021
20.650000,18.573016
20.800000,17.089976
20.950000,15.709478
21.100000,14.327351
21.250000,13.215523
21.400000,12.204307
21.550000,11.277166
21.700000,10.463892
21.850000,9.741722
22.000000,9.107444
22.150000,8.561592
22.300000,8.093721
22.450000,7.835494
22.600000,7.482663
22.750000,7.169400
22.900000,7.002799
23.050000,6.741733
