alpha,cl,cd,cm,ld,re,ncrit,cl_corrected,cd_original,cd_corrected,ld_corrected,mach_corrected
-5.000000,-0.577400,0.006890,-0.000200,-83.802612,6200000.000000,6.000000,-0.792186,0.006890,0.006890,-114.976236,0.700000
-4.850000,-0.560100,0.006840,-0.000100,-81.885965,6200000.000000,6.000000,-0.768451,0.006840,0.006840,-112.346617,0.700000
-4.700000,-0.542900,0.006780,-0.000100,-80.073746,6200000.000000,6.000000,-0.744853,0.006780,0.006780,-109.860274,0.700000
-4.550000,-0.525600,0.006750,-0.000000,-77.866667,6200000.000000,6.000000,-0.721117,0.006750,0.006750,-106.832185,0.700000
-4.400000,-0.508300,0.006690,-0.000000,-75.979073,6200000.000000,6.000000,-0.697382,0.006690,0.006690,-104.242428,0.700000
-4.250000,-0.491100,0.006640,0.000000,-73.960843,6200000.000000,6.000000,-0.673784,0.006640,0.006640,-101.473440,0.700000
-4.100000,-0.473800,0.006600,0.000100,-71.787879,6200000.000000,6.000000,-0.650048,0.006600,0.006600,-98.492157,0.700000
-3.950000,-0.456600,0.006540,0.000100,-69.816514,6200000.000000,6.000000,-0.626450,0.006540,0.006540,-95.787467,0.700000
-3.800000,-0.439200,0.006510,0.000100,-67.465438,6200000.000000,6.000000,-0.602577,0.006510,0.006510,-92.561817,0.700000
-3.650000,-0.422100,0.006430,0.000200,-65.645412,6200000.000000,6.000000,-0.579116,0.006430,0.006430,-90.064762,0.700000
-3.500000,-0.404600,0.006410,0.000200,-63.120125,6200000.000000,6.000000,-0.555107,0.006410,0.006410,-86.600097,0.700000
-3.350000,-0.387400,0.006360,0.000200,-60.911950,6200000.000000,6.000000,-0.531508,0.006360,0.006360,-83.570506,0.700000
-3.200000,-0.370000,0.006320,0.000200,-58.544304,6200000.000000,6.000000,-0.507636,0.006320,0.006320,-80.322122,0.700000
-3.050000,-0.352800,0.006260,0.000200,-56.357827,6200000.000000,6.000000,-0.484038,0.006260,0.006260,-77.322301,0.700000
-2.900000,-0.335400,0.006240,0.000200,-53.750000,6200000.000000,6.000000,-0.460165,0.006240,0.006240,-73.744392,0.700000
-2.750000,-0.318200,0.006180,0.000200,-51.488673,6200000.000000,6.000000,-0.436567,0.006180,0.006180,-70.641877,0.700000
-2.600000,-0.300800,0.006140,0.000200,-48.990228,6200000.000000,6.000000,-0.412694,0.006140,0.006140,-67.214038,0.700000
-2.450000,-0.283500,0.006110,0.000200,-46.399345,6200000.000000,6.000000,-0.388959,0.006110,0.006110,-63.659377,0.700000
-2.300000,-0.266300,0.006070,0.000200,-43.871499,6200000.000000,6.000000,-0.365361,0.006070,0.006070,-60.191200,0.700000
-2.150000,-0.248900,0.006030,0.000200,-41.276949,6200000.000000,6.000000,-0.341488,0.006030,0.006030,-56.631506,0.700000
-2.000000,-0.231500,0.005990,0.000200,-38.647746,6200000.000000,6.000000,-0.317615,0.005990,0.005990,-53.024270,0.700000
-1.850000,-0.214200,0.005960,0.000200,-35.939597,6200000.000000,6.000000,-0.293880,0.005960,0.005960,-49.308721,0.700000
-1.700000,-0.196800,0.005940,0.000200,-33.131313,6200000.000000,6.000000,-0.270007,0.005940,0.005940,-45.455787,0.700000
-1.550000,-0.179400,0.005900,0.000200,-30.406780,6200000.000000,6.000000,-0.246135,0.005900,0.005900,-41.717758,0.700000
-1.400000,-0.162200,0.005880,0.000200,-27.585034,6200000.000000,6.000000,-0.222537,0.005880,0.005880,-37.846354,0.700000
-1.250000,-0.144700,0.005850,0.000200,-24.735043,6200000.000000,6.000000,-0.198527,0.005850,0.005850,-33.936199,0.700000
-1.100000,-0.127400,0.005830,0.000100,-21.852487,6200000.000000,6.000000,-0.174791,0.005830,0.005830,-29.981365,0.700000
-0.950000,-0.110100,0.005810,0.000100,-18.950086,6200000.000000,6.000000,-0.151056,0.005810,0.005810,-25.999304,0.700000
-0.800000,-0.092800,0.005790,0.000100,-16.027634,6200000.000000,6.000000,-0.127321,0.005790,0.005790,-21.989732,0.700000
-0.650000,-0.075300,0.005790,0.000100,-13.005181,6200000.000000,6.000000,-0.103311,0.005790,0.005790,-17.842962,0.700000
-0.500000,-0.057900,0.005770,0.000100,-10.034662,6200000.000000,6.000000,-0.079438,0.005770,0.005770,-13.767443,0.700000
-0.350000,-0.040600,0.005760,0.000100,-7.048611,6200000.000000,6.000000,-0.055703,0.005760,0.005760,-9.670615,0.700000
-0.200000,-0.023100,0.005760,0.000000,-4.010417,6200000.000000,6.000000,-0.031693,0.005760,0.005760,-5.502246,0.700000
-0.050000,-0.005700,0.005760,-0.000000,-0.989583,6200000.000000,6.000000,-0.007820,0.005760,0.005760,-1.357697,0.700000
0.100000,0.011600,0.005760,-0.000000,2.013889,6200000.000000,6.000000,0.015915,0.005760,0.005760,2.763033,0.700000
0.250000,0.028900,0.005760,-0.000000,5.017361,6200000.000000,6.000000,0.039650,0.005760,0.005760,6.883763,0.700000
0.400000,0.046400,0.005760,-0.000100,8.055556,6200000.000000,6.000000,0.063660,0.005760,0.005760,11.052131,0.700000
0.550000,0.063800,0.005780,-0.000100,11.038062,6200000.000000,6.000000,0.087533,0.005780,0.005780,15.144097,0.700000
0.700000,0.081100,0.005790,-0.000100,14.006908,6200000.000000,6.000000,0.111268,0.005790,0.005790,19.217320,0.700000
0.850000,0.098500,0.005800,-0.000100,16.982759,6200000.000000,6.000000,0.135141,0.005800,0.005800,23.300153,0.700000
1.150000,0.133200,0.005840,-0.000200,22.808219,6200000.000000,6.000000,0.182749,0.005840,0.005840,31.292619,0.700000
1.300000,0.150500,0.005860,-0.000200,25.682594,6200000.000000,6.000000,0.206484,0.005860,0.005860,35.236228,0.700000
1.450000,0.168000,0.005890,-0.000200,28.522920,6200000.000000,6.000000,0.230494,0.005890,0.005890,39.133124,0.700000
1.600000,0.185300,0.005910,-0.000200,31.353638,6200000.000000,6.000000,0.254230,0.005910,0.005910,43.016836,0.700000
1.750000,0.202600,0.005940,-0.000200,34.107744,6200000.000000,6.000000,0.277965,0.005940,0.005940,46.795439,0.700000
1.900000,0.220000,0.005970,-0.000200,36.850921,6200000.000000,6.000000,0.301838,0.005970,0.005970,50.559047,0.700000
2.050000,0.237400,0.006010,-0.000200,39.500832,6200000.000000,6.000000,0.325710,0.006010,0.006010,54.194694,0.700000
2.200000,0.254600,0.006050,-0.000200,42.082645,6200000.000000,6.000000,0.349308,0.006050,0.006050,57.736912,0.700000
2.350000,0.272100,0.006070,-0.000200,44.827018,6200000.000000,6.000000,0.373318,0.006070,0.006070,61.502161,0.700000
2.500000,0.289400,0.006110,-0.000200,47.364975,6200000.000000,6.000000,0.397054,0.006110,0.006110,64.984210,0.700000
2.650000,0.306600,0.006160,-0.000200,49.772727,6200000.000000,6.000000,0.420652,0.006160,0.006160,68.287618,0.700000
2.800000,0.324000,0.006190,-0.000200,52.342488,6200000.000000,6.000000,0.444524,0.006190,0.006190,71.813301,0.700000
2.950000,0.341200,0.006250,-0.000200,54.592000,6200000.000000,6.000000,0.468123,0.006250,0.006250,74.899606,0.700000
3.100000,0.358600,0.006280,-0.000200,57.101911,6200000.000000,6.000000,0.491995,0.006280,0.006280,78.343175,0.700000
3.250000,0.375900,0.006320,-0.000200,59.477848,6200000.000000,6.000000,0.515731,0.006320,0.006320,81.602934,0.700000
3.400000,0.393200,0.006370,-0.000200,61.726845,6200000.000000,6.000000,0.539466,0.006370,0.006370,84.688532,0.700000
3.550000,0.410500,0.006420,-0.000200,63.940810,6200000.000000,6.000000,0.563201,0.006420,0.006420,87.726068,0.700000
