alpha,cl_corrected
-5.000000,-1.056273
-4.850000,-1.025397
-4.700000,-0.993778
-4.550000,-0.962902
-4.400000,-0.931469
-4.250000,-0.900222
-4.100000,-0.868602
-3.950000,-0.837355
-3.800000,-0.805922
-3.650000,-0.774302
-3.500000,-0.742869
-3.350000,-0.711436
-3.200000,-0.679816
-3.050000,-0.648197
-2.900000,-0.616763
-2.750000,-0.584958
-2.600000,-0.553153
-2.450000,-0.521347
-2.300000,-0.489728
-2.150000,-0.458109
-2.000000,-0.426117
-1.850000,-0.394312
-1.700000,-0.362321
-1.550000,-0.330515
-1.400000,-0.298710
-1.250000,-0.266719
-1.100000,-0.234727
-0.950000,-0.202736
-0.800000,-0.170745
-0.650000,-0.138753
-0.500000,-0.106762
-0.350000,-0.074770
-0.200000,-0.042779
-0.050000,-0.010788
0.100000,0.021390
0.250000,0.053381
0.400000,0.085558
0.550000,0.117550
0.700000,0.149541
0.850000,0.181532
1.000000,0.213524
1.150000,0.245515
1.300000,0.277320
1.450000,0.309312
1.600000,0.341303
1.750000,0.373108
1.900000,0.404914
2.050000,0.436719
2.200000,0.468710
2.350000,0.500516
2.500000,0.532135
2.650000,0.563755
2.800000,0.595374
2.950000,0.627179
3.100000,0.658799
3.250000,0.690418
3.400000,0.721851
3.550000,0.753657
3.700000,0.784904
3.850000,0.816337
4.000000,0.848143
4.150000,0.879204
4.300000,0.910638
4.450000,0.941885
4.600000,0.973504
4.750000,1.004380
4.900000,1.035627
5.050000,1.066874
5.200000,1.098122
5.350000,1.128997
5.500000,1.159872
5.650000,1.190934
5.800000,1.221437
5.950000,1.252499
6.100000,1.282816
6.250000,1.313319
6.400000,1.343637
6.550000,1.374326
6.700000,1.404085
6.850000,1.434775
7.000000,1.465464
7.150000,1.496712
7.300000,1.528517
7.450000,1.559206
7.600000,1.594174
7.750000,1.628955
7.900000,1.663364
8.050000,1.696844
8.200000,1.729393
8.350000,1.765662
8.500000,1.802303
8.650000,1.839131
8.800000,1.875586
8.950000,1.911669
9.100000,1.947380
9.250000,1.982720
9.400000,2.018245
9.550000,2.053770
9.700000,2.087808
9.850000,2.112917
10.000000,2.138027
10.150000,2.163136
10.300000,2.188432
10.450000,2.213913
10.600000,2.240696
10.750000,2.267852
10.900000,2.295007
11.050000,2.322163
11.200000,2.349504
11.350000,2.376474
11.500000,2.403443
11.650000,2.430041
11.800000,2.456266
11.950000,2.482306
12.100000,2.509275
12.250000,2.536058
12.400000,2.562470
12.550000,2.588509
12.700000,2.614177
12.850000,2.639472
13.000000,2.664210
13.150000,2.688389
13.300000,2.711825
13.450000,2.734702
13.600000,2.756464
13.750000,2.776924
13.900000,2.795523
14.050000,2.815425
14.200000,2.832350
14.350000,2.847974
14.500000,2.863226
14.650000,2.877920
14.800000,2.891869
14.950000,2.905261
15.100000,2.917723
15.250000,2.929812
15.400000,2.940600
15.550000,2.950830
15.700000,2.960130
15.850000,2.968686
16.000000,2.976312
16.150000,2.982635
16.300000,2.988401
16.450000,2.992121
16.600000,2.995097
16.750000,2.996399
16.900000,2.996213
17.050000,2.994167
17.200000,2.989145
17.350000,2.982449
17.500000,2.973522
17.650000,2.961432
17.800000,2.945994
17.950000,2.927581
18.100000,2.906005
18.250000,2.880523
18.400000,2.852252
18.550000,2.821377
18.700000,2.783991
18.850000,2.746420
19.000000,2.704013
19.150000,2.657514
19.300000,2.608783
19.450000,2.555960
19.600000,2.501649
19.750000,2.441200
19.900000,2.385960
20.050000,2.326441
20.200000,2.267108
20.350000,2.216517
20.500000,2.176714
20.650000,2.140817
20.800000,2.104919
20.950000,2.076648
21.100000,2.057304
21.250000,2.034985
21.400000,2.021965
21.550000,2.010805
21.700000,1.994251
21.850000,1.987184
22.000000,1.973606
22.150000,1.968026
22.300000,1.964864
22.450000,1.957424
22.600000,1.954076
22.750000,1.954076
22.900000,1.953146
23.050000,1.945706
