alpha,ld_corrected
-5.000000,-147.524098
-4.850000,-145.034961
-4.700000,-141.765737
-4.550000,-139.349123
-4.400000,-135.782665
-4.250000,-132.972188
-4.100000,-129.642143
-3.950000,-126.297887
-3.800000,-122.666915
-3.650000,-118.940441
-3.500000,-115.531712
-3.350000,-111.860935
-3.200000,-107.736322
-3.050000,-103.545820
-2.900000,-99.638687
-2.750000,-95.425468
-2.600000,-90.829682
-2.450000,-86.315796
-2.300000,-81.894323
-2.150000,-77.122676
-2.000000,-72.345899
-1.850000,-67.403759
-1.700000,-62.147623
-1.550000,-57.083815
-1.400000,-51.859363
-1.250000,-46.629123
-1.100000,-41.180216
-0.950000,-35.692937
-0.800000,-30.113674
-0.650000,-24.514696
-0.500000,-18.929403
-0.350000,-13.304356
-0.200000,-7.625514
-0.050000,-1.922956
0.100000,3.799212
0.250000,9.481513
0.400000,15.196849
0.550000,20.879150
0.700000,26.467427
0.850000,32.016281
1.000000,37.460292
1.150000,42.997375
1.300000,48.397970
1.450000,53.699951
1.600000,58.845356
1.750000,63.888428
1.900000,68.862887
2.050000,73.894946
2.200000,78.774870
2.350000,83.558570
2.500000,87.811088
2.650000,92.267520
2.800000,96.651608
2.950000,101.157945
3.100000,105.239396
3.250000,108.898734
3.400000,112.789271
3.550000,117.027437
3.700000,120.384058
3.850000,123.875177
4.000000,127.540267
4.150000,130.445718
4.300000,134.114507
4.450000,137.101145
4.600000,140.274384
4.750000,143.074017
4.900000,146.068683
5.050000,148.383078
5.200000,151.465061
5.350000,153.605043
5.500000,156.106654
5.650000,158.368858
5.800000,160.293594
5.950000,162.662151
6.100000,164.253002
6.250000,165.823147
6.400000,167.744907
6.550000,169.251981
6.700000,170.398723
6.850000,172.035354
7.000000,173.222723
7.150000,174.036232
7.300000,175.288641
7.450000,176.380806
7.600000,177.524902
7.750000,178.222638
7.900000,179.241833
8.050000,180.323436
8.200000,180.898836
8.350000,181.279480
8.500000,181.867143
8.650000,182.816167
8.800000,183.521125
8.950000,183.814343
9.100000,184.062424
9.250000,183.755304
9.400000,183.978578
9.550000,184.359990
9.700000,184.435300
9.850000,183.891826
10.000000,183.207076
10.150000,182.389213
10.300000,181.311644
10.450000,180.286077
10.600000,179.975621
10.750000,179.418666
10.900000,178.738893
11.050000,178.079972
11.200000,177.187351
11.350000,176.035091
11.500000,174.923084
11.650000,173.574331
11.800000,171.887061
11.950000,170.254155
12.100000,169.316804
12.250000,168.285235
12.400000,167.153943
12.550000,165.823794
12.700000,164.517111
12.850000,163.031031
13.000000,161.467266
13.150000,159.832901
13.300000,158.031755
13.450000,156.090323
13.600000,153.906422
13.750000,151.413500
13.900000,148.698043
14.050000,146.789615
14.200000,144.877262
14.350000,142.755597
14.500000,140.491945
14.650000,138.095947
14.800000,135.577556
14.950000,132.842295
15.100000,129.965378
15.250000,126.996640
15.400000,123.814748
15.550000,120.491223
15.700000,117.093745
15.850000,113.525266
16.000000,109.867536
16.150000,106.030409
16.300000,102.132649
16.450000,98.005936
16.600000,93.919635
16.750000,89.685697
16.900000,85.386524
17.050000,81.054878
17.200000,76.585839
17.350000,72.196791
17.500000,67.873125
17.650000,63.550040
17.800000,59.299399
17.950000,55.195711
18.100000,51.243255
18.250000,47.478548
18.400000,43.934875
18.550000,40.618726
18.700000,37.358984
18.850000,34.476779
19.000000,31.711189
19.150000,29.120250
19.300000,26.754005
19.450000,24.519955
19.600000,22.504940
19.750000,20.554015
19.900000,18.915170
20.050000,17.357612
20.200000,15.945337
20.350000,14.800461
20.500000,13.915828
20.650000,13.151594
20.800000,12.426467
20.950000,11.842873
21.100000,11.405390
21.250000,10.947252
21.400000,10.622911
21.550000,10.334610
21.700000,9.990239
21.850000,9.766950
22.000000,9.474824
22.150000,9.279202
22.300000,9.115161
22.450000,8.905884
22.600000,8.746984
22.750000,8.626888
22.900000,8.498222
23.050000,8.303984
