alpha,cl,cd,cm,ld,re,ncrit,cl_corrected,cd_original,cd_corrected,ld_corrected,mach_corrected
-5.000000,-0.567900,0.007160,-0.002000,-79.315642,3200000.000000,7.000000,-1.056273,0.007160,0.007160,-147.524098,0.850000
-4.850000,-0.551300,0.007070,-0.001800,-77.977369,3200000.000000,7.000000,-1.025397,0.007070,0.007070,-145.034961,0.850000
-4.700000,-0.534300,0.007010,-0.001700,-76.219686,3200000.000000,7.000000,-0.993778,0.007010,0.007010,-141.765737,0.850000
-4.550000,-0.517700,0.006910,-0.001600,-74.920405,3200000.000000,7.000000,-0.962902,0.006910,0.006910,-139.349123,0.850000
-4.400000,-0.500800,0.006860,-0.001400,-73.002915,3200000.000000,7.000000,-0.931469,0.006860,0.006860,-135.782665,0.850000
-4.250000,-0.484000,0.006770,-0.001300,-71.491876,3200000.000000,7.000000,-0.900222,0.006770,0.006770,-132.972188,0.850000
-4.100000,-0.467000,0.006700,-0.001200,-69.701493,3200000.000000,7.000000,-0.868602,0.006700,0.006700,-129.642143,0.850000
-3.950000,-0.450200,0.006630,-0.001100,-67.903469,3200000.000000,7.000000,-0.837355,0.006630,0.006630,-126.297887,0.850000
-3.800000,-0.433300,0.006570,-0.001000,-65.951294,3200000.000000,7.000000,-0.805922,0.006570,0.006570,-122.666915,0.850000
-3.650000,-0.416300,0.006510,-0.000900,-63.947773,3200000.000000,7.000000,-0.774302,0.006510,0.006510,-118.940441,0.850000
-3.500000,-0.399400,0.006430,-0.000800,-62.115086,3200000.000000,7.000000,-0.742869,0.006430,0.006430,-115.531712,0.850000
-3.350000,-0.382500,0.006360,-0.000700,-60.141509,3200000.000000,7.000000,-0.711436,0.006360,0.006360,-111.860935,0.850000
-3.200000,-0.365500,0.006310,-0.000600,-57.923930,3200000.000000,7.000000,-0.679816,0.006310,0.006310,-107.736322,0.850000
-3.050000,-0.348500,0.006260,-0.000600,-55.670927,3200000.000000,7.000000,-0.648197,0.006260,0.006260,-103.545820,0.850000
-2.900000,-0.331600,0.006190,-0.000500,-53.570275,3200000.000000,7.000000,-0.616763,0.006190,0.006190,-99.638687,0.850000
-2.750000,-0.314500,0.006130,-0.000400,-51.305057,3200000.000000,7.000000,-0.584958,0.006130,0.006130,-95.425468,0.850000
-2.600000,-0.297400,0.006090,-0.000400,-48.834154,3200000.000000,7.000000,-0.553153,0.006090,0.006090,-90.829682,0.850000
-2.450000,-0.280300,0.006040,-0.000300,-46.407285,3200000.000000,7.000000,-0.521347,0.006040,0.006040,-86.315796,0.850000
-2.300000,-0.263300,0.005980,-0.000300,-44.030100,3200000.000000,7.000000,-0.489728,0.005980,0.005980,-81.894323,0.850000
-2.150000,-0.246300,0.005940,-0.000200,-41.464646,3200000.000000,7.000000,-0.458109,0.005940,0.005940,-77.122676,0.850000
-2.000000,-0.229100,0.005890,-0.000200,-38.896435,3200000.000000,7.000000,-0.426117,0.005890,0.005890,-72.345899,0.850000
-1.850000,-0.212000,0.005850,-0.000200,-36.239316,3200000.000000,7.000000,-0.394312,0.005850,0.005850,-67.403759,0.850000
-1.700000,-0.194800,0.005830,-0.000200,-33.413379,3200000.000000,7.000000,-0.362321,0.005830,0.005830,-62.147623,0.850000
-1.550000,-0.177700,0.005790,-0.000100,-30.690846,3200000.000000,7.000000,-0.330515,0.005790,0.005790,-57.083815,0.850000
-1.400000,-0.160600,0.005760,-0.000100,-27.881944,3200000.000000,7.000000,-0.298710,0.005760,0.005760,-51.859363,0.850000
-1.250000,-0.143400,0.005720,-0.000100,-25.069930,3200000.000000,7.000000,-0.266719,0.005720,0.005720,-46.629123,0.850000
-1.100000,-0.126200,0.005700,-0.000100,-22.140351,3200000.000000,7.000000,-0.234727,0.005700,0.005700,-41.180216,0.850000
-0.950000,-0.109000,0.005680,-0.000100,-19.190141,3200000.000000,7.000000,-0.202736,0.005680,0.005680,-35.692937,0.850000
-0.800000,-0.091800,0.005670,-0.000100,-16.190476,3200000.000000,7.000000,-0.170745,0.005670,0.005670,-30.113674,0.850000
-0.650000,-0.074600,0.005660,-0.000000,-13.180212,3200000.000000,7.000000,-0.138753,0.005660,0.005660,-24.514696,0.850000
-0.500000,-0.057400,0.005640,-0.000000,-10.177305,3200000.000000,7.000000,-0.106762,0.005640,0.005640,-18.929403,0.850000
-0.350000,-0.040200,0.005620,-0.000000,-7.153025,3200000.000000,7.000000,-0.074770,0.005620,0.005620,-13.304356,0.850000
-0.200000,-0.023000,0.005610,-0.000000,-4.099822,3200000.000000,7.000000,-0.042779,0.005610,0.005610,-7.625514,0.850000
-0.050000,-0.005800,0.005610,-0.000000,-1.033868,3200000.000000,7.000000,-0.010788,0.005610,0.005610,-1.922956,0.850000
0.100000,0.011500,0.005630,0.000000,2.042629,3200000.000000,7.000000,0.021390,0.005630,0.005630,3.799212,0.850000
0.250000,0.028700,0.005630,0.000000,5.097691,3200000.000000,7.000000,0.053381,0.005630,0.005630,9.481513,0.850000
0.400000,0.046000,0.005630,0.000000,8.170515,3200000.000000,7.000000,0.085558,0.005630,0.005630,15.196849,0.850000
0.550000,0.063200,0.005630,0.000000,11.225577,3200000.000000,7.000000,0.117550,0.005630,0.005630,20.879150,0.850000
0.700000,0.080400,0.005650,0.000000,14.230088,3200000.000000,7.000000,0.149541,0.005650,0.005650,26.467427,0.850000
0.850000,0.097600,0.005670,0.000000,17.213404,3200000.000000,7.000000,0.181532,0.005670,0.005670,32.016281,0.850000
1.000000,0.114800,0.005700,0.000100,20.140351,3200000.000000,7.000000,0.213524,0.005700,0.005700,37.460292,0.850000
1.150000,0.132000,0.005710,0.000100,23.117338,3200000.000000,7.000000,0.245515,0.005710,0.005710,42.997375,0.850000
1.300000,0.149100,0.005730,0.000100,26.020942,3200000.000000,7.000000,0.277320,0.005730,0.005730,48.397970,0.850000
1.450000,0.166300,0.005760,0.000100,28.871528,3200000.000000,7.000000,0.309312,0.005760,0.005760,53.699951,0.850000
1.600000,0.183500,0.005800,0.000100,31.637931,3200000.000000,7.000000,0.341303,0.005800,0.005800,58.845356,0.850000
1.750000,0.200600,0.005840,0.000200,34.349315,3200000.000000,7.000000,0.373108,0.005840,0.005840,63.888428,0.850000
1.900000,0.217700,0.005880,0.000200,37.023810,3200000.000000,7.000000,0.404914,0.005880,0.005880,68.862887,0.850000
2.050000,0.234800,0.005910,0.000200,39.729272,3200000.000000,7.000000,0.436719,0.005910,0.005910,73.894946,0.850000
2.200000,0.252000,0.005950,0.000300,42.352941,3200000.000000,7.000000,0.468710,0.005950,0.005950,78.774870,0.850000
2.350000,0.269100,0.005990,0.000300,44.924875,3200000.000000,7.000000,0.500516,0.005990,0.005990,83.558570,0.850000
2.500000,0.286100,0.006060,0.000300,47.211221,3200000.000000,7.000000,0.532135,0.006060,0.006060,87.811088,0.850000
2.650000,0.303100,0.006110,0.000400,49.607201,3200000.000000,7.000000,0.563755,0.006110,0.006110,92.267520,0.850000
2.800000,0.320100,0.006160,0.000500,51.964286,3200000.000000,7.000000,0.595374,0.006160,0.006160,96.651608,0.850000
2.950000,0.337200,0.006200,0.000500,54.387097,3200000.000000,7.000000,0.627179,0.006200,0.006200,101.157945,0.850000
3.100000,0.354200,0.006260,0.000600,56.581470,3200000.000000,7.000000,0.658799,0.006260,0.006260,105.239396,0.850000
3.250000,0.371200,0.006340,0.000600,58.548896,3200000.000000,7.000000,0.690418,0.006340,0.006340,108.898734,0.850000
3.400000,0.388100,0.006400,0.000700,60.640625,3200000.000000,7.000000,0.721851,0.006400,0.006400,112.789271,0.850000
3.550000,0.405200,0.006440,0.000800,62.919255,3200000.000000,7.000000,0.753657,0.006440,0.006440,117.027437,0.850000
3.700000,0.422000,0.006520,0.000900,64.723926,3200000.000000,7.000000,0.784904,0.006520,0.006520,120.384058,0.850000
3.850000,0.438900,0.006590,0.001000,66.600910,3200000.000000,7.000000,0.816337,0.006590,0.006590,123.875177,0.850000
4.000000,0.456000,0.006650,0.001100,68.571429,3200000.000000,7.000000,0.848143,0.006650,0.006650,127.540267,0.850000
4.150000,0.472700,0.006740,0.001200,70.133531,3200000.000000,7.000000,0.879204,0.006740,0.006740,130.445718,0.850000
4.300000,0.489600,0.006790,0.001300,72.106038,3200000.000000,7.000000,0.910638,0.006790,0.006790,134.114507,0.850000
4.450000,0.506400,0.006870,0.001500,73.711790,3200000.000000,7.000000,0.941885,0.006870,0.006870,137.101145,0.850000
4.600000,0.523400,0.006940,0.001600,75.417867,3200000.000000,7.000000,0.973504,0.006940,0.006940,140.274384,0.850000
4.750000,0.540000,0.007020,0.001800,76.923077,3200000.000000,7.000000,1.004380,0.007020,0.007020,143.074017,0.850000
4.900000,0.556800,0.007090,0.001900,78.533145,3200000.000000,7.000000,1.035627,0.007090,0.007090,146.068683,0.850000
5.050000,0.573600,0.007190,0.002100,79.777469,3200000.000000,7.000000,1.066874,0.007190,0.007190,148.383078,0.850000
5.200000,0.590400,0.007250,0.002200,81.434483,3200000.000000,7.000000,1.098122,0.007250,0.007250,151.465061,0.850000
5.350000,0.607000,0.007350,0.002400,82.585034,3200000.000000,7.000000,1.128997,0.007350,0.007350,153.605043,0.850000
5.500000,0.623600,0.007430,0.002600,83.930013,3200000.000000,7.000000,1.159872,0.007430,0.007430,156.106654,0.850000
5.650000,0.640300,0.007520,0.002800,85.146277,3200000.000000,7.000000,1.190934,0.007520,0.007520,158.368858,0.850000
5.800000,0.656700,0.007620,0.003100,86.181102,3200000.000000,7.000000,1.221437,0.007620,0.007620,160.293594,0.850000
5.950000,0.673400,0.007700,0.003300,87.454545,3200000.000000,7.000000,1.252499,0.007700,0.007700,162.662151,0.850000
6.100000,0.689700,0.007810,0.003600,88.309859,3200000.000000,7.000000,1.282816,0.007810,0.007810,164.253002,0.850000
6.250000,0.706100,0.007920,0.003800,89.154040,3200000.000000,7.000000,1.313319,0.007920,0.007920,165.823147,0.850000
6.400000,0.722400,0.008010,0.004100,90.187266,3200000.000000,7.000000,1.343637,0.008010,0.008010,167.744907,0.850000
6.550000,0.738900,0.008120,0.004400,90.997537,3200000.000000,7.000000,1.374326,0.008120,0.008120,169.251981,0.850000
6.700000,0.754900,0.008240,0.004700,91.614078,3200000.000000,7.000000,1.404085,0.008240,0.008240,170.398723,0.850000
6.850000,0.771400,0.008340,0.005000,92.494005,3200000.000000,7.000000,1.434775,0.008340,0.008340,172.035354,0.850000
