alpha,cl_corrected
-5.000000,-1.035255
-4.850000,-1.005310
-4.700000,-0.974806
-4.550000,-0.944861
-4.400000,-0.914543
-4.250000,-0.884040
-4.100000,-0.853537
-3.950000,-0.823405
-3.800000,-0.792530
-3.650000,-0.761841
-3.500000,-0.731523
-3.350000,-0.700648
-3.200000,-0.669772
-3.050000,-0.638897
-2.900000,-0.608022
-2.750000,-0.576960
-2.450000,-0.514652
-2.300000,-0.483404
-2.150000,-0.452343
-2.000000,-0.421095
-1.850000,-0.389662
-1.700000,-0.358229
-1.550000,-0.326795
-1.400000,-0.295362
-1.250000,-0.263743
-1.100000,-0.232309
-0.950000,-0.200504
-0.800000,-0.168885
-0.650000,-0.137265
-0.500000,-0.105646
-0.350000,-0.074026
-0.200000,-0.042221
-0.050000,-0.010602
0.250000,0.052823
0.400000,0.084628
0.550000,0.116248
0.700000,0.147867
0.850000,0.179486
1.000000,0.211106
1.150000,0.242725
1.300000,0.274344
1.600000,0.337397
1.750000,0.368831
1.900000,0.400078
2.050000,0.431511
2.200000,0.462759
2.500000,0.525253
2.650000,0.556315
2.800000,0.587376
2.950000,0.618251
3.100000,0.649313
3.250000,0.680002
3.400000,0.710878
3.550000,0.741753
3.700000,0.772442
3.850000,0.802760
4.000000,0.833449
4.150000,0.863952
4.300000,0.894270
4.450000,0.924773
4.600000,0.954905
4.750000,0.985222
4.900000,1.015353
5.050000,1.045485
5.200000,1.075616
5.350000,1.105748
5.500000,1.136437
5.650000,1.167498
5.800000,1.198374
5.950000,1.229993
6.100000,1.264216
6.250000,1.297138
6.400000,1.327827
6.550000,1.364840
6.700000,1.401110
6.850000,1.437379
7.000000,1.473276
7.150000,1.508987
7.300000,1.544513
7.450000,1.580968
7.600000,1.618725
7.750000,1.656296
7.900000,1.693868
8.050000,1.731067
8.200000,1.767708
8.350000,1.803977
8.500000,1.840805
8.650000,1.877446
8.800000,1.902555
8.950000,1.926549
9.100000,1.950356
9.250000,1.975280
9.400000,2.000575
9.550000,2.025871
9.700000,2.051166
9.850000,2.076276
10.000000,2.101385
10.150000,2.126309
10.300000,2.151790
10.450000,2.178388
10.600000,2.205171
10.750000,2.231583
10.900000,2.257994
11.050000,2.284034
11.200000,2.309701
11.350000,2.334625
11.500000,2.358432
11.650000,2.383356
11.800000,2.408837
11.950000,2.433947
12.100000,2.458498
12.250000,2.482492
12.400000,2.506113
12.550000,2.528805
12.700000,2.551124
12.850000,2.572328
13.000000,2.592601
13.150000,2.611015
13.300000,2.625895
13.450000,2.635752
13.600000,2.650260
13.750000,2.664954
13.900000,2.678904
14.050000,2.692109
14.200000,2.704385
14.350000,2.715917
14.500000,2.726705
14.650000,2.736562
14.800000,2.745118
14.950000,2.752744
15.100000,2.759440
15.250000,2.765020
15.400000,2.769484
15.550000,2.772274
15.700000,2.774134
15.850000,2.773762
16.000000,2.772088
16.150000,2.767624
16.300000,2.761114
16.450000,2.751070
16.600000,2.739166
16.750000,2.723357
16.900000,2.704757
17.050000,2.682996
17.200000,2.656584
17.350000,2.628127
17.500000,2.597623
17.650000,2.563028
17.800000,2.525829
17.950000,2.486583
18.100000,2.445106
18.250000,2.400281
18.400000,2.356572
18.550000,2.311747
18.700000,2.265434
18.850000,2.223399
19.000000,2.183224
19.150000,2.149186
19.300000,2.115707
19.450000,2.084646
19.600000,2.061582
19.750000,2.036845
19.900000,2.017501
20.050000,1.998157
20.200000,1.985138
20.350000,1.967282
20.500000,1.957610
20.650000,1.944591
20.800000,1.934919
20.950000,1.928037
21.100000,1.916505
21.250000,1.908135
21.400000,1.899765
21.550000,1.883956
21.700000,1.856056
22.000000,1.712281
22.150000,1.721023
22.300000,1.730137
22.450000,1.738879
22.600000,1.747435
22.750000,1.756176
22.900000,1.755432
23.050000,1.762128
