alpha,ld_corrected
-5.000000,-133.409146
-4.850000,-131.757481
-4.700000,-129.456335
-4.550000,-127.511580
-4.400000,-125.451773
-4.250000,-122.613043
-4.100000,-120.385989
-3.950000,-117.797607
-3.800000,-114.859406
-3.650000,-111.870855
-3.500000,-108.857610
-3.350000,-105.678396
-3.200000,-102.255328
-3.050000,-98.747608
-2.900000,-94.855172
-2.750000,-91.003199
-2.450000,-82.874645
-2.300000,-78.474705
-2.150000,-74.154559
-2.000000,-69.602553
-1.850000,-64.835621
-1.700000,-60.105491
-1.550000,-55.108830
-1.400000,-50.061356
-1.250000,-44.930604
-1.100000,-39.710988
-0.950000,-34.391754
-0.800000,-29.067912
-0.650000,-23.707290
-0.500000,-18.309507
-0.350000,-12.851822
-0.200000,-7.330059
-0.050000,-1.840588
0.250000,9.154753
0.400000,14.666946
0.550000,20.112048
0.700000,25.538341
0.850000,30.945923
1.000000,36.210242
1.150000,41.491465
1.300000,46.578001
1.600000,56.705403
1.750000,61.677343
1.900000,66.458119
2.050000,71.089166
2.200000,75.614150
2.500000,84.445873
2.650000,88.444308
2.800000,92.500168
2.950000,96.151080
3.100000,99.740831
3.250000,103.343798
3.400000,106.738372
3.550000,110.052364
3.700000,113.095507
3.850000,115.838340
4.000000,118.724939
4.150000,121.341636
4.300000,123.688774
4.450000,125.990901
4.600000,128.347393
4.750000,130.148215
4.900000,132.379840
5.050000,134.208570
5.200000,135.981814
5.350000,137.530789
5.500000,139.269230
5.650000,140.832121
5.800000,142.493895
5.950000,143.523106
6.100000,145.479439
6.250000,146.735029
6.400000,147.864925
6.550000,149.489625
6.700000,150.656940
6.850000,152.264704
7.000000,153.466258
7.150000,154.293185
7.300000,155.540043
7.450000,156.686609
7.600000,157.463533
7.750000,158.194494
7.900000,159.497890
8.050000,160.283966
8.200000,160.554777
8.350000,160.639124
8.500000,161.615857
8.650000,162.128313
8.800000,161.781918
8.950000,161.217478
9.100000,160.259358
9.250000,160.071303
9.400000,159.918095
9.550000,159.517390
9.700000,159.005142
9.850000,158.373442
10.000000,157.525136
10.150000,156.231360
10.300000,155.139891
10.450000,154.715039
10.600000,154.207777
10.750000,153.584492
10.900000,152.773622
11.050000,151.763030
11.200000,150.567215
11.350000,149.082029
11.500000,147.126144
11.650000,145.770984
11.800000,144.848892
11.950000,143.765302
12.100000,142.521627
12.250000,141.211125
12.400000,139.850061
12.550000,138.337234
12.700000,136.716194
12.850000,134.959483
13.000000,133.022131
13.150000,130.812373
13.300000,128.217513
13.450000,125.035696
13.600000,122.981910
13.750000,121.079231
13.900000,118.903843
14.050000,116.642518
14.200000,114.205450
14.350000,111.582450
14.500000,108.850484
14.650000,105.986151
14.800000,102.929068
14.950000,99.737105
15.100000,96.382813
15.250000,92.973095
15.400000,89.424725
15.550000,85.669768
15.700000,81.953727
15.850000,78.046192
16.000000,74.100179
16.150000,70.030966
16.300000,65.992206
16.450000,61.807911
16.600000,57.800514
16.750000,53.800013
16.900000,49.949346
17.050000,46.258543
17.200000,42.682906
17.350000,39.408106
17.500000,36.401671
17.650000,33.556270
17.800000,30.927252
17.950000,28.506059
18.100000,26.294293
18.250000,24.211027
18.400000,22.383854
18.550000,20.714579
18.700000,19.169352
18.850000,17.855757
19.000000,16.692589
19.150000,15.738037
19.300000,14.855407
19.450000,14.064537
19.600000,13.450657
19.750000,12.845892
19.900000,12.352299
20.050000,11.876827
20.200000,11.508045
20.350000,11.087027
20.500000,10.789298
20.650000,10.457036
20.800000,10.178961
20.950000,9.944998
21.100000,9.661752
21.250000,9.421960
21.400000,9.186931
21.550000,8.874444
21.700000,8.431637
22.000000,6.563482
22.150000,6.547050
22.300000,6.537700
22.450000,6.523404
22.600000,6.507167
22.750000,6.493774
22.900000,6.342796
23.050000,6.294889
