alpha,cl,cd,cm,ld,re,ncrit,cl_corrected,cd_original,cd_corrected,ld_corrected,mach_corrected
-5.000000,-0.556600,0.007760,-0.004700,-71.726804,1800000.000000,7.000000,-1.035255,0.007760,0.007760,-133.409146,0.850000
-4.850000,-0.540500,0.007630,-0.004400,-70.838794,1800000.000000,7.000000,-1.005310,0.007630,0.007630,-131.757481,0.850000
-4.700000,-0.524100,0.007530,-0.004100,-69.601594,1800000.000000,7.000000,-0.974806,0.007530,0.007530,-129.456335,0.850000
-4.550000,-0.508000,0.007410,-0.003800,-68.556005,1800000.000000,7.000000,-0.944861,0.007410,0.007410,-127.511580,0.850000
-4.400000,-0.491700,0.007290,-0.003600,-67.448560,1800000.000000,7.000000,-0.914543,0.007290,0.007290,-125.451773,0.850000
-4.250000,-0.475300,0.007210,-0.003300,-65.922330,1800000.000000,7.000000,-0.884040,0.007210,0.007210,-122.613043,0.850000
-4.100000,-0.458900,0.007090,-0.003100,-64.724965,1800000.000000,7.000000,-0.853537,0.007090,0.007090,-120.385989,0.850000
-3.950000,-0.442700,0.006990,-0.002800,-63.333333,1800000.000000,7.000000,-0.823405,0.006990,0.006990,-117.797607,0.850000
-3.800000,-0.426100,0.006900,-0.002700,-61.753623,1800000.000000,7.000000,-0.792530,0.006900,0.006900,-114.859406,0.850000
-3.650000,-0.409600,0.006810,-0.002500,-60.146843,1800000.000000,7.000000,-0.761841,0.006810,0.006810,-111.870855,0.850000
-3.500000,-0.393300,0.006720,-0.002200,-58.526786,1800000.000000,7.000000,-0.731523,0.006720,0.006720,-108.857610,0.850000
-3.350000,-0.376700,0.006630,-0.002100,-56.817496,1800000.000000,7.000000,-0.700648,0.006630,0.006630,-105.678396,0.850000
-3.200000,-0.360100,0.006550,-0.001900,-54.977099,1800000.000000,7.000000,-0.669772,0.006550,0.006550,-102.255328,0.850000
-3.050000,-0.343500,0.006470,-0.001700,-53.091190,1800000.000000,7.000000,-0.638897,0.006470,0.006470,-98.747608,0.850000
-2.900000,-0.326900,0.006410,-0.001600,-50.998440,1800000.000000,7.000000,-0.608022,0.006410,0.006410,-94.855172,0.850000
-2.750000,-0.310200,0.006340,-0.001400,-48.927445,1800000.000000,7.000000,-0.576960,0.006340,0.006340,-91.003199,0.850000
-2.450000,-0.276700,0.006210,-0.001200,-44.557166,1800000.000000,7.000000,-0.514652,0.006210,0.006210,-82.874645,0.850000
-2.300000,-0.259900,0.006160,-0.001100,-42.191558,1800000.000000,7.000000,-0.483404,0.006160,0.006160,-78.474705,0.850000
-2.150000,-0.243200,0.006100,-0.001000,-39.868852,1800000.000000,7.000000,-0.452343,0.006100,0.006100,-74.154559,0.850000
-2.000000,-0.226400,0.006050,-0.000900,-37.421488,1800000.000000,7.000000,-0.421095,0.006050,0.006050,-69.602553,0.850000
-1.850000,-0.209500,0.006010,-0.000800,-34.858569,1800000.000000,7.000000,-0.389662,0.006010,0.006010,-64.835621,0.850000
-1.700000,-0.192600,0.005960,-0.000700,-32.315436,1800000.000000,7.000000,-0.358229,0.005960,0.005960,-60.105491,0.850000
-1.550000,-0.175700,0.005930,-0.000600,-29.629005,1800000.000000,7.000000,-0.326795,0.005930,0.005930,-55.108830,0.850000
-1.400000,-0.158800,0.005900,-0.000500,-26.915254,1800000.000000,7.000000,-0.295362,0.005900,0.005900,-50.061356,0.850000
-1.250000,-0.141800,0.005870,-0.000500,-24.156729,1800000.000000,7.000000,-0.263743,0.005870,0.005870,-44.930604,0.850000
-1.100000,-0.124900,0.005850,-0.000400,-21.350427,1800000.000000,7.000000,-0.232309,0.005850,0.005850,-39.710988,0.850000
-0.950000,-0.107800,0.005830,-0.000300,-18.490566,1800000.000000,7.000000,-0.200504,0.005830,0.005830,-34.391754,0.850000
-0.800000,-0.090800,0.005810,-0.000300,-15.628227,1800000.000000,7.000000,-0.168885,0.005810,0.005810,-29.067912,0.850000
-0.650000,-0.073800,0.005790,-0.000200,-12.746114,1800000.000000,7.000000,-0.137265,0.005790,0.005790,-23.707290,0.850000
-0.500000,-0.056800,0.005770,-0.000200,-9.844021,1800000.000000,7.000000,-0.105646,0.005770,0.005770,-18.309507,0.850000
-0.350000,-0.039800,0.005760,-0.000100,-6.909722,1800000.000000,7.000000,-0.074026,0.005760,0.005760,-12.851822,0.850000
-0.200000,-0.022700,0.005760,-0.000100,-3.940972,1800000.000000,7.000000,-0.042221,0.005760,0.005760,-7.330059,0.850000
-0.050000,-0.005700,0.005760,-0.000000,-0.989583,1800000.000000,7.000000,-0.010602,0.005760,0.005760,-1.840588,0.850000
0.250000,0.028400,0.005770,0.000100,4.922010,1800000.000000,7.000000,0.052823,0.005770,0.005770,9.154753,0.850000
0.400000,0.045500,0.005770,0.000100,7.885615,1800000.000000,7.000000,0.084628,0.005770,0.005770,14.666946,0.850000
0.550000,0.062500,0.005780,0.000200,10.813149,1800000.000000,7.000000,0.116248,0.005780,0.005780,20.112048,0.850000
0.700000,0.079500,0.005790,0.000200,13.730570,1800000.000000,7.000000,0.147867,0.005790,0.005790,25.538341,0.850000
0.850000,0.096500,0.005800,0.000300,16.637931,1800000.000000,7.000000,0.179486,0.005800,0.005800,30.945923,0.850000
1.000000,0.113500,0.005830,0.000400,19.468268,1800000.000000,7.000000,0.211106,0.005830,0.005830,36.210242,0.850000
1.150000,0.130500,0.005850,0.000400,22.307692,1800000.000000,7.000000,0.242725,0.005850,0.005850,41.491465,0.850000
1.300000,0.147500,0.005890,0.000500,25.042445,1800000.000000,7.000000,0.274344,0.005890,0.005890,46.578001,0.850000
1.600000,0.181400,0.005950,0.000600,30.487395,1800000.000000,7.000000,0.337397,0.005950,0.005950,56.705403,0.850000
1.750000,0.198300,0.005980,0.000700,33.160535,1800000.000000,7.000000,0.368831,0.005980,0.005980,61.677343,0.850000
1.900000,0.215100,0.006020,0.000800,35.730897,1800000.000000,7.000000,0.400078,0.006020,0.006020,66.458119,0.850000
2.050000,0.232000,0.006070,0.000900,38.220758,1800000.000000,7.000000,0.431511,0.006070,0.006070,71.089166,0.850000
2.200000,0.248800,0.006120,0.001000,40.653595,1800000.000000,7.000000,0.462759,0.006120,0.006120,75.614150,0.850000
2.500000,0.282400,0.006220,0.001200,45.401929,1800000.000000,7.000000,0.525253,0.006220,0.006220,84.445873,0.850000
2.650000,0.299100,0.006290,0.001400,47.551669,1800000.000000,7.000000,0.556315,0.006290,0.006290,88.444308,0.850000
2.800000,0.315800,0.006350,0.001500,49.732283,1800000.000000,7.000000,0.587376,0.006350,0.006350,92.500168,0.850000
2.950000,0.332400,0.006430,0.001600,51.695179,1800000.000000,7.000000,0.618251,0.006430,0.006430,96.151080,0.850000
3.100000,0.349100,0.006510,0.001800,53.625192,1800000.000000,7.000000,0.649313,0.006510,0.006510,99.740831,0.850000
3.250000,0.365600,0.006580,0.001900,55.562310,1800000.000000,7.000000,0.680002,0.006580,0.006580,103.343798,0.850000
3.400000,0.382200,0.006660,0.002100,57.387387,1800000.000000,7.000000,0.710878,0.006660,0.006660,106.738372,0.850000
3.550000,0.398800,0.006740,0.002300,59.169139,1800000.000000,7.000000,0.741753,0.006740,0.006740,110.052364,0.850000
3.700000,0.415300,0.006830,0.002500,60.805271,1800000.000000,7.000000,0.772442,0.006830,0.006830,113.095507,0.850000
3.850000,0.431600,0.006930,0.002700,62.279942,1800000.000000,7.000000,0.802760,0.006930,0.006930,115.838340,0.850000
4.000000,0.448100,0.007020,0.002900,63.831909,1800000.000000,7.000000,0.833449,0.007020,0.007020,118.724939,0.850000
4.150000,0.464500,0.007120,0.003200,65.238764,1800000.000000,7.000000,0.863952,0.007120,0.007120,121.341636,0.850000
4.300000,0.480800,0.007230,0.003400,66.500692,1800000.000000,7.000000,0.894270,0.007230,0.007230,123.688774,0.850000
4.450000,0.497200,0.007340,0.003600,67.738420,1800000.000000,7.000000,0.924773,0.007340,0.007340,125.990901,0.850000
4.600000,0.513400,0.007440,0.003900,69.005376,1800000.000000,7.000000,0.954905,0.007440,0.007440,128.347393,0.850000
4.750000,0.529700,0.007570,0.004200,69.973580,1800000.000000,7.000000,0.985222,0.007570,0.007570,130.148215,0.850000
4.900000,0.545900,0.007670,0.004500,71.173403,1800000.000000,7.000000,1.015353,0.007670,0.007670,132.379840,0.850000
5.050000,0.562100,0.007790,0.004800,72.156611,1800000.000000,7.000000,1.045485,0.007790,0.007790,134.208570,0.850000
5.200000,0.578300,0.007910,0.005100,73.109987,1800000.000000,7.000000,1.075616,0.007910,0.007910,135.981814,0.850000
5.350000,0.594500,0.008040,0.005400,73.942786,1800000.000000,7.000000,1.105748,0.008040,0.008040,137.530789,0.850000
5.500000,0.611000,0.008160,0.005600,74.877451,1800000.000000,7.000000,1.136437,0.008160,0.008160,139.269230,0.850000
5.650000,0.627700,0.008290,0.005800,75.717732,1800000.000000,7.000000,1.167498,0.008290,0.008290,140.832121,0.850000
5.800000,0.644300,0.008410,0.006000,76.611177,1800000.000000,7.000000,1.198374,0.008410,0.008410,142.493895,0.850000
5.950000,0.661300,0.008570,0.006100,77.164527,1800000.000000,7.000000,1.229993,0.008570,0.008570,143.523106,0.850000
6.100000,0.679700,0.008690,0.005900,78.216341,1800000.000000,7.000000,1.264216,0.008690,0.008690,145.479439,0.850000
6.250000,0.697400,0.008840,0.005800,78.891403,1800000.000000,7.000000,1.297138,0.008840,0.008840,146.735029,0.850000
6.400000,0.713900,0.008980,0.006100,79.498886,1800000.000000,7.000000,1.327827,0.008980,0.008980,147.864925,0.850000
6.550000,0.733800,0.009130,0.005500,80.372399,1800000.000000,7.000000,1.364840,0.009130,0.009130,149.489625,0.850000
6.700000,0.753300,0.009300,0.005000,81.000000,1800000.000000,7.000000,1.401110,0.009300,0.009300,150.656940,0.850000
6.850000,0.772800,0.009440,0.004600,81.864407,1800000.000000,7.000000,1.437379,0.009440,0.009440,152.264704,0.850000
7.000000,0.792100,0.009600,0.004200,82.510417,1800000.000000,7.000000,1.473276,0.009600,0.009600,153.466258,0.850000
7.150000,0.811300,0.009780,0.003800,82.955010,1800000.000000,7.000000,1.508987,0.009780,0.009780,154.293185,0.850000
7.300000,0.830400,0.009930,0.003400,83.625378,1800000.000000,7.000000,1.544513,0.009930,0.009930,155.540043,0.850000
7.450000,0.850000,0.010090,0.002900,84.241824,1800000.000000,7.000000,1.580968,0.010090,0.010090,156.686609,0.850000
