alpha,cl_corrected
-5.000000,-1.067990
-4.850000,-1.036371
-4.700000,-1.004566
-4.550000,-0.972574
-4.400000,-0.940769
-4.250000,-0.908778
-4.100000,-0.877158
-3.950000,-0.844981
-3.800000,-0.813361
-3.650000,-0.781184
-3.500000,-0.749379
-3.350000,-0.717387
-3.200000,-0.685396
-3.050000,-0.653591
-2.900000,-0.621413
-2.750000,-0.589422
-2.600000,-0.557431
-2.450000,-0.525439
-2.300000,-0.493262
-2.150000,-0.461271
-2.000000,-0.429279
-1.850000,-0.396916
-1.700000,-0.364739
-1.550000,-0.332747
-1.400000,-0.300756
-1.250000,-0.268393
-1.100000,-0.236215
-0.800000,-0.172047
-0.650000,-0.139683
-0.500000,-0.107320
-0.350000,-0.075142
-0.200000,-0.042965
-0.050000,-0.010788
0.100000,0.021576
0.250000,0.053753
0.400000,0.086116
0.550000,0.118108
0.700000,0.150471
0.850000,0.182834
1.000000,0.215012
1.150000,0.247003
1.300000,0.279180
1.450000,0.311544
1.600000,0.343721
1.750000,0.375712
1.900000,0.407704
2.050000,0.439881
2.200000,0.472058
2.350000,0.504050
2.500000,0.536041
2.650000,0.568218
2.800000,0.600210
2.950000,0.632015
3.100000,0.664193
3.250000,0.696184
3.400000,0.727989
3.700000,0.791786
3.850000,0.823963
4.000000,0.855769
4.150000,0.887946
4.300000,0.919565
4.450000,0.951557
4.600000,0.983176
4.750000,1.015353
4.900000,1.046973
5.050000,1.078778
5.200000,1.110397
5.350000,1.142017
5.500000,1.174008
5.650000,1.205442
5.800000,1.236875
5.950000,1.268494
6.100000,1.299742
6.400000,1.362608
6.550000,1.394042
6.700000,1.424545
6.850000,1.455978
7.000000,1.486668
7.150000,1.517729
7.300000,1.547675
7.450000,1.578550
7.600000,1.608867
7.750000,1.638999
7.900000,1.669316
8.050000,1.699633
8.200000,1.730509
8.350000,1.761198
8.500000,1.794864
8.650000,1.828157
8.800000,1.861078
8.950000,1.893070
9.250000,1.963562
9.400000,1.999273
9.550000,2.034613
9.700000,2.069766
9.850000,2.104733
10.000000,2.139887
10.150000,2.174854
10.300000,2.209449
10.450000,2.241440
10.600000,2.267108
10.750000,2.292961
10.900000,2.319001
11.050000,2.345412
11.200000,2.373312
11.350000,2.401211
11.500000,2.429297
11.650000,2.457382
11.800000,2.485468
11.950000,2.513367
12.100000,2.540894
12.250000,2.568236
12.400000,2.595391
12.550000,2.621989
12.700000,2.648214
12.850000,2.674440
13.000000,2.701409
13.150000,2.728007
13.300000,2.754232
13.450000,2.779900
13.600000,2.805381
13.750000,2.830119
13.900000,2.854484
14.050000,2.878106
14.200000,2.901169
14.350000,2.923489
14.500000,2.944692
14.650000,2.964222
14.800000,2.980403
14.950000,2.994539
15.100000,3.008117
15.250000,3.020765
15.400000,3.032482
15.550000,3.044572
15.700000,3.057964
15.850000,3.070798
16.000000,3.082515
16.150000,3.093861
16.300000,3.104463
16.450000,3.113763
16.600000,3.122691
16.750000,3.130130
16.900000,3.136826
17.050000,3.142778
17.200000,3.147428
17.350000,3.150590
17.500000,3.152636
17.650000,3.153566
17.800000,3.152078
17.950000,3.149660
18.100000,3.144638
18.250000,3.137942
18.400000,3.129014
18.550000,3.117483
18.700000,3.101301
18.850000,3.084561
19.000000,3.062242
19.150000,3.036202
19.300000,3.008303
19.450000,2.974824
19.600000,2.936322
19.750000,2.895589
19.900000,2.847788
20.050000,2.793291
20.200000,2.740282
20.350000,2.674626
20.500000,2.610643
20.650000,2.541266
20.800000,2.476168
20.950000,2.395073
21.100000,2.334253
21.250000,2.275106
21.400000,2.221911
21.550000,2.176900
21.700000,2.135423
21.850000,2.118683
22.000000,2.088366
22.150000,2.074602
22.300000,2.055072
22.450000,2.047818
22.600000,2.030149
22.750000,2.026429
22.900000,2.022337
23.050000,2.009875
