alpha,ld_corrected
-5.000000,-156.138934
-4.850000,-153.309312
-4.700000,-149.711713
-4.550000,-145.813230
-4.400000,-142.757040
-4.250000,-138.744663
-4.100000,-135.363917
-3.950000,-131.208204
-3.800000,-127.887025
-3.650000,-123.605084
-3.500000,-119.518146
-3.350000,-115.335599
-3.200000,-110.905514
-3.050000,-106.970659
-2.900000,-102.543462
-2.750000,-97.748263
-2.600000,-93.371973
-2.450000,-88.606969
-2.300000,-83.745667
-2.150000,-78.849680
-2.000000,-74.013669
-1.850000,-68.670577
-1.700000,-63.543309
-1.550000,-58.376709
-1.400000,-52.949981
-1.250000,-47.503106
-1.100000,-41.882128
-0.800000,-30.722590
-0.650000,-25.077767
-0.500000,-19.267472
-0.350000,-13.514833
-0.200000,-7.727541
-0.050000,-1.943744
0.100000,3.894506
0.250000,9.685209
0.400000,15.488534
0.550000,21.166237
0.700000,26.917879
0.850000,32.648980
1.000000,38.326494
1.150000,43.794855
1.300000,49.325147
1.450000,54.752842
1.600000,60.196325
1.750000,65.341281
1.900000,70.536976
2.050000,75.580939
2.200000,80.556043
2.350000,85.432163
2.500000,90.242611
2.650000,94.861178
2.800000,99.537282
2.950000,103.779173
3.100000,108.528188
3.250000,112.651110
3.400000,116.852201
3.700000,124.887369
3.850000,129.147847
4.000000,132.471922
4.150000,136.607071
4.300000,139.964280
4.450000,143.957136
4.600000,146.962037
4.750000,150.869744
4.900000,153.966578
5.050000,157.485852
5.200000,160.462059
5.350000,163.145258
5.500000,166.762522
5.650000,169.541704
5.800000,171.788177
5.950000,174.723724
6.100000,177.076512
6.400000,181.923675
6.550000,183.910512
6.700000,185.487639
6.850000,187.384611
7.000000,189.384433
7.150000,190.669494
7.300000,191.781235
7.450000,193.449747
7.600000,194.778126
7.750000,195.818245
7.900000,196.159353
8.050000,196.944783
8.200000,197.998724
8.350000,198.780838
8.500000,199.651117
8.650000,199.798565
8.800000,200.115935
8.950000,200.749687
9.250000,201.804945
9.400000,202.151000
9.550000,202.046939
9.700000,201.731575
9.850000,201.796093
10.000000,202.066717
10.150000,202.123961
10.300000,201.960614
10.450000,201.387284
10.600000,200.451631
10.750000,199.561482
10.900000,198.374756
11.050000,197.093476
11.200000,196.628980
11.350000,195.857359
11.500000,195.124229
11.650000,194.259453
11.800000,193.421596
11.950000,192.300455
12.100000,191.044691
12.250000,189.677683
12.400000,188.071832
12.550000,186.353144
12.700000,184.544544
12.850000,182.680306
13.000000,181.546312
13.150000,180.304467
13.300000,178.846237
13.450000,177.289511
13.600000,175.775753
13.750000,174.054029
13.900000,172.268197
14.050000,170.402933
14.200000,168.378936
14.350000,166.296281
14.500000,164.049704
14.650000,161.626052
14.800000,159.124584
14.950000,156.291189
15.100000,153.318904
15.250000,150.137408
15.400000,146.638414
15.550000,143.341439
15.700000,140.402382
15.850000,137.273027
16.000000,134.022408
16.150000,130.597769
16.300000,127.127885
16.450000,123.366195
16.600000,119.551706
16.750000,115.588273
16.900000,111.511777
17.050000,107.371991
17.200000,103.160540
17.350000,98.826537
17.500000,94.475156
17.650000,90.127635
17.800000,85.677575
17.950000,81.365539
18.100000,76.980125
18.250000,72.688030
18.400000,68.513563
18.550000,64.424110
18.700000,60.231132
18.850000,56.411144
19.000000,52.525588
19.150000,48.790010
19.300000,45.319417
19.450000,41.898924
19.600000,38.625656
19.750000,35.624867
19.900000,32.654376
20.050000,29.817370
20.200000,27.359049
20.350000,24.806397
20.500000,22.616677
20.650000,20.530509
20.800000,18.775915
20.950000,16.888121
21.100000,15.543032
21.250000,14.344025
21.400000,13.324803
21.550000,12.485087
21.700000,11.742124
21.850000,11.355968
22.000000,10.817745
22.150000,10.501655
22.300000,10.128997
22.450000,9.905763
22.600000,9.573013
22.750000,9.400329
22.900000,9.229358
23.050000,8.971455
