alpha,cl,cd,cm,ld,re,ncrit,cl_corrected,cd_original,cd_corrected,ld_corrected,mach_corrected
-5.000000,-0.574200,0.006840,-0.000800,-83.947368,5000000.000000,7.000000,-1.067990,0.006840,0.006840,-156.138934,0.850000
-4.850000,-0.557200,0.006760,-0.000700,-82.426036,5000000.000000,7.000000,-1.036371,0.006760,0.006760,-153.309312,0.850000
-4.700000,-0.540100,0.006710,-0.000600,-80.491803,5000000.000000,7.000000,-1.004566,0.006710,0.006710,-149.711713,0.850000
-4.550000,-0.522900,0.006670,-0.000500,-78.395802,5000000.000000,7.000000,-0.972574,0.006670,0.006670,-145.813230,0.850000
-4.400000,-0.505800,0.006590,-0.000400,-76.752656,5000000.000000,7.000000,-0.940769,0.006590,0.006590,-142.757040,0.850000
-4.250000,-0.488600,0.006550,-0.000400,-74.595420,5000000.000000,7.000000,-0.908778,0.006550,0.006550,-138.744663,0.850000
-4.100000,-0.471600,0.006480,-0.000300,-72.777778,5000000.000000,7.000000,-0.877158,0.006480,0.006480,-135.363917,0.850000
-3.950000,-0.454300,0.006440,-0.000300,-70.543478,5000000.000000,7.000000,-0.844981,0.006440,0.006440,-131.208204,0.850000
-3.800000,-0.437300,0.006360,-0.000200,-68.757862,5000000.000000,7.000000,-0.813361,0.006360,0.006360,-127.887025,0.850000
-3.650000,-0.420000,0.006320,-0.000200,-66.455696,5000000.000000,7.000000,-0.781184,0.006320,0.006320,-123.605084,0.850000
-3.500000,-0.402900,0.006270,-0.000100,-64.258373,5000000.000000,7.000000,-0.749379,0.006270,0.006270,-119.518146,0.850000
-3.350000,-0.385700,0.006220,-0.000100,-62.009646,5000000.000000,7.000000,-0.717387,0.006220,0.006220,-115.335599,0.850000
-3.200000,-0.368500,0.006180,-0.000100,-59.627832,5000000.000000,7.000000,-0.685396,0.006180,0.006180,-110.905514,0.850000
-3.050000,-0.351400,0.006110,-0.000000,-57.512275,5000000.000000,7.000000,-0.653591,0.006110,0.006110,-106.970659,0.850000
-2.900000,-0.334100,0.006060,-0.000000,-55.132013,5000000.000000,7.000000,-0.621413,0.006060,0.006060,-102.543462,0.850000
-2.750000,-0.316900,0.006030,0.000000,-52.553897,5000000.000000,7.000000,-0.589422,0.006030,0.006030,-97.748263,0.850000
-2.600000,-0.299700,0.005970,0.000000,-50.201005,5000000.000000,7.000000,-0.557431,0.005970,0.005970,-93.371973,0.850000
-2.450000,-0.282500,0.005930,0.000100,-47.639123,5000000.000000,7.000000,-0.525439,0.005930,0.005930,-88.606969,0.850000
-2.300000,-0.265200,0.005890,0.000100,-45.025467,5000000.000000,7.000000,-0.493262,0.005890,0.005890,-83.745667,0.850000
-2.150000,-0.248000,0.005850,0.000100,-42.393162,5000000.000000,7.000000,-0.461271,0.005850,0.005850,-78.849680,0.850000
