alpha,cl_corrected
-5.000000,-0.845681
-4.850000,-0.820795
-4.700000,-0.795465
-4.550000,-0.770430
-4.400000,-0.745248
-4.250000,-0.720066
-4.100000,-0.694735
-3.950000,-0.669701
-3.800000,-0.644223
-3.650000,-0.619040
-3.500000,-0.593710
-3.350000,-0.568528
-3.200000,-0.543197
-3.050000,-0.517867
-2.900000,-0.492536
-2.750000,-0.467058
-2.600000,-0.441727
-2.450000,-0.416397
-2.300000,-0.391066
-2.150000,-0.365440
-2.000000,-0.340109
-1.850000,-0.314779
-1.700000,-0.289300
-1.550000,-0.263822
-1.400000,-0.238195
-1.250000,-0.212865
-1.100000,-0.187386
-0.950000,-0.161759
-0.800000,-0.136133
-0.650000,-0.110654
-0.500000,-0.085175
-0.350000,-0.059549
-0.200000,-0.034070
-0.050000,-0.008443
0.100000,0.017035
0.250000,0.042662
0.400000,0.068140
0.550000,0.093767
0.700000,0.119246
1.000000,0.170351
1.150000,0.195978
1.300000,0.221456
1.450000,0.246787
1.600000,0.272265
1.750000,0.297744
1.900000,0.323370
2.050000,0.348849
2.200000,0.374031
2.350000,0.399510
2.500000,0.424840
2.650000,0.450319
2.800000,0.475501
2.950000,0.500980
3.100000,0.526310
3.250000,0.551493
3.400000,0.577119
3.550000,0.602302
3.700000,0.627484
3.850000,0.652814
4.000000,0.677997
4.150000,0.703327
4.300000,0.728361
4.450000,0.753692
4.600000,0.778874
4.750000,0.804056
4.900000,0.829090
5.050000,0.854125
5.200000,0.879307
5.350000,0.904341
5.500000,0.929227
5.650000,0.954261
5.800000,0.978999
5.950000,1.003737
6.100000,1.028623
6.250000,1.053065
6.400000,1.077803
6.550000,1.102393
6.700000,1.126686
6.850000,1.150980
7.000000,1.175273
7.150000,1.199270
7.300000,1.223564
7.450000,1.247117
7.600000,1.271558
7.750000,1.296148
7.900000,1.321034
8.050000,1.345772
8.200000,1.371399
8.350000,1.399099
8.500000,1.426355
8.650000,1.452871
8.800000,1.478201
9.100000,1.534936
9.250000,1.563525
9.400000,1.591966
9.550000,1.619963
9.700000,1.647812
9.850000,1.675216
10.000000,1.702768
10.150000,1.728099
10.300000,1.748689
10.450000,1.769427
10.600000,1.790314
10.750000,1.811349
10.900000,1.832679
11.050000,1.854010
11.200000,1.875489
11.350000,1.897116
11.500000,1.919336
11.650000,1.941260
11.800000,1.963183
11.950000,1.984958
12.100000,2.006437
12.250000,2.027768
12.400000,2.048803
12.550000,2.069541
12.700000,2.089983
12.850000,2.109981
13.000000,2.129534
13.150000,2.148643
13.300000,2.168493
13.450000,2.187898
13.600000,2.206859
13.750000,2.225375
13.900000,2.243299
14.050000,2.260482
14.200000,2.276777
14.350000,2.290701
14.500000,2.303144
14.650000,2.314847
14.800000,2.326253
14.950000,2.337066
15.100000,2.347435
15.250000,2.357212
15.400000,2.366248
15.550000,2.374395
15.700000,2.381802
15.850000,2.388320
16.000000,2.393800
16.150000,2.398244
16.300000,2.403429
16.450000,2.408317
16.600000,2.412909
16.750000,2.416020
16.900000,2.418390
17.050000,2.419872
17.200000,2.420020
17.350000,2.418538
17.500000,2.415724
17.650000,2.411576
17.800000,2.405503
17.950000,2.397059
18.100000,2.386394
18.250000,2.373062
18.400000,2.357656
18.550000,2.339288
18.700000,2.316772
18.850000,2.291590
19.000000,2.262408
19.150000,2.230708
19.300000,2.193379
19.450000,2.151013
19.600000,2.106722
19.750000,2.059320
19.900000,2.005104
20.050000,1.954295
20.200000,1.893709
20.350000,1.843789
20.500000,1.795943
20.650000,1.746171
20.800000,1.715508
20.950000,1.682919
21.100000,1.655218
21.250000,1.642627
21.400000,1.622777
21.550000,1.614778
21.700000,1.599817
21.850000,1.594929
22.000000,1.588855
22.150000,1.580264
22.300000,1.578190
22.450000,1.575968
22.600000,1.568858
22.750000,1.568265
22.900000,1.567673
23.050000,1.561599
