alpha,ld_corrected
-5.000000,-116.645671
-4.850000,-114.476300
-4.700000,-111.722560
-4.550000,-109.280915
-4.400000,-106.616330
-4.250000,-104.055757
-4.100000,-101.125968
-3.950000,-98.485475
-3.800000,-95.440394
-3.650000,-92.670711
-3.500000,-89.414144
-3.350000,-86.533882
-3.200000,-83.312449
-3.050000,-79.917705
-2.900000,-76.838735
-2.750000,-73.321464
-2.600000,-69.783142
-2.450000,-66.410981
-2.300000,-62.973657
-2.150000,-59.132639
-2.000000,-55.302321
-1.850000,-51.603088
-1.700000,-47.660670
-1.550000,-43.751525
-1.400000,-39.699166
-1.250000,-35.596080
-1.100000,-31.493443
-0.950000,-27.324204
-0.800000,-23.034279
-0.650000,-18.754918
-0.500000,-14.461027
-0.350000,-10.144591
-0.200000,-5.823962
-0.050000,-1.440867
0.100000,2.902060
0.250000,7.267767
0.400000,11.608238
0.550000,15.946779
0.700000,20.211124
1.000000,28.726964
1.150000,32.937412
1.300000,37.032804
1.450000,40.994453
1.600000,45.002508
1.750000,48.971011
1.900000,52.838308
2.050000,56.723417
2.200000,60.327632
2.350000,64.024021
2.500000,67.542182
2.650000,71.028217
2.800000,74.413334
2.950000,77.912873
3.100000,81.220711
3.250000,84.197331
3.400000,87.574995
3.550000,90.571658
3.700000,93.514729
3.850000,96.570158
4.000000,99.267434
4.150000,102.079392
4.300000,104.800171
4.450000,107.670232
4.600000,110.166044
4.750000,112.612919
4.900000,115.151447
5.050000,117.486189
5.200000,119.960013
5.350000,122.043330
5.500000,124.228224
5.650000,126.392224
5.800000,128.141257
5.950000,130.186397
6.100000,131.874765
6.250000,133.468291
6.400000,135.232463
6.550000,136.773264
6.700000,138.074268
6.850000,139.175278
7.000000,140.582903
7.150000,141.590357
7.300000,142.440494
7.450000,143.182171
7.600000,144.167614
7.750000,144.983013
7.900000,145.648752
8.050000,145.962266
8.200000,146.516966
8.350000,147.428802
8.500000,147.962187
8.650000,148.252139
8.800000,148.413796
9.100000,149.167703
9.250000,149.619616
9.400000,149.761635
9.550000,149.857815
9.700000,149.801059
9.850000,149.439422
10.000000,149.234735
10.150000,149.231327
10.300000,148.824596
10.450000,148.317466
10.600000,147.837645
10.750000,147.144477
10.900000,146.380144
11.050000,145.526711
11.200000,144.602107
11.350000,143.720946
11.500000,143.127231
11.650000,142.425501
11.800000,141.746065
11.950000,140.877097
12.100000,140.016561
12.250000,138.983428
12.400000,137.873678
12.550000,136.693608
12.700000,135.449341
12.850000,134.052163
13.000000,132.516139
13.150000,130.855255
13.300000,129.772165
13.450000,128.624225
13.600000,127.343269
13.750000,126.012189
13.900000,124.558531
14.050000,123.052932
14.200000,121.428095
14.350000,119.743917
14.500000,117.928528
14.650000,115.974274
14.800000,113.920304
14.950000,111.714445
15.100000,109.437547
15.250000,107.000093
15.400000,104.377946
15.550000,101.643633
15.700000,98.788960
15.850000,95.724232
16.000000,92.531908
16.150000,89.187222
16.300000,86.082700
16.450000,82.988191
16.600000,79.897661
16.750000,76.699052
16.900000,73.484966
17.050000,70.222622
17.200000,66.925323
17.350000,63.612266
17.500000,60.287593
17.650000,57.024739
17.800000,53.778288
17.950000,50.570872
18.100000,47.405520
18.250000,44.298340
18.400000,41.333388
18.550000,38.487795
18.700000,35.642650
18.850000,32.944076
19.000000,30.371970
19.150000,27.971260
19.300000,25.593686
19.450000,23.339989
19.600000,21.286472
19.750000,19.387311
19.900000,17.540934
20.050000,15.984747
20.200000,14.393171
20.350000,13.181221
20.500000,12.110201
20.650000,11.103719
20.800000,10.466156
20.950000,9.835303
21.100000,9.305775
21.250000,9.000696
21.400000,8.613926
21.550000,8.391075
21.700000,8.092145
21.850000,7.920389
22.000000,7.738812
22.150000,7.533317
22.300000,7.405866
22.450000,7.278962
22.600000,7.100831
22.750000,6.997435
22.900000,6.896022
23.050000,6.737711
