alpha,cl_corrected
-5.000000,-0.831016
-4.850000,-0.806723
-4.700000,-0.782281
-4.550000,-0.757839
-4.400000,-0.733546
-4.250000,-0.708956
-4.100000,-0.684070
-3.950000,-0.659776
-3.800000,-0.635187
-3.650000,-0.610301
-3.500000,-0.585711
-3.350000,-0.560973
-3.200000,-0.536235
-3.050000,-0.511349
-2.900000,-0.486463
-2.750000,-0.461577
-2.600000,-0.436691
-2.450000,-0.411805
-2.300000,-0.386771
-2.150000,-0.361588
-2.000000,-0.336554
-1.850000,-0.311520
-1.700000,-0.286338
-1.550000,-0.261303
-1.400000,-0.236121
-1.250000,-0.210791
-1.100000,-0.185460
-0.950000,-0.160130
-0.800000,-0.134948
-0.650000,-0.109765
-0.500000,-0.084435
-0.350000,-0.059104
-0.200000,-0.033774
-0.050000,-0.008295
0.100000,0.016887
0.250000,0.042217
0.400000,0.067548
0.550000,0.092878
0.700000,0.118209
0.850000,0.143539
1.000000,0.168721
1.150000,0.193904
1.450000,0.244417
1.600000,0.269747
1.750000,0.294929
1.900000,0.319963
2.050000,0.344998
2.200000,0.370032
2.350000,0.395066
2.500000,0.420100
2.650000,0.445134
2.800000,0.470020
2.950000,0.494906
3.100000,0.519644
3.250000,0.544382
3.550000,0.594006
3.700000,0.618744
3.850000,0.643334
4.000000,0.668072
4.150000,0.692513
4.300000,0.717103
4.450000,0.741693
4.600000,0.765987
4.750000,0.790576
4.900000,0.815018
5.050000,0.839163
5.200000,0.863457
5.350000,0.887602
5.500000,0.911896
5.650000,0.935745
5.800000,0.960187
5.950000,0.983888
6.100000,1.008181
6.250000,1.032919
6.400000,1.057361
6.550000,1.082099
6.700000,1.108762
6.850000,1.135130
7.000000,1.160460
7.150000,1.188160
7.300000,1.216750
7.450000,1.244747
7.600000,1.272595
7.750000,1.299851
7.900000,1.326811
8.050000,1.356438
8.200000,1.386064
8.350000,1.415394
8.500000,1.444427
8.650000,1.472869
8.800000,1.501310
8.950000,1.529899
9.100000,1.558340
9.250000,1.579079
9.400000,1.598780
9.550000,1.618334
9.700000,1.638035
9.850000,1.658477
10.000000,1.679067
10.150000,1.699806
10.300000,1.720692
10.450000,1.741579
10.600000,1.762465
10.750000,1.783204
10.900000,1.803498
11.050000,1.824680
11.200000,1.846011
11.350000,1.867046
11.500000,1.887932
11.650000,1.908523
11.800000,1.928965
11.950000,1.948962
12.100000,1.968664
12.250000,1.987773
12.400000,2.006289
12.550000,2.023917
12.700000,2.042285
12.850000,2.060653
13.000000,2.078429
13.150000,2.095612
13.300000,2.112055
13.450000,2.127312
13.600000,2.140200
13.750000,2.152198
13.900000,2.163605
14.050000,2.174566
14.200000,2.184935
14.350000,2.194564
14.500000,2.203304
14.650000,2.211155
14.800000,2.217821
14.950000,2.222857
15.100000,2.226412
15.250000,2.232189
15.400000,2.237670
15.550000,2.241966
15.700000,2.245965
15.850000,2.248484
16.000000,2.249965
16.150000,2.250261
16.300000,2.249817
16.450000,2.246854
16.600000,2.242855
16.750000,2.237078
16.900000,2.229227
17.050000,2.219154
17.200000,2.206859
17.350000,2.191157
17.500000,2.172937
17.650000,2.151458
17.800000,2.127016
17.950000,2.098575
18.100000,2.065986
18.250000,2.030879
18.400000,1.991476
18.550000,1.949555
18.700000,1.907634
18.850000,1.862158
19.000000,1.819496
19.150000,1.780389
19.300000,1.743208
19.450000,1.709286
19.600000,1.679067
19.750000,1.654329
19.900000,1.636109
20.050000,1.614927
20.200000,1.602632
20.350000,1.586337
20.500000,1.577153
20.650000,1.566488
20.800000,1.557007
20.950000,1.551378
21.100000,1.541009
21.250000,1.535973
21.400000,1.531084
21.550000,1.522345
21.700000,1.518493
21.850000,1.510346
22.000000,1.505902
22.150000,1.498940
22.300000,1.494792
22.450000,1.492866
22.600000,1.487534
22.750000,1.487089
