alpha,ld_corrected
-5.000000,-106.814412
-4.850000,-105.042005
-4.700000,-103.067319
-4.550000,-101.180147
-4.400000,-98.994033
-4.250000,-96.984405
-4.100000,-94.354477
-3.950000,-92.276425
-3.800000,-89.842525
-3.650000,-87.061428
-3.500000,-84.640293
-3.350000,-81.893856
-3.200000,-78.974227
-3.050000,-76.093595
-2.900000,-73.152318
-2.750000,-70.148460
-2.600000,-66.977120
-2.450000,-63.648343
-2.300000,-60.150949
-2.150000,-56.675282
-2.000000,-53.168108
-1.850000,-49.605087
-1.700000,-45.887442
-1.550000,-42.145720
-1.400000,-38.269231
-1.250000,-34.330736
-1.100000,-30.353565
-0.950000,-26.293899
-0.800000,-22.231884
-0.650000,-18.113074
-0.500000,-13.979270
-0.350000,-9.801717
-0.200000,-5.610285
-0.050000,-1.375680
0.100000,2.800491
0.250000,7.001227
0.400000,11.201963
0.550000,15.377197
0.700000,19.538630
0.850000,23.647306
1.000000,27.659255
1.150000,31.683621
1.450000,39.549596
1.600000,43.437511
1.750000,47.188680
1.900000,50.868589
2.050000,54.501991
2.200000,57.907946
2.350000,61.345645
2.500000,64.730374
2.650000,67.959436
2.800000,71.215204
2.950000,74.198859
3.100000,77.213121
3.250000,79.938652
3.550000,85.468515
3.700000,88.140184
3.850000,90.610404
4.000000,93.046209
4.150000,95.256318
4.300000,97.697986
4.450000,99.824091
4.600000,101.589724
4.750000,103.886505
4.900000,105.572273
5.050000,107.585043
5.200000,109.022331
5.350000,110.811766
5.500000,112.440908
5.650000,113.699258
5.800000,115.268492
5.950000,116.298763
6.100000,117.503620
6.250000,118.862942
6.400000,119.746390
6.550000,120.769926
6.700000,121.976034
6.850000,122.716704
7.000000,123.716412
7.150000,124.806773
7.300000,125.697294
7.450000,126.370214
7.600000,127.386915
7.750000,128.064179
7.900000,128.442527
8.050000,128.938930
8.200000,129.781254
8.350000,130.451039
8.500000,130.835823
8.650000,130.921660
8.800000,131.118766
8.950000,131.547652
9.100000,131.727844
9.250000,131.480330
9.400000,131.047559
9.550000,130.510769
9.700000,129.693981
9.850000,129.467377
10.000000,129.258455
10.150000,128.870789
10.300000,128.409866
10.450000,127.775400
10.600000,127.070311
10.750000,126.199829
10.900000,125.069179
11.050000,124.466597
11.200000,123.893370
11.350000,123.237350
11.500000,122.434004
11.650000,121.561948
11.800000,120.635691
11.950000,119.641646
12.100000,118.522809
12.250000,117.272731
12.400000,115.836558
12.550000,114.152104
12.700000,112.958245
12.850000,111.809731
13.000000,110.613576
13.150000,109.317283
13.300000,107.978266
13.450000,106.525408
13.600000,105.014711
13.750000,103.421357
13.900000,101.673146
14.050000,99.796524
14.200000,97.847534
14.350000,95.707107
14.500000,93.439513
14.650000,90.994019
14.800000,88.359385
14.950000,85.428787
15.100000,82.246479
15.250000,79.607321
15.400000,76.975237
15.550000,74.163611
15.700000,71.368462
15.850000,68.446993
16.000000,65.482102
16.150000,62.420563
16.300000,59.408949
16.450000,56.269829
16.600000,53.186027
16.750000,50.113746
16.900000,47.079761
17.050000,44.100830
17.200000,41.203489
17.350000,38.313638
17.500000,35.563614
17.650000,32.917041
17.800000,30.394629
17.950000,27.969811
18.100000,25.645309
18.250000,23.489232
18.400000,21.448315
18.550000,19.569915
18.700000,17.907010
18.850000,16.344751
19.000000,15.014819
19.150000,13.884341
19.300000,12.899276
19.450000,12.048256
19.600000,11.320573
19.750000,10.726379
19.900000,10.272552
20.050000,9.794557
20.200000,9.464546
20.350000,9.090758
20.500000,8.827185
20.650000,8.553031
20.800000,8.303153
20.950000,8.109237
21.100000,7.865100
21.250000,7.691015
21.400000,7.522647
21.550000,7.313690
21.700000,7.165069
21.850000,6.971685
22.000000,6.822371
22.150000,6.648362
22.300000,6.508718
22.450000,6.394254
22.600000,6.246729
22.750000,6.151861
