alpha,cl_corrected
-5.000000,-0.853532
-4.850000,-0.828350
-4.700000,-0.802723
-4.550000,-0.777096
-4.400000,-0.751766
-4.250000,-0.725991
-4.100000,-0.700809
-3.950000,-0.675034
-3.800000,-0.649704
-3.650000,-0.624077
-3.500000,-0.598598
-3.350000,-0.572823
-3.200000,-0.547345
-3.050000,-0.521570
-2.900000,-0.496240
-2.750000,-0.470465
-2.600000,-0.444838
-2.450000,-0.419359
-2.300000,-0.393733
-2.150000,-0.368254
-2.000000,-0.342479
-1.850000,-0.316705
-1.700000,-0.291078
-1.550000,-0.265451
-1.400000,-0.239676
-1.250000,-0.214050
-1.100000,-0.188571
-0.950000,-0.162796
-0.800000,-0.137170
-0.650000,-0.111395
-0.500000,-0.085620
-0.350000,-0.059993
-0.200000,-0.034218
-0.050000,-0.008592
0.100000,0.017183
0.250000,0.042810
0.400000,0.068585
0.550000,0.094211
0.700000,0.119986
0.850000,0.145761
1.000000,0.171388
1.150000,0.197015
1.300000,0.222789
1.450000,0.248416
1.600000,0.274043
1.750000,0.299818
1.900000,0.325444
2.050000,0.350923
2.350000,0.402324
2.500000,0.427951
2.650000,0.453578
2.800000,0.479056
2.950000,0.504831
3.100000,0.530310
3.250000,0.555936
3.400000,0.581563
3.550000,0.607042
3.700000,0.632668
3.850000,0.657999
4.000000,0.683774
4.150000,0.709400
4.300000,0.734731
4.450000,0.760209
4.600000,0.785688
4.750000,0.811463
4.900000,0.836793
5.050000,0.862124
5.200000,0.887602
5.350000,0.912933
5.500000,0.938411
5.650000,0.963890
5.800000,0.988924
5.950000,1.014403
6.100000,1.039733
6.250000,1.064915
6.400000,1.089949
6.550000,1.115280
6.700000,1.140314
6.850000,1.165200
7.000000,1.190086
7.150000,1.215120
7.300000,1.240006
7.450000,1.264448
7.600000,1.289186
7.750000,1.313479
7.900000,1.338366
8.050000,1.362215
8.200000,1.386360
8.350000,1.410061
8.500000,1.434058
8.650000,1.458500
8.800000,1.482497
8.950000,1.506791
9.100000,1.531825
9.250000,1.558044
9.400000,1.584263
9.550000,1.610038
9.700000,1.636109
9.850000,1.664402
10.000000,1.692399
10.150000,1.719952
10.300000,1.747356
10.450000,1.774612
10.600000,1.801720
10.750000,1.828976
10.900000,1.851788
11.050000,1.873267
11.200000,1.895191
11.350000,1.917114
11.500000,1.939334
11.650000,1.961405
11.800000,1.983625
11.950000,2.005549
12.100000,2.027472
12.250000,2.049395
12.400000,2.071763
12.550000,2.093983
12.700000,2.115906
12.850000,2.137682
13.000000,2.159161
13.150000,2.180343
13.300000,2.201230
13.450000,2.221820
13.600000,2.242114
13.750000,2.261816
13.900000,2.281073
14.050000,2.300033
14.200000,2.318402
14.350000,2.336177
14.500000,2.353212
14.650000,2.370544
14.800000,2.386542
14.950000,2.400170
15.100000,2.412613
15.250000,2.425056
15.400000,2.436759
15.550000,2.448313
15.700000,2.459423
15.850000,2.469940
16.000000,2.479865
16.150000,2.489197
16.300000,2.498085
16.450000,2.506084
16.600000,2.513639
16.750000,2.520601
16.900000,2.526378
17.050000,2.531562
17.200000,2.535710
17.350000,2.538969
17.500000,2.541339
17.650000,2.542376
17.800000,2.542524
17.950000,2.541191
18.100000,2.538080
18.250000,2.533636
18.400000,2.526822
18.550000,2.518527
18.700000,2.507713
18.850000,2.494974
19.000000,2.479865
19.150000,2.461793
19.300000,2.439869
19.450000,2.418094
19.600000,2.390986
19.750000,2.359434
19.900000,2.327882
20.050000,2.291146
20.200000,2.253520
20.350000,2.209525
20.500000,2.166271
20.650000,2.116499
20.800000,2.070578
20.950000,2.014733
21.100000,1.964220
21.250000,1.916966
21.400000,1.870453
21.550000,1.825125
21.700000,1.784092
21.850000,1.747208
22.000000,1.713878
22.150000,1.684993
22.300000,1.672846
22.450000,1.650922
22.600000,1.642331
22.750000,1.625444
22.900000,1.620259
23.050000,1.605742
