alpha,ld_corrected
-5.000000,-122.633918
-4.850000,-120.224929
-4.700000,-117.185848
-4.550000,-114.111066
-4.400000,-111.537970
-4.250000,-108.356879
-4.100000,-105.702682
-3.950000,-102.433073
-3.800000,-99.495178
-3.650000,-96.159755
-3.500000,-92.950038
-3.350000,-89.364027
-3.200000,-86.331994
-3.050000,-82.657688
-2.900000,-79.271497
-2.750000,-75.637418
-2.600000,-72.096927
-2.450000,-68.411007
-2.300000,-64.440716
-2.150000,-60.868463
-2.000000,-56.984920
-1.850000,-52.784090
-1.700000,-48.920645
-1.550000,-44.839719
-1.400000,-40.554367
-1.250000,-36.402994
-1.100000,-32.234365
-0.950000,-27.971857
-0.800000,-23.568644
-0.650000,-19.172922
-0.500000,-14.787538
-0.350000,-10.379436
-0.200000,-5.909898
-0.050000,-1.486438
0.100000,2.978028
0.250000,7.406561
0.400000,11.845380
0.550000,16.243354
0.700000,20.687291
0.850000,25.001907
1.000000,29.347229
1.150000,33.677695
1.300000,37.889345
1.450000,41.962170
1.600000,46.135143
1.750000,50.389509
1.900000,54.240714
2.050000,58.099810
2.350000,65.846871
2.500000,69.585542
2.650000,73.275894
2.800000,76.771851
2.950000,80.515340
3.100000,83.909771
3.250000,87.411392
3.400000,90.727481
3.550000,93.969307
3.700000,97.333604
3.850000,100.304704
4.000000,103.602075
4.150000,106.676751
4.300000,109.497888
4.450000,112.457012
4.600000,115.203515
4.750000,118.289038
4.900000,120.923878
5.050000,123.513421
5.200000,126.439066
5.350000,128.582068
5.500000,131.246329
5.650000,133.873586
5.800000,135.654869
5.950000,138.201985
6.100000,140.504460
6.250000,142.558944
6.400000,144.364170
6.550000,146.554524
6.700000,148.478399
6.850000,149.768656
7.000000,151.410457
7.150000,153.230815
7.300000,154.614265
7.450000,155.720204
7.600000,156.644711
7.750000,158.060107
7.900000,158.950776
8.050000,159.884350
8.200000,160.458339
8.350000,160.965873
8.500000,161.493052
8.650000,162.235812
8.800000,162.732954
8.950000,163.072590
9.100000,163.133643
9.250000,163.316995
9.400000,163.326119
9.550000,163.621767
9.700000,163.774703
9.850000,163.980526
10.000000,163.992165
10.150000,163.649053
10.300000,163.304283
10.450000,162.808437
10.600000,162.610106
10.750000,162.431272
10.900000,162.011228
11.050000,161.488565
11.200000,160.882069
11.350000,160.159916
11.500000,159.484694
11.650000,158.433395
11.800000,157.430565
11.950000,156.317111
12.100000,155.242875
12.250000,154.089878
12.400000,153.236922
12.550000,152.400500
12.700000,151.460722
12.850000,150.540956
13.000000,149.422879
13.150000,148.221847
13.300000,146.944584
13.450000,145.597648
13.600000,144.094736
13.750000,142.521458
13.900000,140.893922
14.050000,139.227203
14.200000,137.427484
14.350000,135.587778
14.500000,133.705255
14.650000,132.137338
14.800000,130.483435
14.950000,128.764490
15.100000,126.846115
15.250000,124.874157
15.400000,122.696803
15.550000,120.428566
15.700000,118.127886
15.850000,115.633890
16.000000,113.029384
16.150000,110.287858
16.300000,107.444509
16.450000,104.463690
16.600000,101.397281
16.750000,98.192473
16.900000,94.940920
17.050000,91.524312
17.200000,87.984391
17.350000,84.463375
17.500000,80.882850
17.650000,77.205468
17.800000,73.547127
17.950000,69.889742
18.100000,66.199276
18.250000,62.558921
18.400000,58.872840
18.550000,55.364408
18.700000,51.887303
18.850000,48.530910
19.000000,45.310884
19.150000,42.182877
19.300000,39.106736
19.450000,36.373255
19.600000,33.619038
19.750000,30.963701
19.900000,28.612120
20.050000,26.295714
20.200000,24.239219
20.350000,22.179534
20.500000,20.382677
20.650000,18.616403
20.800000,17.129204
20.950000,15.573415
21.100000,14.292512
21.250000,13.183179
21.400000,12.178220
21.550000,11.280128
21.700000,10.505785
21.850000,9.837327
22.000000,9.254202
22.150000,8.760490
22.300000,8.493759
22.450000,8.120222
22.600000,7.911416
22.750000,7.613677
22.900000,7.454266
23.050000,7.197088
