alpha,cl,cd,cm,ld,re,ncrit,cl_corrected,cd_original,cd_corrected,ld_corrected,mach_corrected
-5.000000,-0.576200,0.006960,-0.000400,-82.787356,5600000.000000,6.000000,-0.853532,0.006960,0.006960,-122.633918,0.750000
-4.850000,-0.559200,0.006890,-0.000300,-81.161103,5600000.000000,6.000000,-0.828350,0.006890,0.006890,-120.224929,0.750000
-4.700000,-0.541900,0.006850,-0.000200,-79.109489,5600000.000000,6.000000,-0.802723,0.006850,0.006850,-117.185848,0.750000
-4.550000,-0.524600,0.006810,-0.000200,-77.033774,5600000.000000,6.000000,-0.777096,0.006810,0.006810,-114.111066,0.750000
-4.400000,-0.507500,0.006740,-0.000100,-75.296736,5600000.000000,6.000000,-0.751766,0.006740,0.006740,-111.537970,0.750000
-4.250000,-0.490100,0.006700,-0.000100,-73.149254,5600000.000000,6.000000,-0.725991,0.006700,0.006700,-108.356879,0.750000
-4.100000,-0.473100,0.006630,-0.000100,-71.357466,5600000.000000,6.000000,-0.700809,0.006630,0.006630,-105.702682,0.750000
-3.950000,-0.455700,0.006590,-0.000000,-69.150228,5600000.000000,6.000000,-0.675034,0.006590,0.006590,-102.433073,0.750000
-3.800000,-0.438600,0.006530,0.000000,-67.166922,5600000.000000,6.000000,-0.649704,0.006530,0.006530,-99.495178,0.750000
-3.650000,-0.421300,0.006490,0.000000,-64.915254,5600000.000000,6.000000,-0.624077,0.006490,0.006490,-96.159755,0.750000
-3.500000,-0.404100,0.006440,0.000100,-62.748447,5600000.000000,6.000000,-0.598598,0.006440,0.006440,-92.950038,0.750000
-3.350000,-0.386700,0.006410,0.000100,-60.327613,5600000.000000,6.000000,-0.572823,0.006410,0.006410,-89.364027,0.750000
-3.200000,-0.369500,0.006340,0.000100,-58.280757,5600000.000000,6.000000,-0.547345,0.006340,0.006340,-86.331994,0.750000
-3.050000,-0.352100,0.006310,0.000100,-55.800317,5600000.000000,6.000000,-0.521570,0.006310,0.006310,-82.657688,0.750000
-2.900000,-0.335000,0.006260,0.000100,-53.514377,5600000.000000,6.000000,-0.496240,0.006260,0.006260,-79.271497,0.750000
-2.750000,-0.317600,0.006220,0.000100,-51.061093,5600000.000000,6.000000,-0.470465,0.006220,0.006220,-75.637418,0.750000
-2.600000,-0.300300,0.006170,0.000100,-48.670989,5600000.000000,6.000000,-0.444838,0.006170,0.006170,-72.096927,0.750000
-2.450000,-0.283100,0.006130,0.000200,-46.182708,5600000.000000,6.000000,-0.419359,0.006130,0.006130,-68.411007,0.750000
-2.300000,-0.265800,0.006110,0.000200,-43.502455,5600000.000000,6.000000,-0.393733,0.006110,0.006110,-64.440716,0.750000
-2.150000,-0.248600,0.006050,0.000200,-41.090909,5600000.000000,6.000000,-0.368254,0.006050,0.006050,-60.868463,0.750000
-2.000000,-0.231200,0.006010,0.000200,-38.469218,5600000.000000,6.000000,-0.342479,0.006010,0.006010,-56.984920,0.750000
-1.850000,-0.213800,0.006000,0.000100,-35.633333,5600000.000000,6.000000,-0.316705,0.006000,0.006000,-52.784090,0.750000
-1.700000,-0.196500,0.005950,0.000100,-33.025210,5600000.000000,6.000000,-0.291078,0.005950,0.005950,-48.920645,0.750000
-1.550000,-0.179200,0.005920,0.000100,-30.270270,5600000.000000,6.000000,-0.265451,0.005920,0.005920,-44.839719,0.750000
